Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;1;Ain;7.6
2018-02;1;Ain;2.0
2018-03;1;Ain;7.5
2018-04;1;Ain;14.3
2018-05;1;Ain;16.8
2018-06;1;Ain;20.0
2018-07;1;Ain;23.1
2018-08;1;Ain;22.7
2018-09;1;Ain;19.1
2018-10;1;Ain;12.7
2018-11;1;Ain;8.0
2018-12;1;Ain;5.5
2019-01;1;Ain;2.2
2019-02;1;Ain;6.0
2019-03;1;Ain;8.8
2019-04;1;Ain;10.9
2019-05;1;Ain;12.5
2019-06;1;Ain;20.0
2019-07;1;Ain;22.5
2019-08;1;Ain;20.4
2019-09;1;Ain;16.9
2019-10;1;Ain;13.9
2019-11;1;Ain;6.9
2019-12;1;Ain;6.0
2020-01;1;Ain;4.4
2020-02;1;Ain;7.5
2020-03;1;Ain;7.9
2020-04;1;Ain;13.6
2020-05;1;Ain;15.2
2020-06;1;Ain;17.8
2020-07;1;Ain;21.7
2020-08;1;Ain;22.4
2020-09;1;Ain;18.2
2020-10;1;Ain;11.4
2020-11;1;Ain;8.2
2020-12;1;Ain;4.8
2021-01;1;Ain;2.1
2021-02;1;Ain;7.5
2021-03;1;Ain;7.4
2021-04;1;Ain;9.4
2021-05;1;Ain;12.7
2021-06;1;Ain;20.0
2021-07;1;Ain;19.4
2021-08;1;Ain;18.7
2021-09;1;Ain;18.4
2021-10;1;Ain;11.1
2021-11;1;Ain;4.6
2021-12;1;Ain;3.6
2022-01;1;Ain;1.3
2022-02;1;Ain;6.3
2022-03;1;Ain;9.0
2022-04;1;Ain;10.5
2022-05;1;Ain;17.7
2022-06;1;Ain;21.6
2022-07;1;Ain;21.9
2022-08;1;Ain;22.5
2022-09;1;Ain;17.6
2022-10;1;Ain;18.6
2022-11;1;Ain;10.0
2022-12;1;Ain;5.9
2023-01;1;Ain;4.8
2023-02;1;Ain;5.7
2023-03;1;Ain;9.6
2023-04;1;Ain;11.0
2023-05;1;Ain;16.1
2023-06;1;Ain;21.7
2023-07;1;Ain;23.1
2023-08;1;Ain;23.3
2023-09;1;Ain;21.4
2023-10;1;Ain;15.9
2023-11;1;Ain;8.5
2023-12;1;Ain;6.2
2024-01;1;Ain;5.4
2024-02;1;Ain;8.6
2024-03;1;Ain;10.6
2024-04;1;Ain;12.1
2024-05;1;Ain;15.6
2024-06;1;Ain;19.8
2024-07;1;Ain;22.2
2024-08;1;Ain;23.4
2024-09;1;Ain;16.7
2024-10;1;Ain;15.3
2024-11;1;Ain;8.0
2024-12;1;Ain;3.1
2025-01;1;Ain;4.6
2025-02;1;Ain;6.3
2025-03;1;Ain;9.0
2025-04;1;Ain;13.1
2025-05;1;Ain;15.7
2025-06;1;Ain;22.7
2025-07;1;Ain;21.6
2025-08;1;Ain;22.4
2025-09;1;Ain;17.0
