Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;2;Aisne;6.3
2018-02;2;Aisne;1.1
2018-03;2;Aisne;5.7
2018-04;2;Aisne;12.5
2018-05;2;Aisne;15.5
2018-06;2;Aisne;17.5
2018-07;2;Aisne;21.7
2018-08;2;Aisne;19.1
2018-09;2;Aisne;15.5
2018-10;2;Aisne;12.2
2018-11;2;Aisne;7.2
2018-12;2;Aisne;5.8
2019-01;2;Aisne;3.2
2019-02;2;Aisne;6.5
2019-03;2;Aisne;8.5
2019-04;2;Aisne;10.3
2019-05;2;Aisne;11.8
2019-06;2;Aisne;17.9
2019-07;2;Aisne;19.2
2019-08;2;Aisne;18.9
2019-09;2;Aisne;15.5
2019-10;2;Aisne;12.3
2019-11;2;Aisne;6.8
2019-12;2;Aisne;5.6
2020-01;2;Aisne;5.5
2020-02;2;Aisne;7.3
2020-03;2;Aisne;7.2
2020-04;2;Aisne;12.7
2020-05;2;Aisne;13.9
2020-06;2;Aisne;17.2
2020-07;2;Aisne;18.4
2020-08;2;Aisne;21.0
2020-09;2;Aisne;17.1
2020-10;2;Aisne;11.7
2020-11;2;Aisne;8.7
2020-12;2;Aisne;5.5
2021-01;2;Aisne;3.2
2021-02;2;Aisne;5.2
2021-03;2;Aisne;7.2
2021-04;2;Aisne;7.4
2021-05;2;Aisne;11.6
2021-06;2;Aisne;17.8
2021-07;2;Aisne;18.3
2021-08;2;Aisne;17.3
2021-09;2;Aisne;17.1
2021-10;2;Aisne;11.1
2021-11;2;Aisne;6.0
2021-12;2;Aisne;6.2
2022-01;2;Aisne;4.1
2022-02;2;Aisne;6.5
2022-03;2;Aisne;8.4
2022-04;2;Aisne;10.1
2022-05;2;Aisne;15.0
2022-06;2;Aisne;17.5
2022-07;2;Aisne;19.6
2022-08;2;Aisne;21.3
2022-09;2;Aisne;15.5
2022-10;2;Aisne;14.4
2022-11;2;Aisne;8.7
2022-12;2;Aisne;4.1
2023-01;2;Aisne;5.1
2023-02;2;Aisne;5.7
2023-03;2;Aisne;8.1
2023-04;2;Aisne;9.1
2023-05;2;Aisne;13.7
2023-06;2;Aisne;19.5
2023-07;2;Aisne;18.4
2023-08;2;Aisne;18.4
2023-09;2;Aisne;18.9
2023-10;2;Aisne;13.6
2023-11;2;Aisne;8.1
2023-12;2;Aisne;6.7
2024-01;2;Aisne;3.6
2024-02;2;Aisne;8.4
2024-03;2;Aisne;9.0
2024-04;2;Aisne;11.0
2024-05;2;Aisne;14.7
2024-06;2;Aisne;16.1
2024-07;2;Aisne;18.9
2024-08;2;Aisne;19.8
2024-09;2;Aisne;15.9
2024-10;2;Aisne;12.8
2024-11;2;Aisne;7.5
2024-12;2;Aisne;5.4
2025-01;2;Aisne;3.4
2025-02;2;Aisne;4.5
2025-03;2;Aisne;8.2
2025-04;2;Aisne;12.5
2025-05;2;Aisne;14.5
2025-06;2;Aisne;19.1
2025-07;2;Aisne;19.7
2025-08;2;Aisne;19.5
2025-09;2;Aisne;15.8
