Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;3;Allier;7.8
2018-02;3;Allier;1.8
2018-03;3;Allier;8.1
2018-04;3;Allier;13.2
2018-05;3;Allier;15.5
2018-06;3;Allier;18.8
2018-07;3;Allier;21.9
2018-08;3;Allier;21.6
2018-09;3;Allier;18.2
2018-10;3;Allier;13.3
2018-11;3;Allier;8.6
2018-12;3;Allier;6.3
2019-01;3;Allier;2.8
2019-02;3;Allier;6.4
2019-03;3;Allier;8.6
2019-04;3;Allier;10.3
2019-05;3;Allier;12.5
2019-06;3;Allier;19.6
2019-07;3;Allier;22.6
2019-08;3;Allier;20.9
2019-09;3;Allier;17.0
2019-10;3;Allier;14.4
2019-11;3;Allier;8.1
2019-12;3;Allier;7.3
2020-01;3;Allier;5.7
2020-02;3;Allier;8.5
2020-03;3;Allier;8.0
2020-04;3;Allier;13.4
2020-05;3;Allier;15.1
2020-06;3;Allier;18.0
2020-07;3;Allier;20.8
2020-08;3;Allier;21.9
2020-09;3;Allier;17.6
2020-10;3;Allier;11.9
2020-11;3;Allier;9.5
2020-12;3;Allier;6.0
2021-01;3;Allier;3.4
2021-02;3;Allier;7.8
2021-03;3;Allier;7.0
2021-04;3;Allier;8.8
2021-05;3;Allier;12.5
2021-06;3;Allier;19.2
2021-07;3;Allier;19.1
2021-08;3;Allier;18.7
2021-09;3;Allier;18.3
2021-10;3;Allier;12.0
2021-11;3;Allier;5.9
2021-12;3;Allier;4.9
2022-01;3;Allier;2.4
2022-02;3;Allier;6.3
2022-03;3;Allier;8.5
2022-04;3;Allier;10.4
2022-05;3;Allier;16.9
2022-06;3;Allier;20.6
2022-07;3;Allier;20.8
2022-08;3;Allier;21.7
2022-09;3;Allier;16.4
2022-10;3;Allier;17.2
2022-11;3;Allier;9.5
2022-12;3;Allier;5.5
2023-01;3;Allier;5.1
2023-02;3;Allier;5.3
2023-03;3;Allier;9.2
2023-04;3;Allier;10.4
2023-05;3;Allier;14.5
2023-06;3;Allier;20.5
2023-07;3;Allier;21.5
2023-08;3;Allier;21.7
2023-09;3;Allier;20.6
2023-10;3;Allier;15.5
2023-11;3;Allier;8.8
2023-12;3;Allier;6.2
2024-01;3;Allier;5.1
2024-02;3;Allier;8.4
2024-03;3;Allier;9.9
2024-04;3;Allier;11.4
2024-05;3;Allier;14.5
2024-06;3;Allier;18.2
2024-07;3;Allier;21.2
2024-08;3;Allier;21.7
2024-09;3;Allier;15.9
2024-10;3;Allier;15.2
2024-11;3;Allier;9.5
2024-12;3;Allier;4.5
2025-01;3;Allier;4.9
2025-02;3;Allier;6.2
2025-03;3;Allier;8.5
2025-04;3;Allier;12.1
2025-05;3;Allier;15.0
2025-06;3;Allier;21.5
2025-07;3;Allier;21.0
2025-08;3;Allier;21.0
2025-09;3;Allier;16.3
