Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;4;Alpes-de-Haute-Provence;7.8
2018-02;4;Alpes-de-Haute-Provence;4.3
2018-03;4;Alpes-de-Haute-Provence;7.9
2018-04;4;Alpes-de-Haute-Provence;14.1
2018-05;4;Alpes-de-Haute-Provence;16.5
2018-06;4;Alpes-de-Haute-Provence;20.8
2018-07;4;Alpes-de-Haute-Provence;24.0
2018-08;4;Alpes-de-Haute-Provence;23.1
2018-09;4;Alpes-de-Haute-Provence;20.7
2018-10;4;Alpes-de-Haute-Provence;15.3
2018-11;4;Alpes-de-Haute-Provence;9.5
2018-12;4;Alpes-de-Haute-Provence;6.7
2019-01;4;Alpes-de-Haute-Provence;4.6
2019-02;4;Alpes-de-Haute-Provence;7.8
2019-03;4;Alpes-de-Haute-Provence;10.2
2019-04;4;Alpes-de-Haute-Provence;11.3
2019-05;4;Alpes-de-Haute-Provence;14.5
2019-06;4;Alpes-de-Haute-Provence;21.8
2019-07;4;Alpes-de-Haute-Provence;24.6
2019-08;4;Alpes-de-Haute-Provence;24.1
2019-09;4;Alpes-de-Haute-Provence;19.9
2019-10;4;Alpes-de-Haute-Provence;15.8
2019-11;4;Alpes-de-Haute-Provence;7.9
2019-12;4;Alpes-de-Haute-Provence;7.2
2020-01;4;Alpes-de-Haute-Provence;5.9
2020-02;4;Alpes-de-Haute-Provence;8.4
2020-03;4;Alpes-de-Haute-Provence;9.4
2020-04;4;Alpes-de-Haute-Provence;12.9
2020-05;4;Alpes-de-Haute-Provence;17.4
2020-06;4;Alpes-de-Haute-Provence;19.1
2020-07;4;Alpes-de-Haute-Provence;24.1
2020-08;4;Alpes-de-Haute-Provence;24.0
2020-09;4;Alpes-de-Haute-Provence;19.4
2020-10;4;Alpes-de-Haute-Provence;12.4
2020-11;4;Alpes-de-Haute-Provence;10.1
2020-12;4;Alpes-de-Haute-Provence;5.1
2021-01;4;Alpes-de-Haute-Provence;4.3
2021-02;4;Alpes-de-Haute-Provence;7.8
2021-03;4;Alpes-de-Haute-Provence;8.9
2021-04;4;Alpes-de-Haute-Provence;10.6
2021-05;4;Alpes-de-Haute-Provence;14.3
2021-06;4;Alpes-de-Haute-Provence;21.3
2021-07;4;Alpes-de-Haute-Provence;23.4
2021-08;4;Alpes-de-Haute-Provence;23.0
2021-09;4;Alpes-de-Haute-Provence;19.6
2021-10;4;Alpes-de-Haute-Provence;13.5
2021-11;4;Alpes-de-Haute-Provence;8.7
2021-12;4;Alpes-de-Haute-Provence;5.4
2022-01;4;Alpes-de-Haute-Provence;5.6
2022-02;4;Alpes-de-Haute-Provence;8.2
2022-03;4;Alpes-de-Haute-Provence;8.5
2022-04;4;Alpes-de-Haute-Provence;11.8
2022-05;4;Alpes-de-Haute-Provence;18.5
2022-06;4;Alpes-de-Haute-Provence;23.6
2022-07;4;Alpes-de-Haute-Provence;26.5
2022-08;4;Alpes-de-Haute-Provence;25.1
2022-09;4;Alpes-de-Haute-Provence;18.7
2022-10;4;Alpes-de-Haute-Provence;16.9
2022-11;4;Alpes-de-Haute-Provence;9.6
2022-12;4;Alpes-de-Haute-Provence;6.2
2023-01;4;Alpes-de-Haute-Provence;5.1
2023-02;4;Alpes-de-Haute-Provence;6.7
2023-03;4;Alpes-de-Haute-Provence;10.2
2023-04;4;Alpes-de-Haute-Provence;12.3
2023-05;4;Alpes-de-Haute-Provence;16.4
2023-06;4;Alpes-de-Haute-Provence;21.3
2023-07;4;Alpes-de-Haute-Provence;24.9
2023-08;4;Alpes-de-Haute-Provence;24.0
2023-09;4;Alpes-de-Haute-Provence;20.5
2023-10;4;Alpes-de-Haute-Provence;16.6
2023-11;4;Alpes-de-Haute-Provence;8.9
2023-12;4;Alpes-de-Haute-Provence;7.0
2024-01;4;Alpes-de-Haute-Provence;6.7
2024-02;4;Alpes-de-Haute-Provence;9.3
2024-03;4;Alpes-de-Haute-Provence;10.6
2024-04;4;Alpes-de-Haute-Provence;12.9
2024-05;4;Alpes-de-Haute-Provence;15.6
2024-06;4;Alpes-de-Haute-Provence;20.0
2024-07;4;Alpes-de-Haute-Provence;24.6
2024-08;4;Alpes-de-Haute-Provence;25.8
2024-09;4;Alpes-de-Haute-Provence;17.8
2024-10;4;Alpes-de-Haute-Provence;15.9
2024-11;4;Alpes-de-Haute-Provence;10.1
2024-12;4;Alpes-de-Haute-Provence;5.4
2025-01;4;Alpes-de-Haute-Provence;6.3
2025-02;4;Alpes-de-Haute-Provence;7.9
2025-03;4;Alpes-de-Haute-Provence;9.5
2025-04;4;Alpes-de-Haute-Provence;13.4
2025-05;4;Alpes-de-Haute-Provence;16.6
2025-06;4;Alpes-de-Haute-Provence;24.5
2025-07;4;Alpes-de-Haute-Provence;24.2
2025-08;4;Alpes-de-Haute-Provence;24.1
2025-09;4;Alpes-de-Haute-Provence;17.9
