Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;5;Hautes-Alpes;4.5
2018-02;5;Hautes-Alpes;1.4
2018-03;5;Hautes-Alpes;5.0
2018-04;5;Hautes-Alpes;13.1
2018-05;5;Hautes-Alpes;15.2
2018-06;5;Hautes-Alpes;18.6
2018-07;5;Hautes-Alpes;22.4
2018-08;5;Hautes-Alpes;21.0
2018-09;5;Hautes-Alpes;19.1
2018-10;5;Hautes-Alpes;14.0
2018-11;5;Hautes-Alpes;7.8
2018-12;5;Hautes-Alpes;3.5
2019-01;5;Hautes-Alpes;0.6
2019-02;5;Hautes-Alpes;6.1
2019-03;5;Hautes-Alpes;8.3
2019-04;5;Hautes-Alpes;9.9
2019-05;5;Hautes-Alpes;12.3
2019-06;5;Hautes-Alpes;20.7
2019-07;5;Hautes-Alpes;22.3
2019-08;5;Hautes-Alpes;22.3
2019-09;5;Hautes-Alpes;18.0
2019-10;5;Hautes-Alpes;13.4
2019-11;5;Hautes-Alpes;6.4
2019-12;5;Hautes-Alpes;4.9
2020-01;5;Hautes-Alpes;4.4
2020-02;5;Hautes-Alpes;6.1
2020-03;5;Hautes-Alpes;7.7
2020-04;5;Hautes-Alpes;12.9
2020-05;5;Hautes-Alpes;15.9
2020-06;5;Hautes-Alpes;17.0
2020-07;5;Hautes-Alpes;21.6
2020-08;5;Hautes-Alpes;21.5
2020-09;5;Hautes-Alpes;17.1
2020-10;5;Hautes-Alpes;10.0
2020-11;5;Hautes-Alpes;8.7
2020-12;5;Hautes-Alpes;2.5
2021-01;5;Hautes-Alpes;0.8
2021-02;5;Hautes-Alpes;6.4
2021-03;5;Hautes-Alpes;7.2
2021-04;5;Hautes-Alpes;9.0
2021-05;5;Hautes-Alpes;11.6
2021-06;5;Hautes-Alpes;19.3
2021-07;5;Hautes-Alpes;20.2
2021-08;5;Hautes-Alpes;19.5
2021-09;5;Hautes-Alpes;17.5
2021-10;5;Hautes-Alpes;11.5
2021-11;5;Hautes-Alpes;7.0
2021-12;5;Hautes-Alpes;2.3
2022-01;5;Hautes-Alpes;3.1
2022-02;5;Hautes-Alpes;5.3
2022-03;5;Hautes-Alpes;8.1
2022-04;5;Hautes-Alpes;10.6
2022-05;5;Hautes-Alpes;16.8
2022-06;5;Hautes-Alpes;21.4
2022-07;5;Hautes-Alpes;24.1
2022-08;5;Hautes-Alpes;22.6
2022-09;5;Hautes-Alpes;16.0
2022-10;5;Hautes-Alpes;15.4
2022-11;5;Hautes-Alpes;7.4
2022-12;5;Hautes-Alpes;3.6
2023-01;5;Hautes-Alpes;1.9
2023-02;5;Hautes-Alpes;5.2
2023-03;5;Hautes-Alpes;8.3
2023-04;5;Hautes-Alpes;9.7
2023-05;5;Hautes-Alpes;14.3
2023-06;5;Hautes-Alpes;19.1
2023-07;5;Hautes-Alpes;22.2
2023-08;5;Hautes-Alpes;21.9
2023-09;5;Hautes-Alpes;18.6
2023-10;5;Hautes-Alpes;14.3
2023-11;5;Hautes-Alpes;5.5
2023-12;5;Hautes-Alpes;3.8
2024-01;5;Hautes-Alpes;4.6
2024-02;5;Hautes-Alpes;7.0
2024-03;5;Hautes-Alpes;8.2
2024-04;5;Hautes-Alpes;10.5
2024-05;5;Hautes-Alpes;13.5
2024-06;5;Hautes-Alpes;17.6
2024-07;5;Hautes-Alpes;21.8
2024-08;5;Hautes-Alpes;23.4
2024-09;5;Hautes-Alpes;15.6
2024-10;5;Hautes-Alpes;13.7
2024-11;5;Hautes-Alpes;7.9
2024-12;5;Hautes-Alpes;3.8
2025-01;5;Hautes-Alpes;4.3
2025-02;5;Hautes-Alpes;6.4
2025-03;5;Hautes-Alpes;8.5
2025-04;5;Hautes-Alpes;12.2
2025-05;5;Hautes-Alpes;14.4
2025-06;5;Hautes-Alpes;22.0
2025-07;5;Hautes-Alpes;20.6
2025-08;5;Hautes-Alpes;21.6
2025-09;5;Hautes-Alpes;16.0
