Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;6;Alpes-Maritimes;11.6
2018-02;6;Alpes-Maritimes;8.0
2018-03;6;Alpes-Maritimes;10.7
2018-04;6;Alpes-Maritimes;15.1
2018-05;6;Alpes-Maritimes;18.1
2018-06;6;Alpes-Maritimes;21.8
2018-07;6;Alpes-Maritimes;24.5
2018-08;6;Alpes-Maritimes;25.8
2018-09;6;Alpes-Maritimes;22.8
2018-10;6;Alpes-Maritimes;18.9
2018-11;6;Alpes-Maritimes;14.3
2018-12;6;Alpes-Maritimes;11.5
2019-01;6;Alpes-Maritimes;8.7
2019-02;6;Alpes-Maritimes;10.4
2019-03;6;Alpes-Maritimes;12.7
2019-04;6;Alpes-Maritimes;13.6
2019-05;6;Alpes-Maritimes;15.8
2019-06;6;Alpes-Maritimes;22.4
2019-07;6;Alpes-Maritimes;25.5
2019-08;6;Alpes-Maritimes;25.2
2019-09;6;Alpes-Maritimes;22.2
2019-10;6;Alpes-Maritimes;18.7
2019-11;6;Alpes-Maritimes;13.1
2019-12;6;Alpes-Maritimes;12.3
2020-01;6;Alpes-Maritimes;10.8
2020-02;6;Alpes-Maritimes;12.0
2020-03;6;Alpes-Maritimes;11.8
2020-04;6;Alpes-Maritimes;14.5
2020-05;6;Alpes-Maritimes;18.7
2020-06;6;Alpes-Maritimes;20.8
2020-07;6;Alpes-Maritimes;24.3
2020-08;6;Alpes-Maritimes;25.3
2020-09;6;Alpes-Maritimes;22.0
2020-10;6;Alpes-Maritimes;15.9
2020-11;6;Alpes-Maritimes;14.4
2020-12;6;Alpes-Maritimes;9.8
2021-01;6;Alpes-Maritimes;8.7
2021-02;6;Alpes-Maritimes;11.2
2021-03;6;Alpes-Maritimes;11.6
2021-04;6;Alpes-Maritimes;13.0
2021-05;6;Alpes-Maritimes;17.0
2021-06;6;Alpes-Maritimes;22.3
2021-07;6;Alpes-Maritimes;23.8
2021-08;6;Alpes-Maritimes;24.5
2021-09;6;Alpes-Maritimes;22.3
2021-10;6;Alpes-Maritimes;17.5
2021-11;6;Alpes-Maritimes;13.7
2021-12;6;Alpes-Maritimes;10.3
2022-01;6;Alpes-Maritimes;9.6
2022-02;6;Alpes-Maritimes;10.8
2022-03;6;Alpes-Maritimes;11.5
2022-04;6;Alpes-Maritimes;13.9
2022-05;6;Alpes-Maritimes;19.3
2022-06;6;Alpes-Maritimes;24.0
2022-07;6;Alpes-Maritimes;26.5
2022-08;6;Alpes-Maritimes;26.0
2022-09;6;Alpes-Maritimes;22.4
2022-10;6;Alpes-Maritimes;19.3
2022-11;6;Alpes-Maritimes;14.8
2022-12;6;Alpes-Maritimes;11.4
2023-01;6;Alpes-Maritimes;10.2
2023-02;6;Alpes-Maritimes;10.0
2023-03;6;Alpes-Maritimes;13.2
2023-04;6;Alpes-Maritimes;14.4
2023-05;6;Alpes-Maritimes;18.3
2023-06;6;Alpes-Maritimes;22.7
2023-07;6;Alpes-Maritimes;25.9
2023-08;6;Alpes-Maritimes;25.1
2023-09;6;Alpes-Maritimes;22.8
2023-10;6;Alpes-Maritimes;20.0
2023-11;6;Alpes-Maritimes;13.6
2023-12;6;Alpes-Maritimes;11.2
2024-01;6;Alpes-Maritimes;10.6
2024-02;6;Alpes-Maritimes;11.9
2024-03;6;Alpes-Maritimes;12.8
2024-04;6;Alpes-Maritimes;15.1
2024-05;6;Alpes-Maritimes;17.9
2024-06;6;Alpes-Maritimes;21.6
2024-07;6;Alpes-Maritimes;25.7
2024-08;6;Alpes-Maritimes;27.2
2024-09;6;Alpes-Maritimes;21.2
2024-10;6;Alpes-Maritimes;18.9
2024-11;6;Alpes-Maritimes;14.3
2024-12;6;Alpes-Maritimes;10.6
2025-01;6;Alpes-Maritimes;10.8
2025-02;6;Alpes-Maritimes;11.3
2025-03;6;Alpes-Maritimes;12.3
2025-04;6;Alpes-Maritimes;15.4
2025-05;6;Alpes-Maritimes;18.3
2025-06;6;Alpes-Maritimes;24.7
2025-07;6;Alpes-Maritimes;25.6
2025-08;6;Alpes-Maritimes;26.0
2025-09;6;Alpes-Maritimes;21.7
