Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;7;Ardèche;8.2
2018-02;7;Ardèche;3.9
2018-03;7;Ardèche;8.3
2018-04;7;Ardèche;14.1
2018-05;7;Ardèche;17.1
2018-06;7;Ardèche;21.4
2018-07;7;Ardèche;25.4
2018-08;7;Ardèche;24.2
2018-09;7;Ardèche;20.8
2018-10;7;Ardèche;15.4
2018-11;7;Ardèche;9.7
2018-12;7;Ardèche;7.0
2019-01;7;Ardèche;5.0
2019-02;7;Ardèche;8.1
2019-03;7;Ardèche;10.9
2019-04;7;Ardèche;11.9
2019-05;7;Ardèche;15.4
2019-06;7;Ardèche;21.6
2019-07;7;Ardèche;25.8
2019-08;7;Ardèche;24.6
2019-09;7;Ardèche;20.5
2019-10;7;Ardèche;15.8
2019-11;7;Ardèche;8.4
2019-12;7;Ardèche;7.8
2020-01;7;Ardèche;6.9
2020-02;7;Ardèche;8.8
2020-03;7;Ardèche;10.2
2020-04;7;Ardèche;13.9
2020-05;7;Ardèche;18.1
2020-06;7;Ardèche;20.3
2020-07;7;Ardèche;24.4
2020-08;7;Ardèche;24.2
2020-09;7;Ardèche;19.9
2020-10;7;Ardèche;12.8
2020-11;7;Ardèche;10.5
2020-12;7;Ardèche;5.4
2021-01;7;Ardèche;4.9
2021-02;7;Ardèche;8.3
2021-03;7;Ardèche;9.4
2021-04;7;Ardèche;11.4
2021-05;7;Ardèche;14.7
2021-06;7;Ardèche;21.7
2021-07;7;Ardèche;22.6
2021-08;7;Ardèche;22.4
2021-09;7;Ardèche;20.2
2021-10;7;Ardèche;13.4
2021-11;7;Ardèche;8.6
2021-12;7;Ardèche;5.9
2022-01;7;Ardèche;5.6
2022-02;7;Ardèche;8.3
2022-03;7;Ardèche;9.0
2022-04;7;Ardèche;12.9
2022-05;7;Ardèche;19.5
2022-06;7;Ardèche;24.1
2022-07;7;Ardèche;26.7
2022-08;7;Ardèche;25.7
2022-09;7;Ardèche;18.8
2022-10;7;Ardèche;17.0
2022-11;7;Ardèche;10.5
2022-12;7;Ardèche;6.5
2023-01;7;Ardèche;6.0
2023-02;7;Ardèche;7.3
2023-03;7;Ardèche;10.3
2023-04;7;Ardèche;12.9
2023-05;7;Ardèche;17.4
2023-06;7;Ardèche;22.0
2023-07;7;Ardèche;24.5
2023-08;7;Ardèche;24.8
2023-09;7;Ardèche;20.8
2023-10;7;Ardèche;16.8
2023-11;7;Ardèche;9.6
2023-12;7;Ardèche;7.4
2024-01;7;Ardèche;6.2
2024-02;7;Ardèche;9.4
2024-03;7;Ardèche;11.0
2024-04;7;Ardèche;12.7
2024-05;7;Ardèche;15.6
2024-06;7;Ardèche;20.4
2024-07;7;Ardèche;23.7
2024-08;7;Ardèche;25.4
2024-09;7;Ardèche;17.8
2024-10;7;Ardèche;16.0
2024-11;7;Ardèche;10.0
2024-12;7;Ardèche;6.2
2025-01;7;Ardèche;6.2
2025-02;7;Ardèche;7.3
2025-03;7;Ardèche;9.5
2025-04;7;Ardèche;13.6
2025-05;7;Ardèche;17.0
2025-06;7;Ardèche;24.6
2025-07;7;Ardèche;24.3
2025-08;7;Ardèche;25.0
2025-09;7;Ardèche;18.0
