Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;8;Ardennes;5.8
2018-02;8;Ardennes;0.5
2018-03;8;Ardennes;5.1
2018-04;8;Ardennes;11.9
2018-05;8;Ardennes;15.3
2018-06;8;Ardennes;17.8
2018-07;8;Ardennes;20.8
2018-08;8;Ardennes;18.9
2018-09;8;Ardennes;14.5
2018-10;8;Ardennes;11.1
2018-11;8;Ardennes;6.1
2018-12;8;Ardennes;4.7
2019-01;8;Ardennes;2.4
2019-02;8;Ardennes;4.8
2019-03;8;Ardennes;7.6
2019-04;8;Ardennes;9.7
2019-05;8;Ardennes;11.2
2019-06;8;Ardennes;18.0
2019-07;8;Ardennes;18.6
2019-08;8;Ardennes;18.2
2019-09;8;Ardennes;14.6
2019-10;8;Ardennes;11.8
2019-11;8;Ardennes;5.8
2019-12;8;Ardennes;5.2
2020-01;8;Ardennes;4.7
2020-02;8;Ardennes;6.8
2020-03;8;Ardennes;6.7
2020-04;8;Ardennes;11.2
2020-05;8;Ardennes;12.6
2020-06;8;Ardennes;16.0
2020-07;8;Ardennes;17.3
2020-08;8;Ardennes;20.3
2020-09;8;Ardennes;16.0
2020-10;8;Ardennes;11.2
2020-11;8;Ardennes;7.4
2020-12;8;Ardennes;4.8
2021-01;8;Ardennes;2.0
2021-02;8;Ardennes;4.8
2021-03;8;Ardennes;6.1
2021-04;8;Ardennes;6.4
2021-05;8;Ardennes;10.5
2021-06;8;Ardennes;17.9
2021-07;8;Ardennes;17.8
2021-08;8;Ardennes;17.2
2021-09;8;Ardennes;15.8
2021-10;8;Ardennes;10.0
2021-11;8;Ardennes;5.4
2021-12;8;Ardennes;4.9
2022-01;8;Ardennes;3.2
2022-02;8;Ardennes;5.4
2022-03;8;Ardennes;6.8
2022-04;8;Ardennes;8.8
2022-05;8;Ardennes;14.3
2022-06;8;Ardennes;17.1
2022-07;8;Ardennes;18.5
2022-08;8;Ardennes;20.0
2022-09;8;Ardennes;14.3
2022-10;8;Ardennes;13.5
2022-11;8;Ardennes;8.3
2022-12;8;Ardennes;3.5
2023-01;8;Ardennes;4.7
2023-02;8;Ardennes;4.7
2023-03;8;Ardennes;7.1
2023-04;8;Ardennes;8.5
2023-05;8;Ardennes;13.8
2023-06;8;Ardennes;18.7
2023-07;8;Ardennes;17.8
2023-08;8;Ardennes;18.1
2023-09;8;Ardennes;17.7
2023-10;8;Ardennes;12.6
2023-11;8;Ardennes;7.7
2023-12;8;Ardennes;6.2
2024-01;8;Ardennes;2.7
2024-02;8;Ardennes;7.9
2024-03;8;Ardennes;8.8
2024-04;8;Ardennes;10.4
2024-05;8;Ardennes;14.1
2024-06;8;Ardennes;15.7
2024-07;8;Ardennes;18.5
2024-08;8;Ardennes;19.3
2024-09;8;Ardennes;15.4
2024-10;8;Ardennes;12.8
2024-11;8;Ardennes;7.2
2024-12;8;Ardennes;4.3
2025-01;8;Ardennes;3.1
2025-02;8;Ardennes;4.1
2025-03;8;Ardennes;7.1
2025-04;8;Ardennes;11.1
2025-05;8;Ardennes;13.1
2025-06;8;Ardennes;18.4
2025-07;8;Ardennes;18.5
2025-08;8;Ardennes;18.0
2025-09;8;Ardennes;15.1
