Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;9;Ariège;7.8
2018-02;9;Ariège;4.2
2018-03;9;Ariège;7.9
2018-04;9;Ariège;12.7
2018-05;9;Ariège;14.3
2018-06;9;Ariège;18.6
2018-07;9;Ariège;21.6
2018-08;9;Ariège;20.9
2018-09;9;Ariège;18.9
2018-10;9;Ariège;13.3
2018-11;9;Ariège;9.1
2018-12;9;Ariège;8.7
2019-01;9;Ariège;4.0
2019-02;9;Ariège;8.6
2019-03;9;Ariège;9.5
2019-04;9;Ariège;11.0
2019-05;9;Ariège;12.8
2019-06;9;Ariège;18.6
2019-07;9;Ariège;21.6
2019-08;9;Ariège;20.6
2019-09;9;Ariège;17.7
2019-10;9;Ariège;15.2
2019-11;9;Ariège;8.0
2019-12;9;Ariège;8.6
2020-01;9;Ariège;6.5
2020-02;9;Ariège;9.7
2020-03;9;Ariège;9.3
2020-04;9;Ariège;13.6
2020-05;9;Ariège;16.7
2020-06;9;Ariège;17.5
2020-07;9;Ariège;20.8
2020-08;9;Ariège;21.6
2020-09;9;Ariège;18.2
2020-10;9;Ariège;12.3
2020-11;9;Ariège;10.6
2020-12;9;Ariège;6.1
2021-01;9;Ariège;4.5
2021-02;9;Ariège;9.6
2021-03;9;Ariège;9.1
2021-04;9;Ariège;10.2
2021-05;9;Ariège;13.7
2021-06;9;Ariège;18.9
2021-07;9;Ariège;19.4
2021-08;9;Ariège;19.6
2021-09;9;Ariège;18.8
2021-10;9;Ariège;13.2
2021-11;9;Ariège;7.1
2021-12;9;Ariège;8.2
2022-01;9;Ariège;5.1
2022-02;9;Ariège;8.3
2022-03;9;Ariège;9.5
2022-04;9;Ariège;10.7
2022-05;9;Ariège;17.4
2022-06;9;Ariège;20.6
2022-07;9;Ariège;22.2
2022-08;9;Ariège;23.3
2022-09;9;Ariège;18.1
2022-10;9;Ariège;17.6
2022-11;9;Ariège;10.5
2022-12;9;Ariège;8.3
2023-01;9;Ariège;4.6
2023-02;9;Ariège;5.7
2023-03;9;Ariège;11.0
2023-04;9;Ariège;11.9
2023-05;9;Ariège;14.7
2023-06;9;Ariège;19.9
2023-07;9;Ariège;21.1
2023-08;9;Ariège;21.7
2023-09;9;Ariège;20.6
2023-10;9;Ariège;17.0
2023-11;9;Ariège;9.8
2023-12;9;Ariège;7.4
2024-01;9;Ariège;7.0
2024-02;9;Ariège;9.0
2024-03;9;Ariège;10.9
2024-04;9;Ariège;12.1
2024-05;9;Ariège;14.1
2024-06;9;Ariège;18.2
2024-07;9;Ariège;21.3
2024-08;9;Ariège;21.3
2024-09;9;Ariège;15.9
2024-10;9;Ariège;15.0
2024-11;9;Ariège;11.0
2024-12;9;Ariège;6.9
2025-01;9;Ariège;6.4
2025-02;9;Ariège;8.3
2025-03;9;Ariège;9.4
2025-04;9;Ariège;12.8
2025-05;9;Ariège;15.4
2025-06;9;Ariège;21.5
2025-07;9;Ariège;20.7
2025-08;9;Ariège;22.3
2025-09;9;Ariège;16.7
