Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;10;Aube;7.4
2018-02;10;Aube;1.5
2018-03;10;Aube;6.8
2018-04;10;Aube;12.9
2018-05;10;Aube;15.8
2018-06;10;Aube;19.2
2018-07;10;Aube;22.3
2018-08;10;Aube;21.1
2018-09;10;Aube;16.7
2018-10;10;Aube;12.8
2018-11;10;Aube;7.5
2018-12;10;Aube;6.0
2019-01;10;Aube;2.7
2019-02;10;Aube;6.1
2019-03;10;Aube;8.5
2019-04;10;Aube;10.5
2019-05;10;Aube;12.5
2019-06;10;Aube;19.5
2019-07;10;Aube;21.1
2019-08;10;Aube;20.8
2019-09;10;Aube;16.3
2019-10;10;Aube;13.5
2019-11;10;Aube;7.3
2019-12;10;Aube;6.3
2020-01;10;Aube;5.6
2020-02;10;Aube;8.2
2020-03;10;Aube;8.2
2020-04;10;Aube;13.1
2020-05;10;Aube;14.6
2020-06;10;Aube;17.3
2020-07;10;Aube;20.0
2020-08;10;Aube;21.9
2020-09;10;Aube;17.8
2020-10;10;Aube;12.3
2020-11;10;Aube;8.7
2020-12;10;Aube;5.9
2021-01;10;Aube;3.8
2021-02;10;Aube;6.3
2021-03;10;Aube;7.2
2021-04;10;Aube;8.2
2021-05;10;Aube;12.4
2021-06;10;Aube;19.3
2021-07;10;Aube;19.2
2021-08;10;Aube;18.6
2021-09;10;Aube;17.5
2021-10;10;Aube;11.4
2021-11;10;Aube;5.6
2021-12;10;Aube;5.8
2022-01;10;Aube;3.1
2022-02;10;Aube;6.8
2022-03;10;Aube;8.3
2022-04;10;Aube;10.2
2022-05;10;Aube;16.2
2022-06;10;Aube;19.6
2022-07;10;Aube;20.8
2022-08;10;Aube;21.5
2022-09;10;Aube;16.0
2022-10;10;Aube;15.5
2022-11;10;Aube;8.9
2022-12;10;Aube;4.6
2023-01;10;Aube;5.5
2023-02;10;Aube;5.6
2023-03;10;Aube;8.6
2023-04;10;Aube;9.5
2023-05;10;Aube;14.6
2023-06;10;Aube;20.3
2023-07;10;Aube;20.1
2023-08;10;Aube;20.2
2023-09;10;Aube;19.7
2023-10;10;Aube;14.4
2023-11;10;Aube;8.8
2023-12;10;Aube;6.8
2024-01;10;Aube;4.1
2024-02;10;Aube;8.6
2024-03;10;Aube;9.5
2024-04;10;Aube;11.4
2024-05;10;Aube;15.1
2024-06;10;Aube;17.6
2024-07;10;Aube;20.2
2024-08;10;Aube;21.0
2024-09;10;Aube;16.0
2024-10;10;Aube;14.0
2024-11;10;Aube;7.5
2024-12;10;Aube;4.8
2025-01;10;Aube;4.0
2025-02;10;Aube;4.7
2025-03;10;Aube;8.1
2025-04;10;Aube;12.1
2025-05;10;Aube;14.9
2025-06;10;Aube;21.0
2025-07;10;Aube;20.3
2025-08;10;Aube;20.1
2025-09;10;Aube;16.1
