Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;11;Aude;10.4
2018-02;11;Aude;6.2
2018-03;11;Aude;10.3
2018-04;11;Aude;14.4
2018-05;11;Aude;17.0
2018-06;11;Aude;21.5
2018-07;11;Aude;24.9
2018-08;11;Aude;24.9
2018-09;11;Aude;22.2
2018-10;11;Aude;16.5
2018-11;11;Aude;12.2
2018-12;11;Aude;10.6
2019-01;11;Aude;6.5
2019-02;11;Aude;10.0
2019-03;11;Aude;11.9
2019-04;11;Aude;13.2
2019-05;11;Aude;15.8
2019-06;11;Aude;20.7
2019-07;11;Aude;25.3
2019-08;11;Aude;24.1
2019-09;11;Aude;20.9
2019-10;11;Aude;17.4
2019-11;11;Aude;10.7
2019-12;11;Aude;10.9
2020-01;11;Aude;9.3
2020-02;11;Aude;11.8
2020-03;11;Aude;11.3
2020-04;11;Aude;14.5
2020-05;11;Aude;19.0
2020-06;11;Aude;20.6
2020-07;11;Aude;24.2
2020-08;11;Aude;24.1
2020-09;11;Aude;20.5
2020-10;11;Aude;14.7
2020-11;11;Aude;12.9
2020-12;11;Aude;8.7
2021-01;11;Aude;6.9
2021-02;11;Aude;11.3
2021-03;11;Aude;11.2
2021-04;11;Aude;12.7
2021-05;11;Aude;16.2
2021-06;11;Aude;22.6
2021-07;11;Aude;23.2
2021-08;11;Aude;23.1
2021-09;11;Aude;21.4
2021-10;11;Aude;16.1
2021-11;11;Aude;10.3
2021-12;11;Aude;9.4
2022-01;11;Aude;7.1
2022-02;11;Aude;10.5
2022-03;11;Aude;11.4
2022-04;11;Aude;13.6
2022-05;11;Aude;19.3
2022-06;11;Aude;23.2
2022-07;11;Aude;25.9
2022-08;11;Aude;26.3
2022-09;11;Aude;21.3
2022-10;11;Aude;19.8
2022-11;11;Aude;13.5
2022-12;11;Aude;10.0
2023-01;11;Aude;7.6
2023-02;11;Aude;8.7
2023-03;11;Aude;12.0
2023-04;11;Aude;14.4
2023-05;11;Aude;17.7
2023-06;11;Aude;23.1
2023-07;11;Aude;24.3
2023-08;11;Aude;24.4
2023-09;11;Aude;22.1
2023-10;11;Aude;19.1
2023-11;11;Aude;12.4
2023-12;11;Aude;10.1
2024-01;11;Aude;9.1
2024-02;11;Aude;11.1
2024-03;11;Aude;12.8
2024-04;11;Aude;13.8
2024-05;11;Aude;16.6
2024-06;11;Aude;21.1
2024-07;11;Aude;24.1
2024-08;11;Aude;25.4
2024-09;11;Aude;19.6
2024-10;11;Aude;17.4
2024-11;11;Aude;13.0
2024-12;11;Aude;8.9
2025-01;11;Aude;8.8
2025-02;11;Aude;10.2
2025-03;11;Aude;11.5
2025-04;11;Aude;14.8
2025-05;11;Aude;18.2
2025-06;11;Aude;24.5
2025-07;11;Aude;24.8
2025-08;11;Aude;25.3
2025-09;11;Aude;19.6
