Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;12;Aveyron;5.9
2018-02;12;Aveyron;1.0
2018-03;12;Aveyron;6.1
2018-04;12;Aveyron;11.6
2018-05;12;Aveyron;13.4
2018-06;12;Aveyron;18.1
2018-07;12;Aveyron;21.4
2018-08;12;Aveyron;21.2
2018-09;12;Aveyron;18.4
2018-10;12;Aveyron;12.7
2018-11;12;Aveyron;8.6
2018-12;12;Aveyron;5.8
2019-01;12;Aveyron;1.1
2019-02;12;Aveyron;6.9
2019-03;12;Aveyron;7.9
2019-04;12;Aveyron;9.0
2019-05;12;Aveyron;11.6
2019-06;12;Aveyron;18.7
2019-07;12;Aveyron;22.0
2019-08;12;Aveyron;20.9
2019-09;12;Aveyron;17.1
2019-10;12;Aveyron;13.4
2019-11;12;Aveyron;6.1
2019-12;12;Aveyron;6.5
2020-01;12;Aveyron;5.2
2020-02;12;Aveyron;7.1
2020-03;12;Aveyron;7.6
2020-04;12;Aveyron;12.3
2020-05;12;Aveyron;15.4
2020-06;12;Aveyron;16.3
2020-07;12;Aveyron;21.2
2020-08;12;Aveyron;21.4
2020-09;12;Aveyron;17.0
2020-10;12;Aveyron;10.5
2020-11;12;Aveyron;9.7
2020-12;12;Aveyron;4.3
2021-01;12;Aveyron;1.8
2021-02;12;Aveyron;7.6
2021-03;12;Aveyron;7.2
2021-04;12;Aveyron;8.9
2021-05;12;Aveyron;11.6
2021-06;12;Aveyron;18.2
2021-07;12;Aveyron;18.8
2021-08;12;Aveyron;18.9
2021-09;12;Aveyron;17.6
2021-10;12;Aveyron;11.6
2021-11;12;Aveyron;5.9
2021-12;12;Aveyron;5.6
2022-01;12;Aveyron;2.9
2022-02;12;Aveyron;6.0
2022-03;12;Aveyron;7.8
2022-04;12;Aveyron;9.7
2022-05;12;Aveyron;16.5
2022-06;12;Aveyron;20.6
2022-07;12;Aveyron;22.6
2022-08;12;Aveyron;23.1
2022-09;12;Aveyron;17.1
2022-10;12;Aveyron;16.4
2022-11;12;Aveyron;9.1
2022-12;12;Aveyron;6.0
2023-01;12;Aveyron;2.8
2023-02;12;Aveyron;4.6
2023-03;12;Aveyron;8.1
2023-04;12;Aveyron;10.4
2023-05;12;Aveyron;14.1
2023-06;12;Aveyron;19.2
2023-07;12;Aveyron;20.9
2023-08;12;Aveyron;21.5
2023-09;12;Aveyron;19.7
2023-10;12;Aveyron;15.2
2023-11;12;Aveyron;7.4
2023-12;12;Aveyron;5.7
2024-01;12;Aveyron;5.0
2024-02;12;Aveyron;7.0
2024-03;12;Aveyron;8.8
2024-04;12;Aveyron;10.2
2024-05;12;Aveyron;12.8
2024-06;12;Aveyron;17.4
2024-07;12;Aveyron;20.6
2024-08;12;Aveyron;21.5
2024-09;12;Aveyron;14.8
2024-10;12;Aveyron;14.4
2024-11;12;Aveyron;9.5
2024-12;12;Aveyron;4.9
2025-01;12;Aveyron;4.6
2025-02;12;Aveyron;6.1
2025-03;12;Aveyron;7.3
2025-04;12;Aveyron;11.3
2025-05;12;Aveyron;14.1
2025-06;12;Aveyron;21.6
2025-07;12;Aveyron;20.6
2025-08;12;Aveyron;22.1
2025-09;12;Aveyron;15.3
