Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;13;Bouches-du-Rhône;10.4
2018-02;13;Bouches-du-Rhône;5.7
2018-03;13;Bouches-du-Rhône;10.5
2018-04;13;Bouches-du-Rhône;15.2
2018-05;13;Bouches-du-Rhône;17.6
2018-06;13;Bouches-du-Rhône;22.0
2018-07;13;Bouches-du-Rhône;25.4
2018-08;13;Bouches-du-Rhône;25.3
2018-09;13;Bouches-du-Rhône;22.1
2018-10;13;Bouches-du-Rhône;17.1
2018-11;13;Bouches-du-Rhône;13.3
2018-12;13;Bouches-du-Rhône;9.1
2019-01;13;Bouches-du-Rhône;6.5
2019-02;13;Bouches-du-Rhône;9.2
2019-03;13;Bouches-du-Rhône;11.8
2019-04;13;Bouches-du-Rhône;13.3
2019-05;13;Bouches-du-Rhône;16.0
2019-06;13;Bouches-du-Rhône;22.1
2019-07;13;Bouches-du-Rhône;25.5
2019-08;13;Bouches-du-Rhône;24.7
2019-09;13;Bouches-du-Rhône;21.5
2019-10;13;Bouches-du-Rhône;17.7
2019-11;13;Bouches-du-Rhône;11.0
2019-12;13;Bouches-du-Rhône;10.6
2020-01;13;Bouches-du-Rhône;9.4
2020-02;13;Bouches-du-Rhône;10.6
2020-03;13;Bouches-du-Rhône;11.1
2020-04;13;Bouches-du-Rhône;14.0
2020-05;13;Bouches-du-Rhône;18.6
2020-06;13;Bouches-du-Rhône;20.8
2020-07;13;Bouches-du-Rhône;24.5
2020-08;13;Bouches-du-Rhône;24.5
2020-09;13;Bouches-du-Rhône;20.7
2020-10;13;Bouches-du-Rhône;14.7
2020-11;13;Bouches-du-Rhône;13.1
2020-12;13;Bouches-du-Rhône;8.5
2021-01;13;Bouches-du-Rhône;6.7
2021-02;13;Bouches-du-Rhône;10.4
2021-03;13;Bouches-du-Rhône;10.5
2021-04;13;Bouches-du-Rhône;12.1
2021-05;13;Bouches-du-Rhône;16.0
2021-06;13;Bouches-du-Rhône;22.8
2021-07;13;Bouches-du-Rhône;23.9
2021-08;13;Bouches-du-Rhône;23.4
2021-09;13;Bouches-du-Rhône;21.6
2021-10;13;Bouches-du-Rhône;16.0
2021-11;13;Bouches-du-Rhône;11.1
2021-12;13;Bouches-du-Rhône;8.2
2022-01;13;Bouches-du-Rhône;6.8
2022-02;13;Bouches-du-Rhône;10.0
2022-03;13;Bouches-du-Rhône;11.1
2022-04;13;Bouches-du-Rhône;13.4
2022-05;13;Bouches-du-Rhône;19.4
2022-06;13;Bouches-du-Rhône;24.3
2022-07;13;Bouches-du-Rhône;26.4
2022-08;13;Bouches-du-Rhône;25.8
2022-09;13;Bouches-du-Rhône;21.1
2022-10;13;Bouches-du-Rhône;19.3
2022-11;13;Bouches-du-Rhône;13.3
2022-12;13;Bouches-du-Rhône;9.9
2023-01;13;Bouches-du-Rhône;7.9
2023-02;13;Bouches-du-Rhône;8.5
2023-03;13;Bouches-du-Rhône;11.5
2023-04;13;Bouches-du-Rhône;14.0
2023-05;13;Bouches-du-Rhône;17.9
2023-06;13;Bouches-du-Rhône;23.1
2023-07;13;Bouches-du-Rhône;25.6
2023-08;13;Bouches-du-Rhône;24.1
2023-09;13;Bouches-du-Rhône;22.3
2023-10;13;Bouches-du-Rhône;18.9
2023-11;13;Bouches-du-Rhône;11.7
2023-12;13;Bouches-du-Rhône;9.5
2024-01;13;Bouches-du-Rhône;8.9
2024-02;13;Bouches-du-Rhône;11.2
2024-03;13;Bouches-du-Rhône;12.4
2024-04;13;Bouches-du-Rhône;14.5
2024-05;13;Bouches-du-Rhône;17.2
2024-06;13;Bouches-du-Rhône;21.4
2024-07;13;Bouches-du-Rhône;25.4
2024-08;13;Bouches-du-Rhône;26.5
2024-09;13;Bouches-du-Rhône;20.2
2024-10;13;Bouches-du-Rhône;18.4
2024-11;13;Bouches-du-Rhône;13.2
2024-12;13;Bouches-du-Rhône;8.9
2025-01;13;Bouches-du-Rhône;9.4
2025-02;13;Bouches-du-Rhône;10.2
2025-03;13;Bouches-du-Rhône;11.8
2025-04;13;Bouches-du-Rhône;15.0
2025-05;13;Bouches-du-Rhône;18.4
2025-06;13;Bouches-du-Rhône;25.0
2025-07;13;Bouches-du-Rhône;25.5
2025-08;13;Bouches-du-Rhône;25.5
2025-09;13;Bouches-du-Rhône;19.9
