Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;14;Calvados;7.3
2018-02;14;Calvados;3.4
2018-03;14;Calvados;6.9
2018-04;14;Calvados;11.6
2018-05;14;Calvados;13.2
2018-06;14;Calvados;16.1
2018-07;14;Calvados;19.2
2018-08;14;Calvados;17.9
2018-09;14;Calvados;15.8
2018-10;14;Calvados;13.2
2018-11;14;Calvados;8.6
2018-12;14;Calvados;7.9
2019-01;14;Calvados;5.3
2019-02;14;Calvados;7.5
2019-03;14;Calvados;8.9
2019-04;14;Calvados;9.7
2019-05;14;Calvados;11.7
2019-06;14;Calvados;16.2
2019-07;14;Calvados;18.4
2019-08;14;Calvados;18.1
2019-09;14;Calvados;15.8
2019-10;14;Calvados;12.9
2019-11;14;Calvados;7.9
2019-12;14;Calvados;7.3
2020-01;14;Calvados;6.9
2020-02;14;Calvados;8.1
2020-03;14;Calvados;7.7
2020-04;14;Calvados;12.0
2020-05;14;Calvados;12.9
2020-06;14;Calvados;15.8
2020-07;14;Calvados;17.2
2020-08;14;Calvados;19.4
2020-09;14;Calvados;16.5
2020-10;14;Calvados;12.1
2020-11;14;Calvados;10.1
2020-12;14;Calvados;7.0
2021-01;14;Calvados;5.1
2021-02;14;Calvados;6.4
2021-03;14;Calvados;7.7
2021-04;14;Calvados;7.4
2021-05;14;Calvados;11.3
2021-06;14;Calvados;15.9
2021-07;14;Calvados;17.6
2021-08;14;Calvados;16.8
2021-09;14;Calvados;16.9
2021-10;14;Calvados;12.8
2021-11;14;Calvados;8.3
2021-12;14;Calvados;7.5
2022-01;14;Calvados;5.8
2022-02;14;Calvados;7.5
2022-03;14;Calvados;9.3
2022-04;14;Calvados;9.8
2022-05;14;Calvados;13.7
2022-06;14;Calvados;16.5
2022-07;14;Calvados;19.2
2022-08;14;Calvados;19.8
2022-09;14;Calvados;16.0
2022-10;14;Calvados;15.1
2022-11;14;Calvados;10.5
2022-12;14;Calvados;5.3
2023-01;14;Calvados;6.7
2023-02;14;Calvados;6.7
2023-03;14;Calvados;9.0
2023-04;14;Calvados;9.7
2023-05;14;Calvados;12.9
2023-06;14;Calvados;17.4
2023-07;14;Calvados;17.8
2023-08;14;Calvados;18.0
2023-09;14;Calvados;18.7
2023-10;14;Calvados;14.5
2023-11;14;Calvados;9.6
2023-12;14;Calvados;8.4
2024-01;14;Calvados;5.1
2024-02;14;Calvados;9.2
2024-03;14;Calvados;9.0
2024-04;14;Calvados;10.7
2024-05;14;Calvados;13.6
2024-06;14;Calvados;14.7
2024-07;14;Calvados;17.7
2024-08;14;Calvados;18.8
2024-09;14;Calvados;15.2
2024-10;14;Calvados;13.3
2024-11;14;Calvados;9.1
2024-12;14;Calvados;7.3
2025-01;14;Calvados;4.5
2025-02;14;Calvados;5.7
2025-03;14;Calvados;8.3
2025-04;14;Calvados;11.5
2025-05;14;Calvados;13.6
2025-06;14;Calvados;17.6
2025-07;14;Calvados;18.3
2025-08;14;Calvados;18.6
2025-09;14;Calvados;15.9
