Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;15;Cantal;6.0
2018-02;15;Cantal;0.4
2018-03;15;Cantal;6.0
2018-04;15;Cantal;11.7
2018-05;15;Cantal;13.3
2018-06;15;Cantal;17.8
2018-07;15;Cantal;20.3
2018-08;15;Cantal;19.9
2018-09;15;Cantal;17.3
2018-10;15;Cantal;12.6
2018-11;15;Cantal;8.4
2018-12;15;Cantal;5.8
2019-01;15;Cantal;0.6
2019-02;15;Cantal;6.7
2019-03;15;Cantal;7.3
2019-04;15;Cantal;8.8
2019-05;15;Cantal;10.9
2019-06;15;Cantal;18.2
2019-07;15;Cantal;20.9
2019-08;15;Cantal;19.3
2019-09;15;Cantal;16.4
2019-10;15;Cantal;12.9
2019-11;15;Cantal;5.9
2019-12;15;Cantal;6.1
2020-01;15;Cantal;5.2
2020-02;15;Cantal;6.4
2020-03;15;Cantal;7.1
2020-04;15;Cantal;12.3
2020-05;15;Cantal;14.3
2020-06;15;Cantal;15.2
2020-07;15;Cantal;19.4
2020-08;15;Cantal;20.1
2020-09;15;Cantal;15.7
2020-10;15;Cantal;10.0
2020-11;15;Cantal;9.4
2020-12;15;Cantal;4.2
2021-01;15;Cantal;1.2
2021-02;15;Cantal;7.5
2021-03;15;Cantal;6.6
2021-04;15;Cantal;8.1
2021-05;15;Cantal;11.0
2021-06;15;Cantal;17.3
2021-07;15;Cantal;17.7
2021-08;15;Cantal;17.2
2021-09;15;Cantal;16.6
2021-10;15;Cantal;10.7
2021-11;15;Cantal;5.3
2021-12;15;Cantal;5.3
2022-01;15;Cantal;2.8
2022-02;15;Cantal;5.4
2022-03;15;Cantal;8.0
2022-04;15;Cantal;8.9
2022-05;15;Cantal;15.5
2022-06;15;Cantal;19.1
2022-07;15;Cantal;20.7
2022-08;15;Cantal;21.7
2022-09;15;Cantal;15.9
2022-10;15;Cantal;15.8
2022-11;15;Cantal;8.7
2022-12;15;Cantal;5.5
2023-01;15;Cantal;2.6
2023-02;15;Cantal;3.9
2023-03;15;Cantal;7.7
2023-04;15;Cantal;9.5
2023-05;15;Cantal;13.4
2023-06;15;Cantal;18.3
2023-07;15;Cantal;19.4
2023-08;15;Cantal;19.8
2023-09;15;Cantal;19.1
2023-10;15;Cantal;14.4
2023-11;15;Cantal;6.7
2023-12;15;Cantal;5.3
2024-01;15;Cantal;4.6
2024-02;15;Cantal;6.6
2024-03;15;Cantal;8.3
2024-04;15;Cantal;9.6
2024-05;15;Cantal;12.2
2024-06;15;Cantal;16.5
2024-07;15;Cantal;19.4
2024-08;15;Cantal;19.8
2024-09;15;Cantal;13.6
2024-10;15;Cantal;14.2
2024-11;15;Cantal;9.0
2024-12;15;Cantal;4.4
2025-01;15;Cantal;4.3
2025-02;15;Cantal;5.9
2025-03;15;Cantal;7.2
2025-04;15;Cantal;11.0
2025-05;15;Cantal;13.4
2025-06;15;Cantal;20.1
2025-07;15;Cantal;18.8
2025-08;15;Cantal;20.4
2025-09;15;Cantal;14.4
