Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;16;Charente;9.1
2018-02;16;Charente;4.4
2018-03;16;Charente;9.2
2018-04;16;Charente;14.3
2018-05;16;Charente;16.7
2018-06;16;Charente;20.8
2018-07;16;Charente;23.1
2018-08;16;Charente;22.7
2018-09;16;Charente;19.8
2018-10;16;Charente;14.9
2018-11;16;Charente;10.1
2018-12;16;Charente;8.9
2019-01;16;Charente;5.7
2019-02;16;Charente;9.2
2019-03;16;Charente;11.1
2019-04;16;Charente;12.6
2019-05;16;Charente;14.8
2019-06;16;Charente;20.0
2019-07;16;Charente;23.6
2019-08;16;Charente;21.7
2019-09;16;Charente;19.3
2019-10;16;Charente;16.1
2019-11;16;Charente;9.3
2019-12;16;Charente;9.3
2020-01;16;Charente;8.5
2020-02;16;Charente;10.3
2020-03;16;Charente;10.4
2020-04;16;Charente;15.4
2020-05;16;Charente;17.6
2020-06;16;Charente;18.2
2020-07;16;Charente;22.4
2020-08;16;Charente;22.6
2020-09;16;Charente;19.7
2020-10;16;Charente;13.8
2020-11;16;Charente;11.7
2020-12;16;Charente;8.0
2021-01;16;Charente;5.7
2021-02;16;Charente;9.9
2021-03;16;Charente;9.9
2021-04;16;Charente;12.3
2021-05;16;Charente;14.3
2021-06;16;Charente;20.4
2021-07;16;Charente;20.6
2021-08;16;Charente;20.0
2021-09;16;Charente;19.7
2021-10;16;Charente;13.9
2021-11;16;Charente;7.8
2021-12;16;Charente;7.9
2022-01;16;Charente;5.5
2022-02;16;Charente;8.8
2022-03;16;Charente;11.3
2022-04;16;Charente;12.8
2022-05;16;Charente;19.0
2022-06;16;Charente;21.4
2022-07;16;Charente;23.6
2022-08;16;Charente;25.0
2022-09;16;Charente;19.1
2022-10;16;Charente;18.4
2022-11;16;Charente;11.6
2022-12;16;Charente;7.3
2023-01;16;Charente;6.7
2023-02;16;Charente;6.9
2023-03;16;Charente;11.1
2023-04;16;Charente;12.8
2023-05;16;Charente;17.3
2023-06;16;Charente;22.5
2023-07;16;Charente;21.3
2023-08;16;Charente;22.6
2023-09;16;Charente;22.3
2023-10;16;Charente;17.0
2023-11;16;Charente;10.9
2023-12;16;Charente;8.5
2024-01;16;Charente;7.1
2024-02;16;Charente;10.0
2024-03;16;Charente;11.1
2024-04;16;Charente;13.5
2024-05;16;Charente;15.4
2024-06;16;Charente;19.4
2024-07;16;Charente;21.8
2024-08;16;Charente;22.0
2024-09;16;Charente;17.2
2024-10;16;Charente;15.9
2024-11;16;Charente;12.1
2024-12;16;Charente;7.2
2025-01;16;Charente;7.1
2025-02;16;Charente;8.8
2025-03;16;Charente;10.4
2025-04;16;Charente;14.3
2025-05;16;Charente;17.1
2025-06;16;Charente;22.7
2025-07;16;Charente;22.4
2025-08;16;Charente;23.6
2025-09;16;Charente;17.7
