Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;17;Charente-Maritime;9.8
2018-02;17;Charente-Maritime;5.7
2018-03;17;Charente-Maritime;9.1
2018-04;17;Charente-Maritime;13.2
2018-05;17;Charente-Maritime;15.4
2018-06;17;Charente-Maritime;19.8
2018-07;17;Charente-Maritime;21.4
2018-08;17;Charente-Maritime;20.4
2018-09;17;Charente-Maritime;18.5
2018-10;17;Charente-Maritime;14.9
2018-11;17;Charente-Maritime;10.9
2018-12;17;Charente-Maritime;10.0
2019-01;17;Charente-Maritime;7.2
2019-02;17;Charente-Maritime;9.5
2019-03;17;Charente-Maritime;11.0
2019-04;17;Charente-Maritime;12.0
2019-05;17;Charente-Maritime;14.1
2019-06;17;Charente-Maritime;18.4
2019-07;17;Charente-Maritime;21.5
2019-08;17;Charente-Maritime;20.3
2019-09;17;Charente-Maritime;18.5
2019-10;17;Charente-Maritime;16.0
2019-11;17;Charente-Maritime;11.0
2019-12;17;Charente-Maritime;10.1
2020-01;17;Charente-Maritime;9.4
2020-02;17;Charente-Maritime;10.7
2020-03;17;Charente-Maritime;10.5
2020-04;17;Charente-Maritime;14.2
2020-05;17;Charente-Maritime;16.5
2020-06;17;Charente-Maritime;17.6
2020-07;17;Charente-Maritime;19.9
2020-08;17;Charente-Maritime;20.9
2020-09;17;Charente-Maritime;19.1
2020-10;17;Charente-Maritime;14.4
2020-11;17;Charente-Maritime;12.6
2020-12;17;Charente-Maritime;9.7
2021-01;17;Charente-Maritime;6.7
2021-02;17;Charente-Maritime;9.2
2021-03;17;Charente-Maritime;10.0
2021-04;17;Charente-Maritime;11.7
2021-05;17;Charente-Maritime;14.1
2021-06;17;Charente-Maritime;19.0
2021-07;17;Charente-Maritime;19.9
2021-08;17;Charente-Maritime;19.3
2021-09;17;Charente-Maritime;19.7
2021-10;17;Charente-Maritime;15.1
2021-11;17;Charente-Maritime;9.5
2021-12;17;Charente-Maritime;8.8
2022-01;17;Charente-Maritime;6.7
2022-02;17;Charente-Maritime;9.2
2022-03;17;Charente-Maritime;11.2
2022-04;17;Charente-Maritime;12.3
2022-05;17;Charente-Maritime;17.3
2022-06;17;Charente-Maritime;19.3
2022-07;17;Charente-Maritime;21.4
2022-08;17;Charente-Maritime;22.1
2022-09;17;Charente-Maritime;18.8
2022-10;17;Charente-Maritime;18.0
2022-11;17;Charente-Maritime;13.6
2022-12;17;Charente-Maritime;7.8
2023-01;17;Charente-Maritime;8.3
2023-02;17;Charente-Maritime;7.6
2023-03;17;Charente-Maritime;10.3
2023-04;17;Charente-Maritime;12.2
2023-05;17;Charente-Maritime;16.3
2023-06;17;Charente-Maritime;20.5
2023-07;17;Charente-Maritime;19.9
2023-08;17;Charente-Maritime;20.6
2023-09;17;Charente-Maritime;21.4
2023-10;17;Charente-Maritime;17.8
2023-11;17;Charente-Maritime;12.5
2023-12;17;Charente-Maritime;10.3
2024-01;17;Charente-Maritime;7.7
2024-02;17;Charente-Maritime;10.7
2024-03;17;Charente-Maritime;11.2
2024-04;17;Charente-Maritime;13.1
2024-05;17;Charente-Maritime;15.5
2024-06;17;Charente-Maritime;18.1
2024-07;17;Charente-Maritime;20.2
2024-08;17;Charente-Maritime;20.6
2024-09;17;Charente-Maritime;17.2
2024-10;17;Charente-Maritime;15.7
2024-11;17;Charente-Maritime;12.2
2024-12;17;Charente-Maritime;8.9
2025-01;17;Charente-Maritime;7.5
2025-02;17;Charente-Maritime;8.6
2025-03;17;Charente-Maritime;10.8
2025-04;17;Charente-Maritime;14.3
2025-05;17;Charente-Maritime;16.7
2025-06;17;Charente-Maritime;21.3
2025-07;17;Charente-Maritime;21.0
2025-08;17;Charente-Maritime;21.8
2025-09;17;Charente-Maritime;18.3
