Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;18;Cher;7.7
2018-02;18;Cher;1.8
2018-03;18;Cher;7.9
2018-04;18;Cher;13.3
2018-05;18;Cher;15.7
2018-06;18;Cher;19.8
2018-07;18;Cher;22.6
2018-08;18;Cher;21.9
2018-09;18;Cher;18.4
2018-10;18;Cher;14.1
2018-11;18;Cher;8.7
2018-12;18;Cher;6.5
2019-01;18;Cher;3.3
2019-02;18;Cher;7.6
2019-03;18;Cher;9.4
2019-04;18;Cher;11.1
2019-05;18;Cher;13.2
2019-06;18;Cher;20.0
2019-07;18;Cher;22.9
2019-08;18;Cher;21.7
2019-09;18;Cher;17.7
2019-10;18;Cher;14.5
2019-11;18;Cher;8.3
2019-12;18;Cher;7.2
2020-01;18;Cher;6.8
2020-02;18;Cher;8.8
2020-03;18;Cher;9.0
2020-04;18;Cher;14.2
2020-05;18;Cher;16.0
2020-06;18;Cher;17.9
2020-07;18;Cher;21.1
2020-08;18;Cher;22.1
2020-09;18;Cher;18.5
2020-10;18;Cher;12.1
2020-11;18;Cher;9.9
2020-12;18;Cher;6.3
2021-01;18;Cher;4.0
2021-02;18;Cher;7.4
2021-03;18;Cher;7.9
2021-04;18;Cher;9.9
2021-05;18;Cher;12.9
2021-06;18;Cher;19.8
2021-07;18;Cher;19.5
2021-08;18;Cher;19.2
2021-09;18;Cher;19.0
2021-10;18;Cher;12.4
2021-11;18;Cher;6.0
2021-12;18;Cher;5.6
2022-01;18;Cher;3.5
2022-02;18;Cher;7.2
2022-03;18;Cher;9.7
2022-04;18;Cher;11.4
2022-05;18;Cher;17.5
2022-06;18;Cher;20.8
2022-07;18;Cher;22.1
2022-08;18;Cher;23.1
2022-09;18;Cher;17.0
2022-10;18;Cher;16.5
2022-11;18;Cher;9.8
2022-12;18;Cher;5.5
2023-01;18;Cher;5.6
2023-02;18;Cher;6.3
2023-03;18;Cher;9.3
2023-04;18;Cher;10.8
2023-05;18;Cher;15.8
2023-06;18;Cher;21.6
2023-07;18;Cher;21.1
2023-08;18;Cher;21.6
2023-09;18;Cher;21.6
2023-10;18;Cher;15.7
2023-11;18;Cher;9.4
2023-12;18;Cher;7.2
2024-01;18;Cher;5.2
2024-02;18;Cher;8.6
2024-03;18;Cher;10.0
2024-04;18;Cher;11.9
2024-05;18;Cher;14.8
2024-06;18;Cher;18.4
2024-07;18;Cher;21.2
2024-08;18;Cher;21.6
2024-09;18;Cher;16.1
2024-10;18;Cher;14.8
2024-11;18;Cher;9.1
2024-12;18;Cher;5.3
2025-01;18;Cher;4.8
2025-02;18;Cher;6.1
2025-03;18;Cher;9.0
2025-04;18;Cher;13.1
2025-05;18;Cher;16.0
2025-06;18;Cher;22.3
2025-07;18;Cher;21.5
2025-08;18;Cher;21.8
2025-09;18;Cher;16.5
