Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;19;Corrèze;8.7
2018-02;19;Corrèze;3.8
2018-03;19;Corrèze;8.9
2018-04;19;Corrèze;14.5
2018-05;19;Corrèze;16.3
2018-06;19;Corrèze;20.8
2018-07;19;Corrèze;23.0
2018-08;19;Corrèze;22.8
2018-09;19;Corrèze;19.7
2018-10;19;Corrèze;15.1
2018-11;19;Corrèze;10.0
2018-12;19;Corrèze;7.6
2019-01;19;Corrèze;4.0
2019-02;19;Corrèze;8.2
2019-03;19;Corrèze;10.1
2019-04;19;Corrèze;12.0
2019-05;19;Corrèze;14.4
2019-06;19;Corrèze;20.4
2019-07;19;Corrèze;24.1
2019-08;19;Corrèze;22.0
2019-09;19;Corrèze;19.2
2019-10;19;Corrèze;15.9
2019-11;19;Corrèze;9.1
2019-12;19;Corrèze;8.6
2020-01;19;Corrèze;7.5
2020-02;19;Corrèze;9.5
2020-03;19;Corrèze;10.0
2020-04;19;Corrèze;15.0
2020-05;19;Corrèze;17.9
2020-06;19;Corrèze;18.6
2020-07;19;Corrèze;22.5
2020-08;19;Corrèze;22.9
2020-09;19;Corrèze;18.9
2020-10;19;Corrèze;13.1
2020-11;19;Corrèze;11.0
2020-12;19;Corrèze;7.0
2021-01;19;Corrèze;4.6
2021-02;19;Corrèze;10.1
2021-03;19;Corrèze;9.3
2021-04;19;Corrèze;11.1
2021-05;19;Corrèze;14.4
2021-06;19;Corrèze;20.5
2021-07;19;Corrèze;20.6
2021-08;19;Corrèze;20.2
2021-09;19;Corrèze;19.5
2021-10;19;Corrèze;13.3
2021-11;19;Corrèze;7.9
2021-12;19;Corrèze;6.8
2022-01;19;Corrèze;4.2
2022-02;19;Corrèze;8.0
2022-03;19;Corrèze;10.8
2022-04;19;Corrèze;12.3
2022-05;19;Corrèze;18.5
2022-06;19;Corrèze;21.5
2022-07;19;Corrèze;23.5
2022-08;19;Corrèze;24.5
2022-09;19;Corrèze;18.9
2022-10;19;Corrèze;18.5
2022-11;19;Corrèze;11.0
2022-12;19;Corrèze;7.5
2023-01;19;Corrèze;6.0
2023-02;19;Corrèze;6.6
2023-03;19;Corrèze;11.0
2023-04;19;Corrèze;12.7
2023-05;19;Corrèze;16.9
2023-06;19;Corrèze;21.8
2023-07;19;Corrèze;22.2
2023-08;19;Corrèze;22.7
2023-09;19;Corrèze;21.6
2023-10;19;Corrèze;16.9
2023-11;19;Corrèze;10.4
2023-12;19;Corrèze;7.3
2024-01;19;Corrèze;6.6
2024-02;19;Corrèze;9.3
2024-03;19;Corrèze;11.2
2024-04;19;Corrèze;13.2
2024-05;19;Corrèze;15.6
2024-06;19;Corrèze;19.8
2024-07;19;Corrèze;22.5
2024-08;19;Corrèze;22.8
2024-09;19;Corrèze;16.8
2024-10;19;Corrèze;16.6
2024-11;19;Corrèze;11.3
2024-12;19;Corrèze;5.9
2025-01;19;Corrèze;6.5
2025-02;19;Corrèze;8.4
2025-03;19;Corrèze;10.3
2025-04;19;Corrèze;14.0
2025-05;19;Corrèze;16.9
2025-06;19;Corrèze;22.8
2025-07;19;Corrèze;22.4
2025-08;19;Corrèze;23.6
2025-09;19;Corrèze;17.5
