Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;21;Côte-d'Or;6.7
2018-02;21;Côte-d'Or;1.4
2018-03;21;Côte-d'Or;6.1
2018-04;21;Côte-d'Or;13.1
2018-05;21;Côte-d'Or;16.2
2018-06;21;Côte-d'Or;19.9
2018-07;21;Côte-d'Or;23.2
2018-08;21;Côte-d'Or;22.3
2018-09;21;Côte-d'Or;18.1
2018-10;21;Côte-d'Or;12.9
2018-11;21;Côte-d'Or;7.2
2018-12;21;Côte-d'Or;5.4
2019-01;21;Côte-d'Or;2.3
2019-02;21;Côte-d'Or;5.8
2019-03;21;Côte-d'Or;8.6
2019-04;21;Côte-d'Or;10.6
2019-05;21;Côte-d'Or;12.7
2019-06;21;Côte-d'Or;20.0
2019-07;21;Côte-d'Or;23.0
2019-08;21;Côte-d'Or;21.4
2019-09;21;Côte-d'Or;17.6
2019-10;21;Côte-d'Or;13.4
2019-11;21;Côte-d'Or;6.7
2019-12;21;Côte-d'Or;5.9
2020-01;21;Côte-d'Or;4.2
2020-02;21;Côte-d'Or;7.7
2020-03;21;Côte-d'Or;7.8
2020-04;21;Côte-d'Or;13.4
2020-05;21;Côte-d'Or;15.5
2020-06;21;Côte-d'Or;18.4
2020-07;21;Côte-d'Or;22.2
2020-08;21;Côte-d'Or;22.7
2020-09;21;Côte-d'Or;18.6
2020-10;21;Côte-d'Or;11.3
2020-11;21;Côte-d'Or;7.3
2020-12;21;Côte-d'Or;4.6
2021-01;21;Côte-d'Or;2.9
2021-02;21;Côte-d'Or;5.9
2021-03;21;Côte-d'Or;7.1
2021-04;21;Côte-d'Or;9.3
2021-05;21;Côte-d'Or;12.1
2021-06;21;Côte-d'Or;20.0
2021-07;21;Côte-d'Or;19.4
2021-08;21;Côte-d'Or;19.0
2021-09;21;Côte-d'Or;18.1
2021-10;21;Côte-d'Or;11.4
2021-11;21;Côte-d'Or;5.1
2021-12;21;Côte-d'Or;4.3
2022-01;21;Côte-d'Or;2.2
2022-02;21;Côte-d'Or;5.9
2022-03;21;Côte-d'Or;8.6
2022-04;21;Côte-d'Or;10.7
2022-05;21;Côte-d'Or;17.2
2022-06;21;Côte-d'Or;20.9
2022-07;21;Côte-d'Or;22.7
2022-08;21;Côte-d'Or;23.4
2022-09;21;Côte-d'Or;16.4
2022-10;21;Côte-d'Or;15.4
2022-11;21;Côte-d'Or;8.7
2022-12;21;Côte-d'Or;4.4
2023-01;21;Côte-d'Or;5.0
2023-02;21;Côte-d'Or;5.4
2023-03;21;Côte-d'Or;8.5
2023-04;21;Côte-d'Or;10.0
2023-05;21;Côte-d'Or;15.9
2023-06;21;Côte-d'Or;21.4
2023-07;21;Côte-d'Or;21.8
2023-08;21;Côte-d'Or;21.9
2023-09;21;Côte-d'Or;20.3
2023-10;21;Côte-d'Or;14.8
2023-11;21;Côte-d'Or;8.0
2023-12;21;Côte-d'Or;5.7
2024-01;21;Côte-d'Or;3.5
2024-02;21;Côte-d'Or;7.9
2024-03;21;Côte-d'Or;9.6
2024-04;21;Côte-d'Or;10.9
2024-05;21;Côte-d'Or;14.9
2024-06;21;Côte-d'Or;18.6
2024-07;21;Côte-d'Or;21.2
2024-08;21;Côte-d'Or;22.4
2024-09;21;Côte-d'Or;16.3
2024-10;21;Côte-d'Or;13.9
2024-11;21;Côte-d'Or;7.0
2024-12;21;Côte-d'Or;3.4
2025-01;21;Côte-d'Or;3.8
2025-02;21;Côte-d'Or;5.2
2025-03;21;Côte-d'Or;8.3
2025-04;21;Côte-d'Or;12.5
2025-05;21;Côte-d'Or;15.4
2025-06;21;Côte-d'Or;22.0
2025-07;21;Côte-d'Or;21.2
2025-08;21;Côte-d'Or;21.8
2025-09;21;Côte-d'Or;15.9
