Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;22;Côtes-d'Armor;8.5
2018-02;22;Côtes-d'Armor;4.8
2018-03;22;Côtes-d'Armor;7.5
2018-04;22;Côtes-d'Armor;11.5
2018-05;22;Côtes-d'Armor;12.8
2018-06;22;Côtes-d'Armor;15.8
2018-07;22;Côtes-d'Armor;18.3
2018-08;22;Côtes-d'Armor;17.5
2018-09;22;Côtes-d'Armor;16.4
2018-10;22;Côtes-d'Armor;13.0
2018-11;22;Côtes-d'Armor;9.5
2018-12;22;Côtes-d'Armor;9.3
2019-01;22;Côtes-d'Armor;6.8
2019-02;22;Côtes-d'Armor;9.1
2019-03;22;Côtes-d'Armor;9.5
2019-04;22;Côtes-d'Armor;10.3
2019-05;22;Côtes-d'Armor;12.3
2019-06;22;Côtes-d'Armor;15.3
2019-07;22;Côtes-d'Armor;18.1
2019-08;22;Côtes-d'Armor;17.7
2019-09;22;Côtes-d'Armor;16.2
2019-10;22;Côtes-d'Armor;13.3
2019-11;22;Côtes-d'Armor;9.0
2019-12;22;Côtes-d'Armor;8.3
2020-01;22;Côtes-d'Armor;8.3
2020-02;22;Côtes-d'Armor;9.2
2020-03;22;Côtes-d'Armor;8.6
2020-04;22;Côtes-d'Armor;12.3
2020-05;22;Côtes-d'Armor;13.7
2020-06;22;Côtes-d'Armor;15.6
2020-07;22;Côtes-d'Armor;16.8
2020-08;22;Côtes-d'Armor;18.6
2020-09;22;Côtes-d'Armor;16.2
2020-10;22;Côtes-d'Armor;12.5
2020-11;22;Côtes-d'Armor;11.3
2020-12;22;Côtes-d'Armor;8.3
2021-01;22;Côtes-d'Armor;6.7
2021-02;22;Côtes-d'Armor;7.7
2021-03;22;Côtes-d'Armor;8.9
2021-04;22;Côtes-d'Armor;8.8
2021-05;22;Côtes-d'Armor;11.6
2021-06;22;Côtes-d'Armor;15.4
2021-07;22;Côtes-d'Armor;17.3
2021-08;22;Côtes-d'Armor;16.9
2021-09;22;Côtes-d'Armor;17.1
2021-10;22;Côtes-d'Armor;13.8
2021-11;22;Côtes-d'Armor;9.7
2021-12;22;Côtes-d'Armor;8.7
2022-01;22;Côtes-d'Armor;7.4
2022-02;22;Côtes-d'Armor;8.7
2022-03;22;Côtes-d'Armor;9.6
2022-04;22;Côtes-d'Armor;10.5
2022-05;22;Côtes-d'Armor;14.0
2022-06;22;Côtes-d'Armor;16.0
2022-07;22;Côtes-d'Armor;18.7
2022-08;22;Côtes-d'Armor;19.3
2022-09;22;Côtes-d'Armor;16.4
2022-10;22;Côtes-d'Armor;15.4
2022-11;22;Côtes-d'Armor;11.4
2022-12;22;Côtes-d'Armor;6.9
2023-01;22;Côtes-d'Armor;7.7
2023-02;22;Côtes-d'Armor;7.8
2023-03;22;Côtes-d'Armor;9.9
2023-04;22;Côtes-d'Armor;10.6
2023-05;22;Côtes-d'Armor;13.3
2023-06;22;Côtes-d'Armor;17.2
2023-07;22;Côtes-d'Armor;17.7
2023-08;22;Côtes-d'Armor;17.7
2023-09;22;Côtes-d'Armor;18.8
2023-10;22;Côtes-d'Armor;15.0
2023-11;22;Côtes-d'Armor;10.6
2023-12;22;Côtes-d'Armor;9.9
2024-01;22;Côtes-d'Armor;7.0
2024-02;22;Côtes-d'Armor;10.1
2024-03;22;Côtes-d'Armor;9.6
2024-04;22;Côtes-d'Armor;11.3
2024-05;22;Côtes-d'Armor;13.9
2024-06;22;Côtes-d'Armor;15.0
2024-07;22;Côtes-d'Armor;17.3
2024-08;22;Côtes-d'Armor;18.5
2024-09;22;Côtes-d'Armor;15.5
2024-10;22;Côtes-d'Armor;13.7
2024-11;22;Côtes-d'Armor;10.7
2024-12;22;Côtes-d'Armor;8.6
2025-01;22;Côtes-d'Armor;6.0
2025-02;22;Côtes-d'Armor;7.9
2025-03;22;Côtes-d'Armor;9.4
2025-04;22;Côtes-d'Armor;11.9
2025-05;22;Côtes-d'Armor;14.0
2025-06;22;Côtes-d'Armor;17.7
2025-07;22;Côtes-d'Armor;18.2
2025-08;22;Côtes-d'Armor;18.7
2025-09;22;Côtes-d'Armor;15.8
