Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;23;Creuse;7.1
2018-02;23;Creuse;1.1
2018-03;23;Creuse;7.0
2018-04;23;Creuse;12.1
2018-05;23;Creuse;13.8
2018-06;23;Creuse;17.6
2018-07;23;Creuse;20.3
2018-08;23;Creuse;20.0
2018-09;23;Creuse;16.8
2018-10;23;Creuse;12.3
2018-11;23;Creuse;8.1
2018-12;23;Creuse;6.3
2019-01;23;Creuse;2.3
2019-02;23;Creuse;6.6
2019-03;23;Creuse;8.0
2019-04;23;Creuse;9.5
2019-05;23;Creuse;11.3
2019-06;23;Creuse;18.1
2019-07;23;Creuse;20.7
2019-08;23;Creuse;19.5
2019-09;23;Creuse;15.8
2019-10;23;Creuse;14.1
2019-11;23;Creuse;7.2
2019-12;23;Creuse;7.4
2020-01;23;Creuse;5.8
2020-02;23;Creuse;8.0
2020-03;23;Creuse;7.6
2020-04;23;Creuse;12.6
2020-05;23;Creuse;13.9
2020-06;23;Creuse;15.9
2020-07;23;Creuse;18.9
2020-08;23;Creuse;20.3
2020-09;23;Creuse;16.3
2020-10;23;Creuse;11.4
2020-11;23;Creuse;9.2
2020-12;23;Creuse;5.5
2021-01;23;Creuse;3.2
2021-02;23;Creuse;7.4
2021-03;23;Creuse;6.6
2021-04;23;Creuse;7.8
2021-05;23;Creuse;11.7
2021-06;23;Creuse;18.1
2021-07;23;Creuse;18.0
2021-08;23;Creuse;17.2
2021-09;23;Creuse;17.3
2021-10;23;Creuse;11.0
2021-11;23;Creuse;5.5
2021-12;23;Creuse;5.4
2022-01;23;Creuse;3.3
2022-02;23;Creuse;6.3
2022-03;23;Creuse;8.3
2022-04;23;Creuse;9.8
2022-05;23;Creuse;15.7
2022-06;23;Creuse;19.2
2022-07;23;Creuse;19.6
2022-08;23;Creuse;20.8
2022-09;23;Creuse;15.6
2022-10;23;Creuse;16.3
2022-11;23;Creuse;9.4
2022-12;23;Creuse;4.9
2023-01;23;Creuse;4.4
2023-02;23;Creuse;5.0
2023-03;23;Creuse;8.8
2023-04;23;Creuse;9.7
2023-05;23;Creuse;13.7
2023-06;23;Creuse;19.5
2023-07;23;Creuse;19.3
2023-08;23;Creuse;19.8
2023-09;23;Creuse;19.7
2023-10;23;Creuse;14.5
2023-11;23;Creuse;8.3
2023-12;23;Creuse;6.7
2024-01;23;Creuse;5.2
2024-02;23;Creuse;7.7
2024-03;23;Creuse;8.7
2024-04;23;Creuse;10.6
2024-05;23;Creuse;13.3
2024-06;23;Creuse;16.9
2024-07;23;Creuse;19.9
2024-08;23;Creuse;19.8
2024-09;23;Creuse;14.5
2024-10;23;Creuse;14.4
2024-11;23;Creuse;9.8
2024-12;23;Creuse;4.9
2025-01;23;Creuse;5.1
2025-02;23;Creuse;6.4
2025-03;23;Creuse;7.1
2025-04;23;Creuse;11.1
2025-05;23;Creuse;13.9
2025-06;23;Creuse;20.5
2025-07;23;Creuse;19.8
2025-08;23;Creuse;20.2
2025-09;23;Creuse;15.2
