Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;24;Dordogne;8.7
2018-02;24;Dordogne;3.9
2018-03;24;Dordogne;8.7
2018-04;24;Dordogne;13.8
2018-05;24;Dordogne;15.9
2018-06;24;Dordogne;20.1
2018-07;24;Dordogne;22.2
2018-08;24;Dordogne;21.8
2018-09;24;Dordogne;19.0
2018-10;24;Dordogne;14.3
2018-11;24;Dordogne;9.3
2018-12;24;Dordogne;7.8
2019-01;24;Dordogne;4.4
2019-02;24;Dordogne;7.8
2019-03;24;Dordogne;9.8
2019-04;24;Dordogne;11.6
2019-05;24;Dordogne;13.9
2019-06;24;Dordogne;19.4
2019-07;24;Dordogne;22.9
2019-08;24;Dordogne;21.1
2019-09;24;Dordogne;18.2
2019-10;24;Dordogne;15.6
2019-11;24;Dordogne;9.0
2019-12;24;Dordogne;8.4
2020-01;24;Dordogne;7.4
2020-02;24;Dordogne;9.2
2020-03;24;Dordogne;9.6
2020-04;24;Dordogne;14.4
2020-05;24;Dordogne;17.2
2020-06;24;Dordogne;17.9
2020-07;24;Dordogne;21.5
2020-08;24;Dordogne;22.3
2020-09;24;Dordogne;18.4
2020-10;24;Dordogne;13.3
2020-11;24;Dordogne;10.5
2020-12;24;Dordogne;6.6
2021-01;24;Dordogne;4.8
2021-02;24;Dordogne;10.0
2021-03;24;Dordogne;8.9
2021-04;24;Dordogne;10.8
2021-05;24;Dordogne;13.9
2021-06;24;Dordogne;19.9
2021-07;24;Dordogne;20.1
2021-08;24;Dordogne;19.5
2021-09;24;Dordogne;19.0
2021-10;24;Dordogne;12.9
2021-11;24;Dordogne;7.7
2021-12;24;Dordogne;7.1
2022-01;24;Dordogne;4.2
2022-02;24;Dordogne;7.9
2022-03;24;Dordogne;10.2
2022-04;24;Dordogne;12.0
2022-05;24;Dordogne;17.8
2022-06;24;Dordogne;20.8
2022-07;24;Dordogne;22.3
2022-08;24;Dordogne;23.5
2022-09;24;Dordogne;18.3
2022-10;24;Dordogne;18.0
2022-11;24;Dordogne;10.7
2022-12;24;Dordogne;7.5
2023-01;24;Dordogne;6.1
2023-02;24;Dordogne;6.0
2023-03;24;Dordogne;10.6
2023-04;24;Dordogne;12.4
2023-05;24;Dordogne;16.3
2023-06;24;Dordogne;21.4
2023-07;24;Dordogne;21.4
2023-08;24;Dordogne;22.3
2023-09;24;Dordogne;21.4
2023-10;24;Dordogne;16.2
2023-11;24;Dordogne;10.5
2023-12;24;Dordogne;7.8
2024-01;24;Dordogne;6.6
2024-02;24;Dordogne;9.1
2024-03;24;Dordogne;10.7
2024-04;24;Dordogne;13.0
2024-05;24;Dordogne;15.0
2024-06;24;Dordogne;19.2
2024-07;24;Dordogne;21.9
2024-08;24;Dordogne;21.8
2024-09;24;Dordogne;16.4
2024-10;24;Dordogne;15.8
2024-11;24;Dordogne;10.9
2024-12;24;Dordogne;6.2
2025-01;24;Dordogne;6.2
2025-02;24;Dordogne;8.2
2025-03;24;Dordogne;9.8
2025-04;24;Dordogne;13.3
2025-05;24;Dordogne;16.2
2025-06;24;Dordogne;22.2
2025-07;24;Dordogne;21.8
2025-08;24;Dordogne;23.0
2025-09;24;Dordogne;17.2
