Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;25;Doubs;7.1
2018-02;25;Doubs;1.1
2018-03;25;Doubs;6.3
2018-04;25;Doubs;13.7
2018-05;25;Doubs;16.0
2018-06;25;Doubs;19.3
2018-07;25;Doubs;22.6
2018-08;25;Doubs;21.9
2018-09;25;Doubs;18.1
2018-10;25;Doubs;13.0
2018-11;25;Doubs;7.9
2018-12;25;Doubs;5.3
2019-01;25;Doubs;2.0
2019-02;25;Doubs;6.5
2019-03;25;Doubs;8.8
2019-04;25;Doubs;10.6
2019-05;25;Doubs;12.4
2019-06;25;Doubs;20.2
2019-07;25;Doubs;22.4
2019-08;25;Doubs;20.8
2019-09;25;Doubs;17.0
2019-10;25;Doubs;13.5
2019-11;25;Doubs;7.1
2019-12;25;Doubs;5.8
2020-01;25;Doubs;4.9
2020-02;25;Doubs;8.1
2020-03;25;Doubs;7.8
2020-04;25;Doubs;13.6
2020-05;25;Doubs;15.0
2020-06;25;Doubs;17.9
2020-07;25;Doubs;21.2
2020-08;25;Doubs;22.1
2020-09;25;Doubs;18.2
2020-10;25;Doubs;11.3
2020-11;25;Doubs;8.7
2020-12;25;Doubs;5.1
2021-01;25;Doubs;2.8
2021-02;25;Doubs;6.5
2021-03;25;Doubs;7.1
2021-04;25;Doubs;9.3
2021-05;25;Doubs;12.2
2021-06;25;Doubs;19.9
2021-07;25;Doubs;19.2
2021-08;25;Doubs;18.4
2021-09;25;Doubs;17.7
2021-10;25;Doubs;11.7
2021-11;25;Doubs;5.1
2021-12;25;Doubs;4.4
2022-01;25;Doubs;2.1
2022-02;25;Doubs;6.0
2022-03;25;Doubs;9.1
2022-04;25;Doubs;10.5
2022-05;25;Doubs;17.1
2022-06;25;Doubs;20.8
2022-07;25;Doubs;22.5
2022-08;25;Doubs;22.9
2022-09;25;Doubs;16.2
2022-10;25;Doubs;16.2
2022-11;25;Doubs;9.2
2022-12;25;Doubs;5.0
2023-01;25;Doubs;4.8
2023-02;25;Doubs;5.5
2023-03;25;Doubs;8.6
2023-04;25;Doubs;10.2
2023-05;25;Doubs;15.6
2023-06;25;Doubs;21.1
2023-07;25;Doubs;21.3
2023-08;25;Doubs;21.0
2023-09;25;Doubs;20.5
2023-10;25;Doubs;15.0
2023-11;25;Doubs;7.9
2023-12;25;Doubs;5.9
2024-01;25;Doubs;4.2
2024-02;25;Doubs;7.9
2024-03;25;Doubs;9.9
2024-04;25;Doubs;10.8
2024-05;25;Doubs;14.9
2024-06;25;Doubs;18.6
2024-07;25;Doubs;21.1
2024-08;25;Doubs;22.2
2024-09;25;Doubs;16.0
2024-10;25;Doubs;14.2
2024-11;25;Doubs;7.2
2024-12;25;Doubs;2.9
2025-01;25;Doubs;4.5
2025-02;25;Doubs;5.6
2025-03;25;Doubs;8.7
2025-04;25;Doubs;12.7
2025-05;25;Doubs;15.2
2025-06;25;Doubs;21.6
2025-07;25;Doubs;20.4
2025-08;25;Doubs;21.2
2025-09;25;Doubs;16.1
