Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;26;Drôme;8.6
2018-02;26;Drôme;4.3
2018-03;26;Drôme;9.4
2018-04;26;Drôme;15.3
2018-05;26;Drôme;17.7
2018-06;26;Drôme;21.7
2018-07;26;Drôme;25.7
2018-08;26;Drôme;25.1
2018-09;26;Drôme;21.3
2018-10;26;Drôme;15.7
2018-11;26;Drôme;10.6
2018-12;26;Drôme;7.0
2019-01;26;Drôme;5.3
2019-02;26;Drôme;7.9
2019-03;26;Drôme;11.1
2019-04;26;Drôme;12.4
2019-05;26;Drôme;15.9
2019-06;26;Drôme;22.3
2019-07;26;Drôme;25.8
2019-08;26;Drôme;24.7
2019-09;26;Drôme;20.9
2019-10;26;Drôme;16.6
2019-11;26;Drôme;9.1
2019-12;26;Drôme;8.2
2020-01;26;Drôme;7.3
2020-02;26;Drôme;9.1
2020-03;26;Drôme;10.5
2020-04;26;Drôme;14.6
2020-05;26;Drôme;18.5
2020-06;26;Drôme;21.1
2020-07;26;Drôme;25.0
2020-08;26;Drôme;24.7
2020-09;26;Drôme;20.6
2020-10;26;Drôme;13.6
2020-11;26;Drôme;10.8
2020-12;26;Drôme;6.8
2021-01;26;Drôme;5.2
2021-02;26;Drôme;9.0
2021-03;26;Drôme;9.7
2021-04;26;Drôme;11.7
2021-05;26;Drôme;15.3
2021-06;26;Drôme;22.4
2021-07;26;Drôme;23.3
2021-08;26;Drôme;22.3
2021-09;26;Drôme;21.0
2021-10;26;Drôme;14.3
2021-11;26;Drôme;8.7
2021-12;26;Drôme;6.1
2022-01;26;Drôme;5.1
2022-02;26;Drôme;8.6
2022-03;26;Drôme;10.0
2022-04;26;Drôme;13.2
2022-05;26;Drôme;20.1
2022-06;26;Drôme;24.9
2022-07;26;Drôme;26.7
2022-08;26;Drôme;26.2
2022-09;26;Drôme;19.8
2022-10;26;Drôme;17.9
2022-11;26;Drôme;10.9
2022-12;26;Drôme;7.1
2023-01;26;Drôme;6.7
2023-02;26;Drôme;7.5
2023-03;26;Drôme;11.0
2023-04;26;Drôme;13.2
2023-05;26;Drôme;17.8
2023-06;26;Drôme;23.1
2023-07;26;Drôme;24.8
2023-08;26;Drôme;24.7
2023-09;26;Drôme;21.4
2023-10;26;Drôme;17.8
2023-11;26;Drôme;9.7
2023-12;26;Drôme;7.4
2024-01;26;Drôme;6.4
2024-02;26;Drôme;9.6
2024-03;26;Drôme;11.5
2024-04;26;Drôme;13.4
2024-05;26;Drôme;16.6
2024-06;26;Drôme;21.1
2024-07;26;Drôme;24.3
2024-08;26;Drôme;25.5
2024-09;26;Drôme;18.5
2024-10;26;Drôme;16.6
2024-11;26;Drôme;10.4
2024-12;26;Drôme;5.6
2025-01;26;Drôme;6.7
2025-02;26;Drôme;8.1
2025-03;26;Drôme;10.3
2025-04;26;Drôme;14.7
2025-05;26;Drôme;17.6
2025-06;26;Drôme;25.0
2025-07;26;Drôme;24.4
2025-08;26;Drôme;25.0
2025-09;26;Drôme;18.5
