Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;27;Eure;7.0
2018-02;27;Eure;1.8
2018-03;27;Eure;6.5
2018-04;27;Eure;12.4
2018-05;27;Eure;14.8
2018-06;27;Eure;17.9
2018-07;27;Eure;21.6
2018-08;27;Eure;19.6
2018-09;27;Eure;15.8
2018-10;27;Eure;12.7
2018-11;27;Eure;7.4
2018-12;27;Eure;6.5
2019-01;27;Eure;3.8
2019-02;27;Eure;6.7
2019-03;27;Eure;8.9
2019-04;27;Eure;10.2
2019-05;27;Eure;12.1
2019-06;27;Eure;17.9
2019-07;27;Eure;20.3
2019-08;27;Eure;19.5
2019-09;27;Eure;16.3
2019-10;27;Eure;12.8
2019-11;27;Eure;7.8
2019-12;27;Eure;6.3
2020-01;27;Eure;6.0
2020-02;27;Eure;8.1
2020-03;27;Eure;7.8
2020-04;27;Eure;13.1
2020-05;27;Eure;14.1
2020-06;27;Eure;17.1
2020-07;27;Eure;19.0
2020-08;27;Eure;21.0
2020-09;27;Eure;17.3
2020-10;27;Eure;11.8
2020-11;27;Eure;9.2
2020-12;27;Eure;6.3
2021-01;27;Eure;3.9
2021-02;27;Eure;5.8
2021-03;27;Eure;7.4
2021-04;27;Eure;7.9
2021-05;27;Eure;11.9
2021-06;27;Eure;17.7
2021-07;27;Eure;18.7
2021-08;27;Eure;17.7
2021-09;27;Eure;17.5
2021-10;27;Eure;12.0
2021-11;27;Eure;6.6
2021-12;27;Eure;6.7
2022-01;27;Eure;4.6
2022-02;27;Eure;7.0
2022-03;27;Eure;9.1
2022-04;27;Eure;10.2
2022-05;27;Eure;15.1
2022-06;27;Eure;18.0
2022-07;27;Eure;20.7
2022-08;27;Eure;21.3
2022-09;27;Eure;15.9
2022-10;27;Eure;15.3
2022-11;27;Eure;9.3
2022-12;27;Eure;4.4
2023-01;27;Eure;5.5
2023-02;27;Eure;5.8
2023-03;27;Eure;8.8
2023-04;27;Eure;9.8
2023-05;27;Eure;14.0
2023-06;27;Eure;20.0
2023-07;27;Eure;19.2
2023-08;27;Eure;19.3
2023-09;27;Eure;19.6
2023-10;27;Eure;14.4
2023-11;27;Eure;8.9
2023-12;27;Eure;7.5
2024-01;27;Eure;4.0
2024-02;27;Eure;8.9
2024-03;27;Eure;9.2
2024-04;27;Eure;10.9
2024-05;27;Eure;14.4
2024-06;27;Eure;15.8
2024-07;27;Eure;19.1
2024-08;27;Eure;19.7
2024-09;27;Eure;15.3
2024-10;27;Eure;13.0
2024-11;27;Eure;7.9
2024-12;27;Eure;5.8
2025-01;27;Eure;3.6
2025-02;27;Eure;4.7
2025-03;27;Eure;8.0
2025-04;27;Eure;12.6
2025-05;27;Eure;14.8
2025-06;27;Eure;19.5
2025-07;27;Eure;19.9
2025-08;27;Eure;20.0
2025-09;27;Eure;15.7
