Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;28;Eure-et-Loir;7.3
2018-02;28;Eure-et-Loir;1.3
2018-03;28;Eure-et-Loir;7.2
2018-04;28;Eure-et-Loir;12.6
2018-05;28;Eure-et-Loir;15.5
2018-06;28;Eure-et-Loir;18.8
2018-07;28;Eure-et-Loir;22.5
2018-08;28;Eure-et-Loir;20.6
2018-09;28;Eure-et-Loir;16.6
2018-10;28;Eure-et-Loir;13.3
2018-11;28;Eure-et-Loir;7.3
2018-12;28;Eure-et-Loir;6.4
2019-01;28;Eure-et-Loir;4.0
2019-02;28;Eure-et-Loir;6.6
2019-03;28;Eure-et-Loir;8.9
2019-04;28;Eure-et-Loir;10.3
2019-05;28;Eure-et-Loir;12.4
2019-06;28;Eure-et-Loir;18.6
2019-07;28;Eure-et-Loir;21.2
2019-08;28;Eure-et-Loir;20.0
2019-09;28;Eure-et-Loir;16.7
2019-10;28;Eure-et-Loir;13.1
2019-11;28;Eure-et-Loir;7.7
2019-12;28;Eure-et-Loir;6.5
2020-01;28;Eure-et-Loir;6.1
2020-02;28;Eure-et-Loir;8.5
2020-03;28;Eure-et-Loir;8.2
2020-04;28;Eure-et-Loir;13.4
2020-05;28;Eure-et-Loir;14.8
2020-06;28;Eure-et-Loir;17.3
2020-07;28;Eure-et-Loir;19.8
2020-08;28;Eure-et-Loir;21.4
2020-09;28;Eure-et-Loir;18.2
2020-10;28;Eure-et-Loir;11.8
2020-11;28;Eure-et-Loir;8.9
2020-12;28;Eure-et-Loir;6.2
2021-01;28;Eure-et-Loir;3.9
2021-02;28;Eure-et-Loir;6.0
2021-03;28;Eure-et-Loir;7.4
2021-04;28;Eure-et-Loir;8.6
2021-05;28;Eure-et-Loir;12.3
2021-06;28;Eure-et-Loir;18.7
2021-07;28;Eure-et-Loir;19.1
2021-08;28;Eure-et-Loir;18.4
2021-09;28;Eure-et-Loir;18.1
2021-10;28;Eure-et-Loir;11.7
2021-11;28;Eure-et-Loir;6.3
2021-12;28;Eure-et-Loir;6.3
2022-01;28;Eure-et-Loir;4.1
2022-02;28;Eure-et-Loir;6.8
2022-03;28;Eure-et-Loir;8.8
2022-04;28;Eure-et-Loir;10.5
2022-05;28;Eure-et-Loir;15.8
2022-06;28;Eure-et-Loir;18.5
2022-07;28;Eure-et-Loir;21.0
2022-08;28;Eure-et-Loir;21.3
2022-09;28;Eure-et-Loir;15.8
2022-10;28;Eure-et-Loir;14.9
2022-11;28;Eure-et-Loir;8.8
2022-12;28;Eure-et-Loir;4.0
2023-01;28;Eure-et-Loir;4.9
2023-02;28;Eure-et-Loir;5.1
2023-03;28;Eure-et-Loir;8.2
2023-04;28;Eure-et-Loir;9.6
2023-05;28;Eure-et-Loir;14.5
2023-06;28;Eure-et-Loir;20.4
2023-07;28;Eure-et-Loir;19.7
2023-08;28;Eure-et-Loir;19.7
2023-09;28;Eure-et-Loir;20.0
2023-10;28;Eure-et-Loir;14.4
2023-11;28;Eure-et-Loir;9.1
2023-12;28;Eure-et-Loir;7.2
2024-01;28;Eure-et-Loir;4.2
2024-02;28;Eure-et-Loir;8.4
2024-03;28;Eure-et-Loir;9.3
2024-04;28;Eure-et-Loir;11.0
2024-05;28;Eure-et-Loir;14.4
2024-06;28;Eure-et-Loir;16.9
2024-07;28;Eure-et-Loir;19.7
2024-08;28;Eure-et-Loir;20.0
2024-09;28;Eure-et-Loir;15.5
2024-10;28;Eure-et-Loir;13.4
2024-11;28;Eure-et-Loir;7.7
2024-12;28;Eure-et-Loir;5.6
2025-01;28;Eure-et-Loir;3.7
2025-02;28;Eure-et-Loir;4.9
2025-03;28;Eure-et-Loir;8.3
2025-04;28;Eure-et-Loir;12.6
2025-05;28;Eure-et-Loir;14.9
2025-06;28;Eure-et-Loir;20.5
2025-07;28;Eure-et-Loir;20.5
2025-08;28;Eure-et-Loir;20.0
2025-09;28;Eure-et-Loir;15.7
