Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;29;Finistère;8.9
2018-02;29;Finistère;5.7
2018-03;29;Finistère;7.9
2018-04;29;Finistère;11.2
2018-05;29;Finistère;13.2
2018-06;29;Finistère;16.6
2018-07;29;Finistère;18.4
2018-08;29;Finistère;17.2
2018-09;29;Finistère;16.0
2018-10;29;Finistère;13.0
2018-11;29;Finistère;10.6
2018-12;29;Finistère;10.4
2019-01;29;Finistère;7.8
2019-02;29;Finistère;9.6
2019-03;29;Finistère;9.9
2019-04;29;Finistère;10.8
2019-05;29;Finistère;12.5
2019-06;29;Finistère;15.2
2019-07;29;Finistère;18.2
2019-08;29;Finistère;17.2
2019-09;29;Finistère;16.0
2019-10;29;Finistère;13.5
2019-11;29;Finistère;10.0
2019-12;29;Finistère;9.3
2020-01;29;Finistère;8.9
2020-02;29;Finistère;9.6
2020-03;29;Finistère;9.1
2020-04;29;Finistère;12.4
2020-05;29;Finistère;14.6
2020-06;29;Finistère;15.6
2020-07;29;Finistère;16.6
2020-08;29;Finistère;18.0
2020-09;29;Finistère;16.2
2020-10;29;Finistère;12.7
2020-11;29;Finistère;11.9
2020-12;29;Finistère;9.1
2021-01;29;Finistère;7.5
2021-02;29;Finistère;8.2
2021-03;29;Finistère;9.3
2021-04;29;Finistère;9.8
2021-05;29;Finistère;11.9
2021-06;29;Finistère;15.6
2021-07;29;Finistère;17.4
2021-08;29;Finistère;16.8
2021-09;29;Finistère;17.0
2021-10;29;Finistère;14.2
2021-11;29;Finistère;10.2
2021-12;29;Finistère;9.4
2022-01;29;Finistère;8.2
2022-02;29;Finistère;9.3
2022-03;29;Finistère;10.2
2022-04;29;Finistère;11.1
2022-05;29;Finistère;14.1
2022-06;29;Finistère;16.1
2022-07;29;Finistère;18.5
2022-08;29;Finistère;19.2
2022-09;29;Finistère;16.3
2022-10;29;Finistère;15.4
2022-11;29;Finistère;12.3
2022-12;29;Finistère;7.7
2023-01;29;Finistère;8.4
2023-02;29;Finistère;8.3
2023-03;29;Finistère;9.8
2023-04;29;Finistère;10.9
2023-05;29;Finistère;13.8
2023-06;29;Finistère;17.5
2023-07;29;Finistère;17.2
2023-08;29;Finistère;17.3
2023-09;29;Finistère;18.1
2023-10;29;Finistère;15.1
2023-11;29;Finistère;11.4
2023-12;29;Finistère;10.8
2024-01;29;Finistère;7.5
2024-02;29;Finistère;10.4
2024-03;29;Finistère;10.0
2024-04;29;Finistère;11.3
2024-05;29;Finistère;14.0
2024-06;29;Finistère;15.2
2024-07;29;Finistère;16.8
2024-08;29;Finistère;17.7
2024-09;29;Finistère;15.4
2024-10;29;Finistère;13.9
2024-11;29;Finistère;11.7
2024-12;29;Finistère;9.4
2025-01;29;Finistère;7.3
2025-02;29;Finistère;8.5
2025-03;29;Finistère;9.9
2025-04;29;Finistère;12.6
2025-05;29;Finistère;14.3
2025-06;29;Finistère;17.3
2025-07;29;Finistère;18.2
2025-08;29;Finistère;18.5
2025-09;29;Finistère;15.6
