Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;2A;Corse-du-Sud;12.3
2018-02;2A;Corse-du-Sud;8.7
2018-03;2A;Corse-du-Sud;11.5
2018-04;2A;Corse-du-Sud;15.2
2018-05;2A;Corse-du-Sud;17.4
2018-06;2A;Corse-du-Sud;21.0
2018-07;2A;Corse-du-Sud;24.5
2018-08;2A;Corse-du-Sud;25.4
2018-09;2A;Corse-du-Sud;22.7
2018-10;2A;Corse-du-Sud;19.1
2018-11;2A;Corse-du-Sud;14.9
2018-12;2A;Corse-du-Sud;11.9
2019-01;2A;Corse-du-Sud;8.6
2019-02;2A;Corse-du-Sud;10.2
2019-03;2A;Corse-du-Sud;11.9
2019-04;2A;Corse-du-Sud;13.5
2019-05;2A;Corse-du-Sud;15.4
2019-06;2A;Corse-du-Sud;22.4
2019-07;2A;Corse-du-Sud;25.4
2019-08;2A;Corse-du-Sud;25.4
2019-09;2A;Corse-du-Sud;22.9
2019-10;2A;Corse-du-Sud;19.7
2019-11;2A;Corse-du-Sud;14.3
2019-12;2A;Corse-du-Sud;13.0
2020-01;2A;Corse-du-Sud;11.1
2020-02;2A;Corse-du-Sud;12.1
2020-03;2A;Corse-du-Sud;11.7
2020-04;2A;Corse-du-Sud;14.5
2020-05;2A;Corse-du-Sud;18.5
2020-06;2A;Corse-du-Sud;20.8
2020-07;2A;Corse-du-Sud;24.3
2020-08;2A;Corse-du-Sud;25.2
2020-09;2A;Corse-du-Sud;21.7
2020-10;2A;Corse-du-Sud;16.5
2020-11;2A;Corse-du-Sud;14.7
2020-12;2A;Corse-du-Sud;11.2
2021-01;2A;Corse-du-Sud;9.7
2021-02;2A;Corse-du-Sud;11.5
2021-03;2A;Corse-du-Sud;11.2
2021-04;2A;Corse-du-Sud;12.8
2021-05;2A;Corse-du-Sud;16.3
2021-06;2A;Corse-du-Sud;22.6
2021-07;2A;Corse-du-Sud;24.6
2021-08;2A;Corse-du-Sud;24.5
2021-09;2A;Corse-du-Sud;23.1
2021-10;2A;Corse-du-Sud;17.9
2021-11;2A;Corse-du-Sud;14.5
2021-12;2A;Corse-du-Sud;11.2
2022-01;2A;Corse-du-Sud;9.6
2022-02;2A;Corse-du-Sud;10.8
2022-03;2A;Corse-du-Sud;11.0
2022-04;2A;Corse-du-Sud;13.1
2022-05;2A;Corse-du-Sud;19.1
2022-06;2A;Corse-du-Sud;24.2
2022-07;2A;Corse-du-Sud;25.9
2022-08;2A;Corse-du-Sud;26.0
2022-09;2A;Corse-du-Sud;22.8
2022-10;2A;Corse-du-Sud;20.1
2022-11;2A;Corse-du-Sud;15.6
2022-12;2A;Corse-du-Sud;13.4
2023-01;2A;Corse-du-Sud;10.7
2023-02;2A;Corse-du-Sud;9.9
2023-03;2A;Corse-du-Sud;12.7
2023-04;2A;Corse-du-Sud;13.8
2023-05;2A;Corse-du-Sud;17.6
2023-06;2A;Corse-du-Sud;22.7
2023-07;2A;Corse-du-Sud;25.8
2023-08;2A;Corse-du-Sud;24.2
2023-09;2A;Corse-du-Sud;22.5
2023-10;2A;Corse-du-Sud;20.6
2023-11;2A;Corse-du-Sud;15.5
2023-12;2A;Corse-du-Sud;12.2
2024-01;2A;Corse-du-Sud;11.8
2024-02;2A;Corse-du-Sud;12.2
2024-03;2A;Corse-du-Sud;13.4
2024-04;2A;Corse-du-Sud;15.4
2024-05;2A;Corse-du-Sud;18.5
2024-06;2A;Corse-du-Sud;22.0
2024-07;2A;Corse-du-Sud;25.6
2024-08;2A;Corse-du-Sud;26.8
2024-09;2A;Corse-du-Sud;21.6
2024-10;2A;Corse-du-Sud;19.5
2024-11;2A;Corse-du-Sud;15.6
2024-12;2A;Corse-du-Sud;11.0
2025-01;2A;Corse-du-Sud;11.9
2025-02;2A;Corse-du-Sud;12.1
2025-03;2A;Corse-du-Sud;13.3
2025-04;2A;Corse-du-Sud;15.4
2025-05;2A;Corse-du-Sud;18.6
2025-06;2A;Corse-du-Sud;24.6
2025-07;2A;Corse-du-Sud;25.6
2025-08;2A;Corse-du-Sud;25.5
2025-09;2A;Corse-du-Sud;22.7
