Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;2B;Haute-Corse;12.6
2018-02;2B;Haute-Corse;8.5
2018-03;2B;Haute-Corse;11.5
2018-04;2B;Haute-Corse;16.1
2018-05;2B;Haute-Corse;18.1
2018-06;2B;Haute-Corse;22.3
2018-07;2B;Haute-Corse;25.6
2018-08;2B;Haute-Corse;26.6
2018-09;2B;Haute-Corse;23.2
2018-10;2B;Haute-Corse;18.9
2018-11;2B;Haute-Corse;14.8
2018-12;2B;Haute-Corse;12.3
2019-01;2B;Haute-Corse;9.3
2019-02;2B;Haute-Corse;11.0
2019-03;2B;Haute-Corse;13.0
2019-04;2B;Haute-Corse;14.2
2019-05;2B;Haute-Corse;15.9
2019-06;2B;Haute-Corse;23.3
2019-07;2B;Haute-Corse;26.1
2019-08;2B;Haute-Corse;25.7
2019-09;2B;Haute-Corse;23.3
2019-10;2B;Haute-Corse;19.7
2019-11;2B;Haute-Corse;14.6
2019-12;2B;Haute-Corse;13.2
2020-01;2B;Haute-Corse;11.8
2020-02;2B;Haute-Corse;13.0
2020-03;2B;Haute-Corse;12.0
2020-04;2B;Haute-Corse;14.9
2020-05;2B;Haute-Corse;19.3
2020-06;2B;Haute-Corse;21.8
2020-07;2B;Haute-Corse;25.2
2020-08;2B;Haute-Corse;26.4
2020-09;2B;Haute-Corse;22.8
2020-10;2B;Haute-Corse;17.2
2020-11;2B;Haute-Corse;15.0
2020-12;2B;Haute-Corse;11.5
2021-01;2B;Haute-Corse;9.8
2021-02;2B;Haute-Corse;11.5
2021-03;2B;Haute-Corse;12.0
2021-04;2B;Haute-Corse;13.6
2021-05;2B;Haute-Corse;17.4
2021-06;2B;Haute-Corse;23.2
2021-07;2B;Haute-Corse;25.6
2021-08;2B;Haute-Corse;25.5
2021-09;2B;Haute-Corse;23.4
2021-10;2B;Haute-Corse;18.3
2021-11;2B;Haute-Corse;14.7
2021-12;2B;Haute-Corse;11.8
2022-01;2B;Haute-Corse;10.5
2022-02;2B;Haute-Corse;11.8
2022-03;2B;Haute-Corse;11.3
2022-04;2B;Haute-Corse;13.9
2022-05;2B;Haute-Corse;19.8
2022-06;2B;Haute-Corse;25.2
2022-07;2B;Haute-Corse;27.2
2022-08;2B;Haute-Corse;26.6
2022-09;2B;Haute-Corse;23.4
2022-10;2B;Haute-Corse;20.3
2022-11;2B;Haute-Corse;16.1
2022-12;2B;Haute-Corse;13.6
2023-01;2B;Haute-Corse;10.9
2023-02;2B;Haute-Corse;10.4
2023-03;2B;Haute-Corse;13.6
2023-04;2B;Haute-Corse;14.6
2023-05;2B;Haute-Corse;18.1
2023-06;2B;Haute-Corse;23.1
2023-07;2B;Haute-Corse;26.8
2023-08;2B;Haute-Corse;25.7
2023-09;2B;Haute-Corse;23.6
2023-10;2B;Haute-Corse;21.3
2023-11;2B;Haute-Corse;16.0
2023-12;2B;Haute-Corse;13.0
2024-01;2B;Haute-Corse;12.1
2024-02;2B;Haute-Corse;12.8
2024-03;2B;Haute-Corse;13.6
2024-04;2B;Haute-Corse;15.5
2024-05;2B;Haute-Corse;18.3
2024-06;2B;Haute-Corse;22.0
2024-07;2B;Haute-Corse;26.1
2024-08;2B;Haute-Corse;27.7
2024-09;2B;Haute-Corse;22.4
2024-10;2B;Haute-Corse;19.6
2024-11;2B;Haute-Corse;15.6
2024-12;2B;Haute-Corse;11.8
2025-01;2B;Haute-Corse;12.2
2025-02;2B;Haute-Corse;12.2
2025-03;2B;Haute-Corse;13.1
2025-04;2B;Haute-Corse;15.4
2025-05;2B;Haute-Corse;18.4
2025-06;2B;Haute-Corse;24.9
2025-07;2B;Haute-Corse;25.8
2025-08;2B;Haute-Corse;26.0
2025-09;2B;Haute-Corse;22.8
