Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;30;Gard;7.1
2018-02;30;Gard;2.0
2018-03;30;Gard;6.7
2018-04;30;Gard;12.1
2018-05;30;Gard;14.7
2018-06;30;Gard;19.2
2018-07;30;Gard;23.3
2018-08;30;Gard;22.5
2018-09;30;Gard;19.5
2018-10;30;Gard;13.9
2018-11;30;Gard;9.1
2018-12;30;Gard;6.6
2019-01;30;Gard;3.3
2019-02;30;Gard;7.3
2019-03;30;Gard;9.0
2019-04;30;Gard;9.6
2019-05;30;Gard;13.1
2019-06;30;Gard;19.8
2019-07;30;Gard;23.6
2019-08;30;Gard;22.8
2019-09;30;Gard;18.7
2019-10;30;Gard;14.5
2019-11;30;Gard;7.2
2019-12;30;Gard;7.5
2020-01;30;Gard;6.2
2020-02;30;Gard;8.0
2020-03;30;Gard;8.3
2020-04;30;Gard;11.8
2020-05;30;Gard;16.3
2020-06;30;Gard;18.2
2020-07;30;Gard;22.8
2020-08;30;Gard;22.3
2020-09;30;Gard;18.1
2020-10;30;Gard;11.4
2020-11;30;Gard;10.2
2020-12;30;Gard;4.5
2021-01;30;Gard;3.2
2021-02;30;Gard;7.2
2021-03;30;Gard;7.8
2021-04;30;Gard;9.4
2021-05;30;Gard;13.0
2021-06;30;Gard;20.0
2021-07;30;Gard;21.4
2021-08;30;Gard;21.0
2021-09;30;Gard;18.5
2021-10;30;Gard;12.7
2021-11;30;Gard;7.4
2021-12;30;Gard;5.9
2022-01;30;Gard;5.1
2022-02;30;Gard;7.0
2022-03;30;Gard;7.5
2022-04;30;Gard;10.8
2022-05;30;Gard;17.4
2022-06;30;Gard;22.1
2022-07;30;Gard;24.9
2022-08;30;Gard;24.1
2022-09;30;Gard;17.6
2022-10;30;Gard;16.4
2022-11;30;Gard;9.5
2022-12;30;Gard;6.5
2023-01;30;Gard;4.4
2023-02;30;Gard;6.4
2023-03;30;Gard;8.6
2023-04;30;Gard;11.4
2023-05;30;Gard;15.4
2023-06;30;Gard;20.4
2023-07;30;Gard;22.7
2023-08;30;Gard;22.4
2023-09;30;Gard;19.8
2023-10;30;Gard;16.2
2023-11;30;Gard;8.4
2023-12;30;Gard;6.7
2024-01;30;Gard;5.9
2024-02;30;Gard;8.3
2024-03;30;Gard;9.0
2024-04;30;Gard;10.8
2024-05;30;Gard;13.8
2024-06;30;Gard;18.4
2024-07;30;Gard;22.5
2024-08;30;Gard;23.8
2024-09;30;Gard;16.4
2024-10;30;Gard;14.7
2024-11;30;Gard;9.7
2024-12;30;Gard;5.7
2025-01;30;Gard;5.9
2025-02;30;Gard;6.7
2025-03;30;Gard;7.9
2025-04;30;Gard;11.9
2025-05;30;Gard;15.2
2025-06;30;Gard;22.8
2025-07;30;Gard;22.3
2025-08;30;Gard;23.3
2025-09;30;Gard;16.8
