Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;31;Haute-Garonne;9.0
2018-02;31;Haute-Garonne;4.9
2018-03;31;Haute-Garonne;9.3
2018-04;31;Haute-Garonne;14.1
2018-05;31;Haute-Garonne;16.1
2018-06;31;Haute-Garonne;20.7
2018-07;31;Haute-Garonne;23.8
2018-08;31;Haute-Garonne;23.7
2018-09;31;Haute-Garonne;21.3
2018-10;31;Haute-Garonne;15.2
2018-11;31;Haute-Garonne;10.7
2018-12;31;Haute-Garonne;8.6
2019-01;31;Haute-Garonne;4.7
2019-02;31;Haute-Garonne;9.0
2019-03;31;Haute-Garonne;10.6
2019-04;31;Haute-Garonne;12.4
2019-05;31;Haute-Garonne;14.6
2019-06;31;Haute-Garonne;20.6
2019-07;31;Haute-Garonne;24.6
2019-08;31;Haute-Garonne;23.3
2019-09;31;Haute-Garonne;20.2
2019-10;31;Haute-Garonne;16.4
2019-11;31;Haute-Garonne;9.3
2019-12;31;Haute-Garonne;9.3
2020-01;31;Haute-Garonne;7.9
2020-02;31;Haute-Garonne;10.1
2020-03;31;Haute-Garonne;10.5
2020-04;31;Haute-Garonne;15.1
2020-05;31;Haute-Garonne;18.3
2020-06;31;Haute-Garonne;19.6
2020-07;31;Haute-Garonne;23.3
2020-08;31;Haute-Garonne;24.0
2020-09;31;Haute-Garonne;20.1
2020-10;31;Haute-Garonne;13.5
2020-11;31;Haute-Garonne;11.8
2020-12;31;Haute-Garonne;7.4
2021-01;31;Haute-Garonne;5.1
2021-02;31;Haute-Garonne;10.6
2021-03;31;Haute-Garonne;10.3
2021-04;31;Haute-Garonne;11.8
2021-05;31;Haute-Garonne;15.0
2021-06;31;Haute-Garonne;21.3
2021-07;31;Haute-Garonne;21.5
2021-08;31;Haute-Garonne;21.6
2021-09;31;Haute-Garonne;20.7
2021-10;31;Haute-Garonne;14.4
2021-11;31;Haute-Garonne;8.4
2021-12;31;Haute-Garonne;8.1
2022-01;31;Haute-Garonne;4.4
2022-02;31;Haute-Garonne;9.0
2022-03;31;Haute-Garonne;11.1
2022-04;31;Haute-Garonne;12.3
2022-05;31;Haute-Garonne;19.4
2022-06;31;Haute-Garonne;22.9
2022-07;31;Haute-Garonne;25.0
2022-08;31;Haute-Garonne;25.8
2022-09;31;Haute-Garonne;20.5
2022-10;31;Haute-Garonne;19.4
2022-11;31;Haute-Garonne;12.0
2022-12;31;Haute-Garonne;8.8
2023-01;31;Haute-Garonne;5.8
2023-02;31;Haute-Garonne;6.6
2023-03;31;Haute-Garonne;11.2
2023-04;31;Haute-Garonne;13.2
2023-05;31;Haute-Garonne;17.0
2023-06;31;Haute-Garonne;22.1
2023-07;31;Haute-Garonne;23.4
2023-08;31;Haute-Garonne;24.4
2023-09;31;Haute-Garonne;22.6
2023-10;31;Haute-Garonne;18.5
2023-11;31;Haute-Garonne;10.9
2023-12;31;Haute-Garonne;8.1
2024-01;31;Haute-Garonne;7.4
2024-02;31;Haute-Garonne;9.3
2024-03;31;Haute-Garonne;11.6
2024-04;31;Haute-Garonne;13.1
2024-05;31;Haute-Garonne;15.8
2024-06;31;Haute-Garonne;20.2
2024-07;31;Haute-Garonne;23.6
2024-08;31;Haute-Garonne;23.9
2024-09;31;Haute-Garonne;17.6
2024-10;31;Haute-Garonne;16.5
2024-11;31;Haute-Garonne;11.9
2024-12;31;Haute-Garonne;7.2
2025-01;31;Haute-Garonne;7.0
2025-02;31;Haute-Garonne;9.2
2025-03;31;Haute-Garonne;10.8
2025-04;31;Haute-Garonne;14.4
2025-05;31;Haute-Garonne;17.5
2025-06;31;Haute-Garonne;23.5
2025-07;31;Haute-Garonne;23.3
2025-08;31;Haute-Garonne;24.7
2025-09;31;Haute-Garonne;18.5
