Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;32;Gers;8.9
2018-02;32;Gers;4.7
2018-03;32;Gers;9.2
2018-04;32;Gers;13.7
2018-05;32;Gers;15.8
2018-06;32;Gers;20.4
2018-07;32;Gers;23.1
2018-08;32;Gers;22.9
2018-09;32;Gers;20.6
2018-10;32;Gers;14.7
2018-11;32;Gers;9.8
2018-12;32;Gers;8.6
2019-01;32;Gers;4.7
2019-02;32;Gers;8.7
2019-03;32;Gers;10.0
2019-04;32;Gers;12.2
2019-05;32;Gers;14.1
2019-06;32;Gers;19.9
2019-07;32;Gers;23.7
2019-08;32;Gers;22.3
2019-09;32;Gers;19.7
2019-10;32;Gers;16.1
2019-11;32;Gers;9.2
2019-12;32;Gers;9.2
2020-01;32;Gers;7.0
2020-02;32;Gers;9.7
2020-03;32;Gers;10.1
2020-04;32;Gers;14.9
2020-05;32;Gers;17.9
2020-06;32;Gers;19.1
2020-07;32;Gers;22.6
2020-08;32;Gers;23.1
2020-09;32;Gers;19.5
2020-10;32;Gers;13.3
2020-11;32;Gers;11.0
2020-12;32;Gers;7.2
2021-01;32;Gers;5.2
2021-02;32;Gers;10.4
2021-03;32;Gers;9.9
2021-04;32;Gers;11.3
2021-05;32;Gers;14.7
2021-06;32;Gers;20.6
2021-07;32;Gers;20.8
2021-08;32;Gers;20.7
2021-09;32;Gers;20.3
2021-10;32;Gers;13.7
2021-11;32;Gers;8.0
2021-12;32;Gers;7.9
2022-01;32;Gers;4.1
2022-02;32;Gers;8.7
2022-03;32;Gers;10.8
2022-04;32;Gers;12.2
2022-05;32;Gers;18.9
2022-06;32;Gers;22.4
2022-07;32;Gers;24.0
2022-08;32;Gers;25.0
2022-09;32;Gers;20.1
2022-10;32;Gers;18.6
2022-11;32;Gers;11.3
2022-12;32;Gers;9.0
2023-01;32;Gers;5.8
2023-02;32;Gers;6.0
2023-03;32;Gers;11.1
2023-04;32;Gers;12.9
2023-05;32;Gers;16.5
2023-06;32;Gers;21.6
2023-07;32;Gers;22.5
2023-08;32;Gers;23.5
2023-09;32;Gers;21.7
2023-10;32;Gers;17.6
2023-11;32;Gers;10.8
2023-12;32;Gers;8.0
2024-01;32;Gers;7.3
2024-02;32;Gers;9.4
2024-03;32;Gers;11.3
2024-04;32;Gers;13.0
2024-05;32;Gers;15.5
2024-06;32;Gers;19.5
2024-07;32;Gers;22.8
2024-08;32;Gers;22.7
2024-09;32;Gers;17.1
2024-10;32;Gers;16.1
2024-11;32;Gers;11.7
2024-12;32;Gers;7.1
2025-01;32;Gers;6.9
2025-02;32;Gers;8.7
2025-03;32;Gers;10.3
2025-04;32;Gers;13.7
2025-05;32;Gers;16.8
2025-06;32;Gers;22.7
2025-07;32;Gers;22.4
2025-08;32;Gers;24.1
2025-09;32;Gers;18.1
