Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;33;Gironde;9.7
2018-02;33;Gironde;5.6
2018-03;33;Gironde;9.9
2018-04;33;Gironde;14.4
2018-05;33;Gironde;16.1
2018-06;33;Gironde;20.8
2018-07;33;Gironde;22.7
2018-08;33;Gironde;22.7
2018-09;33;Gironde;20.1
2018-10;33;Gironde;15.0
2018-11;33;Gironde;11.0
2018-12;33;Gironde;10.1
2019-01;33;Gironde;6.6
2019-02;33;Gironde;10.2
2019-03;33;Gironde;11.8
2019-04;33;Gironde;13.1
2019-05;33;Gironde;15.0
2019-06;33;Gironde;19.7
2019-07;33;Gironde;23.3
2019-08;33;Gironde;21.9
2019-09;33;Gironde;19.4
2019-10;33;Gironde;16.9
2019-11;33;Gironde;10.7
2019-12;33;Gironde;10.1
2020-01;33;Gironde;9.2
2020-02;33;Gironde;10.9
2020-03;33;Gironde;10.8
2020-04;33;Gironde;15.6
2020-05;33;Gironde;18.3
2020-06;33;Gironde;18.8
2020-07;33;Gironde;22.1
2020-08;33;Gironde;22.8
2020-09;33;Gironde;20.2
2020-10;33;Gironde;14.6
2020-11;33;Gironde;12.3
2020-12;33;Gironde;9.3
2021-01;33;Gironde;6.7
2021-02;33;Gironde;11.0
2021-03;33;Gironde;10.8
2021-04;33;Gironde;12.8
2021-05;33;Gironde;14.8
2021-06;33;Gironde;20.1
2021-07;33;Gironde;20.8
2021-08;33;Gironde;20.8
2021-09;33;Gironde;20.4
2021-10;33;Gironde;15.1
2021-11;33;Gironde;9.2
2021-12;33;Gironde;9.0
2022-01;33;Gironde;6.4
2022-02;33;Gironde;9.6
2022-03;33;Gironde;11.7
2022-04;33;Gironde;12.8
2022-05;33;Gironde;18.8
2022-06;33;Gironde;21.5
2022-07;33;Gironde;23.7
2022-08;33;Gironde;24.5
2022-09;33;Gironde;20.0
2022-10;33;Gironde;19.2
2022-11;33;Gironde;13.1
2022-12;33;Gironde;9.0
2023-01;33;Gironde;8.0
2023-02;33;Gironde;7.6
2023-03;33;Gironde;11.8
2023-04;33;Gironde;13.8
2023-05;33;Gironde;17.4
2023-06;33;Gironde;22.1
2023-07;33;Gironde;22.0
2023-08;33;Gironde;22.8
2023-09;33;Gironde;22.3
2023-10;33;Gironde;18.2
2023-11;33;Gironde;12.2
2023-12;33;Gironde;9.6
2024-01;33;Gironde;8.3
2024-02;33;Gironde;10.5
2024-03;33;Gironde;12.1
2024-04;33;Gironde;14.1
2024-05;33;Gironde;15.9
2024-06;33;Gironde;19.4
2024-07;33;Gironde;22.0
2024-08;33;Gironde;22.3
2024-09;33;Gironde;18.0
2024-10;33;Gironde;16.6
2024-11;33;Gironde;12.9
2024-12;33;Gironde;8.4
2025-01;33;Gironde;7.9
2025-02;33;Gironde;10.0
2025-03;33;Gironde;11.4
2025-04;33;Gironde;14.8
2025-05;33;Gironde;17.3
2025-06;33;Gironde;22.7
2025-07;33;Gironde;22.4
2025-08;33;Gironde;23.3
2025-09;33;Gironde;18.9
