Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;34;Hérault;11.0
2018-02;34;Hérault;5.9
2018-03;34;Hérault;11.0
2018-04;34;Hérault;14.9
2018-05;34;Hérault;17.9
2018-06;34;Hérault;22.3
2018-07;34;Hérault;25.5
2018-08;34;Hérault;25.7
2018-09;34;Hérault;22.3
2018-10;34;Hérault;17.2
2018-11;34;Hérault;12.8
2018-12;34;Hérault;10.0
2019-01;34;Hérault;6.7
2019-02;34;Hérault;9.8
2019-03;34;Hérault;12.3
2019-04;34;Hérault;13.4
2019-05;34;Hérault;16.9
2019-06;34;Hérault;21.5
2019-07;34;Hérault;26.2
2019-08;34;Hérault;24.8
2019-09;34;Hérault;21.6
2019-10;34;Hérault;17.8
2019-11;34;Hérault;11.2
2019-12;34;Hérault;10.9
2020-01;34;Hérault;9.2
2020-02;34;Hérault;11.8
2020-03;34;Hérault;11.5
2020-04;34;Hérault;14.3
2020-05;34;Hérault;19.6
2020-06;34;Hérault;21.6
2020-07;34;Hérault;25.2
2020-08;34;Hérault;24.8
2020-09;34;Hérault;20.8
2020-10;34;Hérault;15.1
2020-11;34;Hérault;13.1
2020-12;34;Hérault;8.4
2021-01;34;Hérault;7.2
2021-02;34;Hérault;10.9
2021-03;34;Hérault;11.1
2021-04;34;Hérault;12.9
2021-05;34;Hérault;16.5
2021-06;34;Hérault;23.3
2021-07;34;Hérault;24.3
2021-08;34;Hérault;23.7
2021-09;34;Hérault;21.5
2021-10;34;Hérault;16.2
2021-11;34;Hérault;10.9
2021-12;34;Hérault;8.9
2022-01;34;Hérault;7.3
2022-02;34;Hérault;10.8
2022-03;34;Hérault;10.9
2022-04;34;Hérault;14.2
2022-05;34;Hérault;19.8
2022-06;34;Hérault;24.3
2022-07;34;Hérault;26.8
2022-08;34;Hérault;26.5
2022-09;34;Hérault;21.2
2022-10;34;Hérault;19.4
2022-11;34;Hérault;13.6
2022-12;34;Hérault;9.7
2023-01;34;Hérault;8.1
2023-02;34;Hérault;8.6
2023-03;34;Hérault;12.1
2023-04;34;Hérault;14.7
2023-05;34;Hérault;18.8
2023-06;34;Hérault;24.0
2023-07;34;Hérault;25.7
2023-08;34;Hérault;24.7
2023-09;34;Hérault;22.1
2023-10;34;Hérault;19.1
2023-11;34;Hérault;12.7
2023-12;34;Hérault;10.2
2024-01;34;Hérault;9.1
2024-02;34;Hérault;11.5
2024-03;34;Hérault;12.7
2024-04;34;Hérault;14.5
2024-05;34;Hérault;17.2
2024-06;34;Hérault;21.3
2024-07;34;Hérault;25.0
2024-08;34;Hérault;26.3
2024-09;34;Hérault;20.2
2024-10;34;Hérault;17.9
2024-11;34;Hérault;13.0
2024-12;34;Hérault;8.8
2025-01;34;Hérault;9.0
2025-02;34;Hérault;9.7
2025-03;34;Hérault;11.7
2025-04;34;Hérault;15.1
2025-05;34;Hérault;18.7
2025-06;34;Hérault;25.0
2025-07;34;Hérault;25.6
2025-08;34;Hérault;25.5
2025-09;34;Hérault;20.3
