Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;35;Ille-et-Vilaine;8.4
2018-02;35;Ille-et-Vilaine;4.2
2018-03;35;Ille-et-Vilaine;7.7
2018-04;35;Ille-et-Vilaine;12.2
2018-05;35;Ille-et-Vilaine;14.1
2018-06;35;Ille-et-Vilaine;18.0
2018-07;35;Ille-et-Vilaine;20.1
2018-08;35;Ille-et-Vilaine;18.6
2018-09;35;Ille-et-Vilaine;16.6
2018-10;35;Ille-et-Vilaine;13.2
2018-11;35;Ille-et-Vilaine;9.0
2018-12;35;Ille-et-Vilaine;8.6
2019-01;35;Ille-et-Vilaine;5.9
2019-02;35;Ille-et-Vilaine;8.2
2019-03;35;Ille-et-Vilaine;9.6
2019-04;35;Ille-et-Vilaine;10.8
2019-05;35;Ille-et-Vilaine;12.8
2019-06;35;Ille-et-Vilaine;17.1
2019-07;35;Ille-et-Vilaine;20.0
2019-08;35;Ille-et-Vilaine;18.7
2019-09;35;Ille-et-Vilaine;16.7
2019-10;35;Ille-et-Vilaine;13.6
2019-11;35;Ille-et-Vilaine;8.6
2019-12;35;Ille-et-Vilaine;7.6
2020-01;35;Ille-et-Vilaine;7.7
2020-02;35;Ille-et-Vilaine;9.4
2020-03;35;Ille-et-Vilaine;8.9
2020-04;35;Ille-et-Vilaine;13.4
2020-05;35;Ille-et-Vilaine;15.0
2020-06;35;Ille-et-Vilaine;16.4
2020-07;35;Ille-et-Vilaine;18.1
2020-08;35;Ille-et-Vilaine;19.4
2020-09;35;Ille-et-Vilaine;17.2
2020-10;35;Ille-et-Vilaine;12.6
2020-11;35;Ille-et-Vilaine;10.8
2020-12;35;Ille-et-Vilaine;7.6
2021-01;35;Ille-et-Vilaine;5.7
2021-02;35;Ille-et-Vilaine;7.3
2021-03;35;Ille-et-Vilaine;8.5
2021-04;35;Ille-et-Vilaine;9.4
2021-05;35;Ille-et-Vilaine;12.4
2021-06;35;Ille-et-Vilaine;16.7
2021-07;35;Ille-et-Vilaine;18.5
2021-08;35;Ille-et-Vilaine;17.5
2021-09;35;Ille-et-Vilaine;17.8
2021-10;35;Ille-et-Vilaine;13.4
2021-11;35;Ille-et-Vilaine;8.4
2021-12;35;Ille-et-Vilaine;7.8
2022-01;35;Ille-et-Vilaine;6.5
2022-02;35;Ille-et-Vilaine;8.3
2022-03;35;Ille-et-Vilaine;10.1
2022-04;35;Ille-et-Vilaine;11.2
2022-05;35;Ille-et-Vilaine;15.1
2022-06;35;Ille-et-Vilaine;17.8
2022-07;35;Ille-et-Vilaine;20.2
2022-08;35;Ille-et-Vilaine;20.7
2022-09;35;Ille-et-Vilaine;16.9
2022-10;35;Ille-et-Vilaine;15.9
2022-11;35;Ille-et-Vilaine;11.1
2022-12;35;Ille-et-Vilaine;5.9
2023-01;35;Ille-et-Vilaine;7.3
2023-02;35;Ille-et-Vilaine;7.2
2023-03;35;Ille-et-Vilaine;10.0
2023-04;35;Ille-et-Vilaine;11.0
2023-05;35;Ille-et-Vilaine;14.3
2023-06;35;Ille-et-Vilaine;19.2
2023-07;35;Ille-et-Vilaine;18.7
2023-08;35;Ille-et-Vilaine;18.8
2023-09;35;Ille-et-Vilaine;19.7
2023-10;35;Ille-et-Vilaine;15.2
2023-11;35;Ille-et-Vilaine;10.3
2023-12;35;Ille-et-Vilaine;8.9
2024-01;35;Ille-et-Vilaine;6.0
2024-02;35;Ille-et-Vilaine;9.9
2024-03;35;Ille-et-Vilaine;9.6
2024-04;35;Ille-et-Vilaine;11.3
2024-05;35;Ille-et-Vilaine;14.3
2024-06;35;Ille-et-Vilaine;15.9
2024-07;35;Ille-et-Vilaine;18.3
2024-08;35;Ille-et-Vilaine;19.3
2024-09;35;Ille-et-Vilaine;15.7
2024-10;35;Ille-et-Vilaine;13.9
2024-11;35;Ille-et-Vilaine;9.8
2024-12;35;Ille-et-Vilaine;7.6
2025-01;35;Ille-et-Vilaine;5.2
2025-02;35;Ille-et-Vilaine;6.8
2025-03;35;Ille-et-Vilaine;9.3
2025-04;35;Ille-et-Vilaine;12.7
2025-05;35;Ille-et-Vilaine;15.0
2025-06;35;Ille-et-Vilaine;19.2
2025-07;35;Ille-et-Vilaine;19.5
2025-08;35;Ille-et-Vilaine;19.8
2025-09;35;Ille-et-Vilaine;16.1
