Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;36;Indre;7.8
2018-02;36;Indre;2.1
2018-03;36;Indre;7.9
2018-04;36;Indre;12.8
2018-05;36;Indre;15.2
2018-06;36;Indre;19.2
2018-07;36;Indre;22.3
2018-08;36;Indre;21.7
2018-09;36;Indre;18.0
2018-10;36;Indre;13.7
2018-11;36;Indre;8.5
2018-12;36;Indre;6.7
2019-01;36;Indre;3.7
2019-02;36;Indre;7.5
2019-03;36;Indre;9.3
2019-04;36;Indre;10.9
2019-05;36;Indre;13.0
2019-06;36;Indre;19.5
2019-07;36;Indre;22.3
2019-08;36;Indre;21.0
2019-09;36;Indre;17.5
2019-10;36;Indre;14.5
2019-11;36;Indre;8.2
2019-12;36;Indre;7.4
2020-01;36;Indre;6.9
2020-02;36;Indre;8.9
2020-03;36;Indre;8.8
2020-04;36;Indre;13.6
2020-05;36;Indre;15.2
2020-06;36;Indre;17.3
2020-07;36;Indre;20.7
2020-08;36;Indre;21.8
2020-09;36;Indre;18.3
2020-10;36;Indre;12.3
2020-11;36;Indre;9.7
2020-12;36;Indre;6.5
2021-01;36;Indre;4.3
2021-02;36;Indre;7.3
2021-03;36;Indre;7.6
2021-04;36;Indre;9.4
2021-05;36;Indre;12.9
2021-06;36;Indre;19.2
2021-07;36;Indre;19.2
2021-08;36;Indre;18.3
2021-09;36;Indre;18.6
2021-10;36;Indre;12.1
2021-11;36;Indre;6.0
2021-12;36;Indre;5.8
2022-01;36;Indre;3.6
2022-02;36;Indre;7.2
2022-03;36;Indre;9.0
2022-04;36;Indre;10.8
2022-05;36;Indre;16.7
2022-06;36;Indre;20.1
2022-07;36;Indre;21.3
2022-08;36;Indre;22.3
2022-09;36;Indre;16.9
2022-10;36;Indre;16.5
2022-11;36;Indre;10.0
2022-12;36;Indre;5.4
2023-01;36;Indre;5.6
2023-02;36;Indre;6.0
2023-03;36;Indre;9.3
2023-04;36;Indre;10.5
2023-05;36;Indre;14.9
2023-06;36;Indre;21.1
2023-07;36;Indre;20.7
2023-08;36;Indre;21.3
2023-09;36;Indre;21.2
2023-10;36;Indre;15.4
2023-11;36;Indre;9.4
2023-12;36;Indre;7.4
2024-01;36;Indre;5.1
2024-02;36;Indre;8.5
2024-03;36;Indre;9.6
2024-04;36;Indre;11.5
2024-05;36;Indre;14.3
2024-06;36;Indre;17.9
2024-07;36;Indre;20.6
2024-08;36;Indre;20.8
2024-09;36;Indre;15.8
2024-10;36;Indre;14.6
2024-11;36;Indre;9.5
2024-12;36;Indre;5.5
2025-01;36;Indre;4.9
2025-02;36;Indre;6.3
2025-03;36;Indre;8.4
2025-04;36;Indre;12.4
2025-05;36;Indre;15.1
2025-06;36;Indre;21.7
2025-07;36;Indre;21.2
2025-08;36;Indre;21.5
2025-09;36;Indre;16.3
