Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;37;Indre-et-Loire;8.2
2018-02;37;Indre-et-Loire;2.6
2018-03;37;Indre-et-Loire;8.0
2018-04;37;Indre-et-Loire;13.4
2018-05;37;Indre-et-Loire;15.9
2018-06;37;Indre-et-Loire;19.6
2018-07;37;Indre-et-Loire;22.7
2018-08;37;Indre-et-Loire;21.3
2018-09;37;Indre-et-Loire;17.9
2018-10;37;Indre-et-Loire;14.1
2018-11;37;Indre-et-Loire;8.5
2018-12;37;Indre-et-Loire;7.2
2019-01;37;Indre-et-Loire;4.7
2019-02;37;Indre-et-Loire;8.0
2019-03;37;Indre-et-Loire;9.8
2019-04;37;Indre-et-Loire;11.1
2019-05;37;Indre-et-Loire;13.2
2019-06;37;Indre-et-Loire;19.4
2019-07;37;Indre-et-Loire;22.5
2019-08;37;Indre-et-Loire;21.2
2019-09;37;Indre-et-Loire;17.7
2019-10;37;Indre-et-Loire;14.1
2019-11;37;Indre-et-Loire;8.4
2019-12;37;Indre-et-Loire;7.8
2020-01;37;Indre-et-Loire;7.2
2020-02;37;Indre-et-Loire;9.3
2020-03;37;Indre-et-Loire;9.1
2020-04;37;Indre-et-Loire;14.2
2020-05;37;Indre-et-Loire;16.0
2020-06;37;Indre-et-Loire;17.7
2020-07;37;Indre-et-Loire;20.5
2020-08;37;Indre-et-Loire;21.5
2020-09;37;Indre-et-Loire;19.0
2020-10;37;Indre-et-Loire;12.6
2020-11;37;Indre-et-Loire;10.1
2020-12;37;Indre-et-Loire;6.9
2021-01;37;Indre-et-Loire;4.6
2021-02;37;Indre-et-Loire;7.4
2021-03;37;Indre-et-Loire;8.3
2021-04;37;Indre-et-Loire;9.9
2021-05;37;Indre-et-Loire;13.0
2021-06;37;Indre-et-Loire;19.3
2021-07;37;Indre-et-Loire;19.8
2021-08;37;Indre-et-Loire;18.9
2021-09;37;Indre-et-Loire;18.9
2021-10;37;Indre-et-Loire;12.9
2021-11;37;Indre-et-Loire;6.8
2021-12;37;Indre-et-Loire;6.8
2022-01;37;Indre-et-Loire;4.5
2022-02;37;Indre-et-Loire;7.7
2022-03;37;Indre-et-Loire;10.0
2022-04;37;Indre-et-Loire;11.6
2022-05;37;Indre-et-Loire;17.2
2022-06;37;Indre-et-Loire;20.1
2022-07;37;Indre-et-Loire;22.5
2022-08;37;Indre-et-Loire;23.4
2022-09;37;Indre-et-Loire;17.6
2022-10;37;Indre-et-Loire;16.7
2022-11;37;Indre-et-Loire;10.4
2022-12;37;Indre-et-Loire;5.7
2023-01;37;Indre-et-Loire;6.3
2023-02;37;Indre-et-Loire;6.7
2023-03;37;Indre-et-Loire;9.7
2023-04;37;Indre-et-Loire;11.0
2023-05;37;Indre-et-Loire;15.4
2023-06;37;Indre-et-Loire;21.6
2023-07;37;Indre-et-Loire;20.7
2023-08;37;Indre-et-Loire;20.6
2023-09;37;Indre-et-Loire;21.0
2023-10;37;Indre-et-Loire;15.7
2023-11;37;Indre-et-Loire;9.9
2023-12;37;Indre-et-Loire;8.1
2024-01;37;Indre-et-Loire;5.6
2024-02;37;Indre-et-Loire;9.2
2024-03;37;Indre-et-Loire;9.9
2024-04;37;Indre-et-Loire;12.1
2024-05;37;Indre-et-Loire;14.9
2024-06;37;Indre-et-Loire;18.1
2024-07;37;Indre-et-Loire;20.9
2024-08;37;Indre-et-Loire;20.9
2024-09;37;Indre-et-Loire;16.2
2024-10;37;Indre-et-Loire;14.2
2024-11;37;Indre-et-Loire;9.0
2024-12;37;Indre-et-Loire;6.3
2025-01;37;Indre-et-Loire;4.9
2025-02;37;Indre-et-Loire;5.8
2025-03;37;Indre-et-Loire;9.2
2025-04;37;Indre-et-Loire;13.2
2025-05;37;Indre-et-Loire;15.8
2025-06;37;Indre-et-Loire;21.8
2025-07;37;Indre-et-Loire;21.4
2025-08;37;Indre-et-Loire;21.4
2025-09;37;Indre-et-Loire;16.6
