Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;38;Isère;6.1
2018-02;38;Isère;2.0
2018-03;38;Isère;7.3
2018-04;38;Isère;14.4
2018-05;38;Isère;16.4
2018-06;38;Isère;20.0
2018-07;38;Isère;22.9
2018-08;38;Isère;22.4
2018-09;38;Isère;19.0
2018-10;38;Isère;13.2
2018-11;38;Isère;8.4
2018-12;38;Isère;4.8
2019-01;38;Isère;2.1
2019-02;38;Isère;5.4
2019-03;38;Isère;8.5
2019-04;38;Isère;11.2
2019-05;38;Isère;13.3
2019-06;38;Isère;20.7
2019-07;38;Isère;23.0
2019-08;38;Isère;21.4
2019-09;38;Isère;18.0
2019-10;38;Isère;14.6
2019-11;38;Isère;7.0
2019-12;38;Isère;6.1
2020-01;38;Isère;4.1
2020-02;38;Isère;7.2
2020-03;38;Isère;8.6
2020-04;38;Isère;13.6
2020-05;38;Isère;16.4
2020-06;38;Isère;18.7
2020-07;38;Isère;22.2
2020-08;38;Isère;22.2
2020-09;38;Isère;18.3
2020-10;38;Isère;11.6
2020-11;38;Isère;8.2
2020-12;38;Isère;4.1
2021-01;38;Isère;2.2
2021-02;38;Isère;7.4
2021-03;38;Isère;7.8
2021-04;38;Isère;9.8
2021-05;38;Isère;13.6
2021-06;38;Isère;20.9
2021-07;38;Isère;20.5
2021-08;38;Isère;19.9
2021-09;38;Isère;18.7
2021-10;38;Isère;12.2
2021-11;38;Isère;5.8
2021-12;38;Isère;2.9
2022-01;38;Isère;1.9
2022-02;38;Isère;6.0
2022-03;38;Isère;8.6
2022-04;38;Isère;10.9
2022-05;38;Isère;18.0
2022-06;38;Isère;22.0
2022-07;38;Isère;23.4
2022-08;38;Isère;23.2
2022-09;38;Isère;17.4
2022-10;38;Isère;16.4
2022-11;38;Isère;8.8
2022-12;38;Isère;4.8
2023-01;38;Isère;4.0
2023-02;38;Isère;5.2
2023-03;38;Isère;9.3
2023-04;38;Isère;10.9
2023-05;38;Isère;15.8
2023-06;38;Isère;21.0
2023-07;38;Isère;23.0
2023-08;38;Isère;22.5
2023-09;38;Isère;20.3
2023-10;38;Isère;15.8
2023-11;38;Isère;7.8
2023-12;38;Isère;5.2
2024-01;38;Isère;4.4
2024-02;38;Isère;8.0
2024-03;38;Isère;10.0
2024-04;38;Isère;11.9
2024-05;38;Isère;15.4
2024-06;38;Isère;19.7
2024-07;38;Isère;22.4
2024-08;38;Isère;23.2
2024-09;38;Isère;16.4
2024-10;38;Isère;15.1
2024-11;38;Isère;8.2
2024-12;38;Isère;3.1
2025-01;38;Isère;4.7
2025-02;38;Isère;6.3
2025-03;38;Isère;8.7
2025-04;38;Isère;13.2
2025-05;38;Isère;15.9
2025-06;38;Isère;23.0
2025-07;38;Isère;21.7
2025-08;38;Isère;22.5
2025-09;38;Isère;17.0
