Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;39;Jura;7.1
2018-02;39;Jura;1.7
2018-03;39;Jura;6.6
2018-04;39;Jura;13.6
2018-05;39;Jura;16.1
2018-06;39;Jura;19.9
2018-07;39;Jura;22.8
2018-08;39;Jura;22.1
2018-09;39;Jura;18.3
2018-10;39;Jura;13.1
2018-11;39;Jura;8.0
2018-12;39;Jura;5.4
2019-01;39;Jura;2.4
2019-02;39;Jura;5.7
2019-03;39;Jura;8.9
2019-04;39;Jura;11.0
2019-05;39;Jura;12.8
2019-06;39;Jura;20.1
2019-07;39;Jura;22.6
2019-08;39;Jura;21.0
2019-09;39;Jura;17.4
2019-10;39;Jura;13.9
2019-11;39;Jura;7.4
2019-12;39;Jura;6.2
2020-01;39;Jura;4.5
2020-02;39;Jura;8.0
2020-03;39;Jura;8.1
2020-04;39;Jura;13.6
2020-05;39;Jura;15.8
2020-06;39;Jura;18.6
2020-07;39;Jura;21.5
2020-08;39;Jura;22.4
2020-09;39;Jura;18.5
2020-10;39;Jura;11.8
2020-11;39;Jura;8.2
2020-12;39;Jura;5.5
2021-01;39;Jura;3.1
2021-02;39;Jura;6.8
2021-03;39;Jura;7.3
2021-04;39;Jura;9.2
2021-05;39;Jura;12.5
2021-06;39;Jura;20.0
2021-07;39;Jura;19.6
2021-08;39;Jura;19.2
2021-09;39;Jura;18.1
2021-10;39;Jura;11.7
2021-11;39;Jura;5.5
2021-12;39;Jura;4.5
2022-01;39;Jura;2.1
2022-02;39;Jura;6.1
2022-03;39;Jura;8.8
2022-04;39;Jura;10.8
2022-05;39;Jura;17.2
2022-06;39;Jura;20.8
2022-07;39;Jura;22.4
2022-08;39;Jura;23.0
2022-09;39;Jura;16.7
2022-10;39;Jura;16.2
2022-11;39;Jura;9.2
2022-12;39;Jura;5.3
2023-01;39;Jura;5.1
2023-02;39;Jura;5.2
2023-03;39;Jura;8.5
2023-04;39;Jura;10.3
2023-05;39;Jura;15.8
2023-06;39;Jura;21.4
2023-07;39;Jura;21.8
2023-08;39;Jura;21.7
2023-09;39;Jura;20.4
2023-10;39;Jura;15.2
2023-11;39;Jura;8.3
2023-12;39;Jura;6.0
2024-01;39;Jura;4.2
2024-02;39;Jura;8.3
2024-03;39;Jura;10.0
2024-04;39;Jura;11.0
2024-05;39;Jura;15.1
2024-06;39;Jura;18.9
2024-07;39;Jura;21.4
2024-08;39;Jura;22.5
2024-09;39;Jura;16.6
2024-10;39;Jura;14.2
2024-11;39;Jura;7.3
2024-12;39;Jura;3.1
2025-01;39;Jura;4.4
2025-02;39;Jura;6.0
2025-03;39;Jura;8.7
2025-04;39;Jura;12.5
2025-05;39;Jura;15.2
2025-06;39;Jura;21.9
2025-07;39;Jura;20.9
2025-08;39;Jura;21.6
2025-09;39;Jura;16.3
