Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;40;Landes;9.6
2018-02;40;Landes;5.7
2018-03;40;Landes;10.1
2018-04;40;Landes;14.5
2018-05;40;Landes;15.9
2018-06;40;Landes;20.4
2018-07;40;Landes;23.1
2018-08;40;Landes;22.5
2018-09;40;Landes;20.7
2018-10;40;Landes;14.8
2018-11;40;Landes;10.9
2018-12;40;Landes;10.0
2019-01;40;Landes;6.2
2019-02;40;Landes;10.3
2019-03;40;Landes;11.5
2019-04;40;Landes;13.0
2019-05;40;Landes;14.9
2019-06;40;Landes;19.7
2019-07;40;Landes;22.9
2019-08;40;Landes;21.9
2019-09;40;Landes;19.7
2019-10;40;Landes;16.9
2019-11;40;Landes;10.6
2019-12;40;Landes;10.2
2020-01;40;Landes;8.9
2020-02;40;Landes;11.4
2020-03;40;Landes;10.9
2020-04;40;Landes;15.6
2020-05;40;Landes;18.4
2020-06;40;Landes;18.8
2020-07;40;Landes;21.9
2020-08;40;Landes;22.8
2020-09;40;Landes;20.1
2020-10;40;Landes;14.4
2020-11;40;Landes;12.3
2020-12;40;Landes;9.1
2021-01;40;Landes;6.4
2021-02;40;Landes;11.5
2021-03;40;Landes;10.9
2021-04;40;Landes;12.5
2021-05;40;Landes;14.9
2021-06;40;Landes;20.0
2021-07;40;Landes;20.6
2021-08;40;Landes;20.9
2021-09;40;Landes;20.6
2021-10;40;Landes;15.1
2021-11;40;Landes;9.1
2021-12;40;Landes;9.3
2022-01;40;Landes;6.3
2022-02;40;Landes;9.7
2022-03;40;Landes;11.6
2022-04;40;Landes;12.6
2022-05;40;Landes;18.6
2022-06;40;Landes;21.5
2022-07;40;Landes;23.8
2022-08;40;Landes;24.5
2022-09;40;Landes;20.1
2022-10;40;Landes;19.5
2022-11;40;Landes;12.7
2022-12;40;Landes;9.8
2023-01;40;Landes;7.6
2023-02;40;Landes;7.5
2023-03;40;Landes;12.6
2023-04;40;Landes;14.0
2023-05;40;Landes;17.0
2023-06;40;Landes;21.7
2023-07;40;Landes;22.0
2023-08;40;Landes;23.0
2023-09;40;Landes;22.2
2023-10;40;Landes;18.7
2023-11;40;Landes;12.5
2023-12;40;Landes;9.6
2024-01;40;Landes;8.6
2024-02;40;Landes;10.6
2024-03;40;Landes;12.4
2024-04;40;Landes;13.9
2024-05;40;Landes;16.0
2024-06;40;Landes;19.3
2024-07;40;Landes;22.0
2024-08;40;Landes;22.4
2024-09;40;Landes;17.9
2024-10;40;Landes;16.8
2024-11;40;Landes;12.8
2024-12;40;Landes;8.4
2025-01;40;Landes;8.3
2025-02;40;Landes;10.4
2025-03;40;Landes;11.2
2025-04;40;Landes;14.6
2025-05;40;Landes;17.1
2025-06;40;Landes;22.7
2025-07;40;Landes;22.4
2025-08;40;Landes;23.5
2025-09;40;Landes;18.9
