Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;41;Loir-et-Cher;7.8
2018-02;41;Loir-et-Cher;1.8
2018-03;41;Loir-et-Cher;7.6
2018-04;41;Loir-et-Cher;12.8
2018-05;41;Loir-et-Cher;15.6
2018-06;41;Loir-et-Cher;19.0
2018-07;41;Loir-et-Cher;22.0
2018-08;41;Loir-et-Cher;20.6
2018-09;41;Loir-et-Cher;16.7
2018-10;41;Loir-et-Cher;13.3
2018-11;41;Loir-et-Cher;7.8
2018-12;41;Loir-et-Cher;6.5
2019-01;41;Loir-et-Cher;3.7
2019-02;41;Loir-et-Cher;7.1
2019-03;41;Loir-et-Cher;9.0
2019-04;41;Loir-et-Cher;10.4
2019-05;41;Loir-et-Cher;12.7
2019-06;41;Loir-et-Cher;19.1
2019-07;41;Loir-et-Cher;21.7
2019-08;41;Loir-et-Cher;20.2
2019-09;41;Loir-et-Cher;16.8
2019-10;41;Loir-et-Cher;13.8
2019-11;41;Loir-et-Cher;8.1
2019-12;41;Loir-et-Cher;7.1
2020-01;41;Loir-et-Cher;6.6
2020-02;41;Loir-et-Cher;8.9
2020-03;41;Loir-et-Cher;8.7
2020-04;41;Loir-et-Cher;13.4
2020-05;41;Loir-et-Cher;15.2
2020-06;41;Loir-et-Cher;17.3
2020-07;41;Loir-et-Cher;19.9
2020-08;41;Loir-et-Cher;20.8
2020-09;41;Loir-et-Cher;17.9
2020-10;41;Loir-et-Cher;12.0
2020-11;41;Loir-et-Cher;9.2
2020-12;41;Loir-et-Cher;6.3
2021-01;41;Loir-et-Cher;4.2
2021-02;41;Loir-et-Cher;6.9
2021-03;41;Loir-et-Cher;7.4
2021-04;41;Loir-et-Cher;9.1
2021-05;41;Loir-et-Cher;12.6
2021-06;41;Loir-et-Cher;19.1
2021-07;41;Loir-et-Cher;19.1
2021-08;41;Loir-et-Cher;18.1
2021-09;41;Loir-et-Cher;18.1
2021-10;41;Loir-et-Cher;11.9
2021-11;41;Loir-et-Cher;6.1
2021-12;41;Loir-et-Cher;6.3
2022-01;41;Loir-et-Cher;4.1
2022-02;41;Loir-et-Cher;6.9
2022-03;41;Loir-et-Cher;9.3
2022-04;41;Loir-et-Cher;11.2
2022-05;41;Loir-et-Cher;16.5
2022-06;41;Loir-et-Cher;19.7
2022-07;41;Loir-et-Cher;21.3
2022-08;41;Loir-et-Cher;22.2
2022-09;41;Loir-et-Cher;16.6
2022-10;41;Loir-et-Cher;16.0
2022-11;41;Loir-et-Cher;9.5
2022-12;41;Loir-et-Cher;5.1
2023-01;41;Loir-et-Cher;5.9
2023-02;41;Loir-et-Cher;6.0
2023-03;41;Loir-et-Cher;9.1
2023-04;41;Loir-et-Cher;10.4
2023-05;41;Loir-et-Cher;15.1
2023-06;41;Loir-et-Cher;20.9
2023-07;41;Loir-et-Cher;20.2
2023-08;41;Loir-et-Cher;20.2
2023-09;41;Loir-et-Cher;20.4
2023-10;41;Loir-et-Cher;14.8
2023-11;41;Loir-et-Cher;9.4
2023-12;41;Loir-et-Cher;7.6
2024-01;41;Loir-et-Cher;5.1
2024-02;41;Loir-et-Cher;8.7
2024-03;41;Loir-et-Cher;9.5
2024-04;41;Loir-et-Cher;11.5
2024-05;41;Loir-et-Cher;14.5
2024-06;41;Loir-et-Cher;17.6
2024-07;41;Loir-et-Cher;20.3
2024-08;41;Loir-et-Cher;20.2
2024-09;41;Loir-et-Cher;15.6
2024-10;41;Loir-et-Cher;14.0
2024-11;41;Loir-et-Cher;8.6
2024-12;41;Loir-et-Cher;5.8
2025-01;41;Loir-et-Cher;4.7
2025-02;41;Loir-et-Cher;5.7
2025-03;41;Loir-et-Cher;8.6
2025-04;41;Loir-et-Cher;12.7
2025-05;41;Loir-et-Cher;15.1
2025-06;41;Loir-et-Cher;21.1
2025-07;41;Loir-et-Cher;20.6
2025-08;41;Loir-et-Cher;20.5
2025-09;41;Loir-et-Cher;15.8
