Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;42;Loire;7.5
2018-02;42;Loire;1.1
2018-03;42;Loire;7.6
2018-04;42;Loire;13.0
2018-05;42;Loire;15.2
2018-06;42;Loire;18.6
2018-07;42;Loire;21.8
2018-08;42;Loire;21.6
2018-09;42;Loire;18.3
2018-10;42;Loire;12.9
2018-11;42;Loire;8.5
2018-12;42;Loire;5.8
2019-01;42;Loire;2.2
2019-02;42;Loire;6.2
2019-03;42;Loire;8.6
2019-04;42;Loire;10.2
2019-05;42;Loire;12.3
2019-06;42;Loire;19.8
2019-07;42;Loire;22.6
2019-08;42;Loire;20.6
2019-09;42;Loire;16.8
2019-10;42;Loire;14.4
2019-11;42;Loire;7.4
2019-12;42;Loire;7.0
2020-01;42;Loire;5.2
2020-02;42;Loire;8.3
2020-03;42;Loire;7.8
2020-04;42;Loire;13.2
2020-05;42;Loire;14.9
2020-06;42;Loire;17.8
2020-07;42;Loire;21.1
2020-08;42;Loire;22.1
2020-09;42;Loire;17.7
2020-10;42;Loire;11.6
2020-11;42;Loire;9.0
2020-12;42;Loire;5.6
2021-01;42;Loire;2.9
2021-02;42;Loire;7.7
2021-03;42;Loire;7.2
2021-04;42;Loire;8.8
2021-05;42;Loire;12.4
2021-06;42;Loire;19.3
2021-07;42;Loire;19.1
2021-08;42;Loire;18.7
2021-09;42;Loire;18.0
2021-10;42;Loire;11.6
2021-11;42;Loire;5.6
2021-12;42;Loire;4.7
2022-01;42;Loire;2.3
2022-02;42;Loire;6.3
2022-03;42;Loire;8.4
2022-04;42;Loire;10.2
2022-05;42;Loire;17.2
2022-06;42;Loire;21.1
2022-07;42;Loire;22.0
2022-08;42;Loire;22.4
2022-09;42;Loire;16.5
2022-10;42;Loire;17.0
2022-11;42;Loire;9.4
2022-12;42;Loire;5.2
2023-01;42;Loire;4.4
2023-02;42;Loire;4.9
2023-03;42;Loire;8.8
2023-04;42;Loire;10.0
2023-05;42;Loire;14.6
2023-06;42;Loire;20.2
2023-07;42;Loire;21.8
2023-08;42;Loire;22.3
2023-09;42;Loire;20.8
2023-10;42;Loire;16.0
2023-11;42;Loire;8.3
2023-12;42;Loire;5.7
2024-01;42;Loire;4.6
2024-02;42;Loire;7.7
2024-03;42;Loire;9.4
2024-04;42;Loire;10.9
2024-05;42;Loire;13.9
2024-06;42;Loire;18.3
2024-07;42;Loire;21.1
2024-08;42;Loire;21.9
2024-09;42;Loire;15.6
2024-10;42;Loire;14.7
2024-11;42;Loire;8.7
2024-12;42;Loire;3.6
2025-01;42;Loire;4.6
2025-02;42;Loire;5.6
2025-03;42;Loire;8.0
2025-04;42;Loire;11.5
2025-05;42;Loire;14.6
2025-06;42;Loire;21.8
2025-07;42;Loire;20.9
2025-08;42;Loire;21.8
2025-09;42;Loire;15.9
