Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;43;Haute-Loire;4.9
2018-02;43;Haute-Loire;-1.1
2018-03;43;Haute-Loire;4.9
2018-04;43;Haute-Loire;10.4
2018-05;43;Haute-Loire;12.2
2018-06;43;Haute-Loire;16.0
2018-07;43;Haute-Loire;19.3
2018-08;43;Haute-Loire;19.0
2018-09;43;Haute-Loire;15.3
2018-10;43;Haute-Loire;10.6
2018-11;43;Haute-Loire;6.1
2018-12;43;Haute-Loire;4.0
2019-01;43;Haute-Loire;-0.3
2019-02;43;Haute-Loire;4.2
2019-03;43;Haute-Loire;6.2
2019-04;43;Haute-Loire;7.3
2019-05;43;Haute-Loire;10.0
2019-06;43;Haute-Loire;17.2
2019-07;43;Haute-Loire;19.8
2019-08;43;Haute-Loire;18.2
2019-09;43;Haute-Loire;14.3
2019-10;43;Haute-Loire;12.0
2019-11;43;Haute-Loire;4.4
2019-12;43;Haute-Loire;4.9
2020-01;43;Haute-Loire;3.6
2020-02;43;Haute-Loire;5.6
2020-03;43;Haute-Loire;5.8
2020-04;43;Haute-Loire;10.2
2020-05;43;Haute-Loire;13.1
2020-06;43;Haute-Loire;15.0
2020-07;43;Haute-Loire;18.9
2020-08;43;Haute-Loire;19.0
2020-09;43;Haute-Loire;14.6
2020-10;43;Haute-Loire;9.0
2020-11;43;Haute-Loire;7.0
2020-12;43;Haute-Loire;2.7
2021-01;43;Haute-Loire;0.4
2021-02;43;Haute-Loire;5.9
2021-03;43;Haute-Loire;5.0
2021-04;43;Haute-Loire;6.2
2021-05;43;Haute-Loire;10.1
2021-06;43;Haute-Loire;16.7
2021-07;43;Haute-Loire;17.0
2021-08;43;Haute-Loire;16.8
2021-09;43;Haute-Loire;15.6
2021-10;43;Haute-Loire;9.3
2021-11;43;Haute-Loire;3.9
2021-12;43;Haute-Loire;2.7
2022-01;43;Haute-Loire;1.2
2022-02;43;Haute-Loire;4.2
2022-03;43;Haute-Loire;5.6
2022-04;43;Haute-Loire;7.9
2022-05;43;Haute-Loire;14.8
2022-06;43;Haute-Loire;18.9
2022-07;43;Haute-Loire;20.2
2022-08;43;Haute-Loire;20.1
2022-09;43;Haute-Loire;14.0
2022-10;43;Haute-Loire;14.4
2022-11;43;Haute-Loire;6.9
2022-12;43;Haute-Loire;3.1
2023-01;43;Haute-Loire;1.6
2023-02;43;Haute-Loire;3.3
2023-03;43;Haute-Loire;6.7
2023-04;43;Haute-Loire;8.3
2023-05;43;Haute-Loire;12.0
2023-06;43;Haute-Loire;17.1
2023-07;43;Haute-Loire;20.0
2023-08;43;Haute-Loire;19.9
2023-09;43;Haute-Loire;17.6
2023-10;43;Haute-Loire;13.1
2023-11;43;Haute-Loire;5.9
2023-12;43;Haute-Loire;4.0
2024-01;43;Haute-Loire;2.9
2024-02;43;Haute-Loire;5.8
2024-03;43;Haute-Loire;6.9
2024-04;43;Haute-Loire;8.3
2024-05;43;Haute-Loire;11.4
2024-06;43;Haute-Loire;16.1
2024-07;43;Haute-Loire;19.2
2024-08;43;Haute-Loire;19.7
2024-09;43;Haute-Loire;13.2
2024-10;43;Haute-Loire;12.4
2024-11;43;Haute-Loire;7.2
2024-12;43;Haute-Loire;2.3
2025-01;43;Haute-Loire;3.1
2025-02;43;Haute-Loire;3.7
2025-03;43;Haute-Loire;5.5
2025-04;43;Haute-Loire;9.5
2025-05;43;Haute-Loire;12.1
2025-06;43;Haute-Loire;19.3
2025-07;43;Haute-Loire;18.5
2025-08;43;Haute-Loire;19.3
2025-09;43;Haute-Loire;13.6
