Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;44;Loire-Atlantique;8.9
2018-02;44;Loire-Atlantique;4.8
2018-03;44;Loire-Atlantique;8.5
2018-04;44;Loire-Atlantique;12.6
2018-05;44;Loire-Atlantique;15.6
2018-06;44;Loire-Atlantique;19.4
2018-07;44;Loire-Atlantique;21.2
2018-08;44;Loire-Atlantique;19.9
2018-09;44;Loire-Atlantique;17.4
2018-10;44;Loire-Atlantique;14.0
2018-11;44;Loire-Atlantique;9.6
2018-12;44;Loire-Atlantique;9.1
2019-01;44;Loire-Atlantique;6.4
2019-02;44;Loire-Atlantique;8.5
2019-03;44;Loire-Atlantique;9.9
2019-04;44;Loire-Atlantique;11.3
2019-05;44;Loire-Atlantique;13.3
2019-06;44;Loire-Atlantique;17.4
2019-07;44;Loire-Atlantique;20.7
2019-08;44;Loire-Atlantique;19.2
2019-09;44;Loire-Atlantique;17.6
2019-10;44;Loire-Atlantique;14.6
2019-11;44;Loire-Atlantique;9.4
2019-12;44;Loire-Atlantique;8.7
2020-01;44;Loire-Atlantique;8.5
2020-02;44;Loire-Atlantique;9.9
2020-03;44;Loire-Atlantique;9.8
2020-04;44;Loire-Atlantique;13.8
2020-05;44;Loire-Atlantique;16.2
2020-06;44;Loire-Atlantique;17.2
2020-07;44;Loire-Atlantique;19.1
2020-08;44;Loire-Atlantique;20.1
2020-09;44;Loire-Atlantique;18.1
2020-10;44;Loire-Atlantique;13.1
2020-11;44;Loire-Atlantique;11.2
2020-12;44;Loire-Atlantique;8.5
2021-01;44;Loire-Atlantique;6.0
2021-02;44;Loire-Atlantique;7.9
2021-03;44;Loire-Atlantique;9.0
2021-04;44;Loire-Atlantique;10.5
2021-05;44;Loire-Atlantique;13.3
2021-06;44;Loire-Atlantique;18.2
2021-07;44;Loire-Atlantique;19.2
2021-08;44;Loire-Atlantique;18.2
2021-09;44;Loire-Atlantique;18.7
2021-10;44;Loire-Atlantique;13.8
2021-11;44;Loire-Atlantique;8.2
2021-12;44;Loire-Atlantique;8.2
2022-01;44;Loire-Atlantique;6.3
2022-02;44;Loire-Atlantique;8.6
2022-03;44;Loire-Atlantique;10.5
2022-04;44;Loire-Atlantique;12.0
2022-05;44;Loire-Atlantique;16.2
2022-06;44;Loire-Atlantique;18.9
2022-07;44;Loire-Atlantique;21.4
2022-08;44;Loire-Atlantique;22.1
2022-09;44;Loire-Atlantique;17.7
2022-10;44;Loire-Atlantique;16.7
2022-11;44;Loire-Atlantique;12.3
2022-12;44;Loire-Atlantique;6.5
2023-01;44;Loire-Atlantique;7.6
2023-02;44;Loire-Atlantique;7.4
2023-03;44;Loire-Atlantique;10.0
2023-04;44;Loire-Atlantique;11.4
2023-05;44;Loire-Atlantique;15.7
2023-06;44;Loire-Atlantique;20.5
2023-07;44;Loire-Atlantique;19.0
2023-08;44;Loire-Atlantique;19.5
2023-09;44;Loire-Atlantique;20.3
2023-10;44;Loire-Atlantique;16.1
2023-11;44;Loire-Atlantique;11.3
2023-12;44;Loire-Atlantique;9.7
2024-01;44;Loire-Atlantique;6.9
2024-02;44;Loire-Atlantique;10.3
2024-03;44;Loire-Atlantique;10.2
2024-04;44;Loire-Atlantique;11.9
2024-05;44;Loire-Atlantique;14.9
2024-06;44;Loire-Atlantique;17.1
2024-07;44;Loire-Atlantique;18.8
2024-08;44;Loire-Atlantique;19.2
2024-09;44;Loire-Atlantique;15.9
2024-10;44;Loire-Atlantique;14.4
2024-11;44;Loire-Atlantique;10.6
2024-12;44;Loire-Atlantique;7.8
2025-01;44;Loire-Atlantique;5.7
2025-02;44;Loire-Atlantique;7.1
2025-03;44;Loire-Atlantique;9.7
2025-04;44;Loire-Atlantique;13.4
2025-05;44;Loire-Atlantique;15.6
2025-06;44;Loire-Atlantique;20.1
2025-07;44;Loire-Atlantique;20.3
2025-08;44;Loire-Atlantique;20.8
2025-09;44;Loire-Atlantique;16.8
