Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;45;Loiret;7.3
2018-02;45;Loiret;1.1
2018-03;45;Loiret;7.5
2018-04;45;Loiret;13.0
2018-05;45;Loiret;15.6
2018-06;45;Loiret;18.7
2018-07;45;Loiret;22.3
2018-08;45;Loiret;20.8
2018-09;45;Loiret;16.9
2018-10;45;Loiret;13.7
2018-11;45;Loiret;7.9
2018-12;45;Loiret;6.4
2019-01;45;Loiret;3.7
2019-02;45;Loiret;7.1
2019-03;45;Loiret;8.9
2019-04;45;Loiret;10.4
2019-05;45;Loiret;12.6
2019-06;45;Loiret;18.9
2019-07;45;Loiret;21.3
2019-08;45;Loiret;20.4
2019-09;45;Loiret;16.6
2019-10;45;Loiret;13.4
2019-11;45;Loiret;7.8
2019-12;45;Loiret;6.7
2020-01;45;Loiret;6.4
2020-02;45;Loiret;8.6
2020-03;45;Loiret;8.3
2020-04;45;Loiret;13.6
2020-05;45;Loiret;14.7
2020-06;45;Loiret;17.3
2020-07;45;Loiret;19.8
2020-08;45;Loiret;21.3
2020-09;45;Loiret;18.3
2020-10;45;Loiret;11.9
2020-11;45;Loiret;9.3
2020-12;45;Loiret;6.2
2021-01;45;Loiret;3.9
2021-02;45;Loiret;6.3
2021-03;45;Loiret;7.6
2021-04;45;Loiret;8.7
2021-05;45;Loiret;12.3
2021-06;45;Loiret;19.1
2021-07;45;Loiret;19.2
2021-08;45;Loiret;18.5
2021-09;45;Loiret;18.1
2021-10;45;Loiret;11.9
2021-11;45;Loiret;5.7
2021-12;45;Loiret;6.1
2022-01;45;Loiret;3.7
2022-02;45;Loiret;6.9
2022-03;45;Loiret;9.2
2022-04;45;Loiret;10.8
2022-05;45;Loiret;16.3
2022-06;45;Loiret;19.2
2022-07;45;Loiret;21.2
2022-08;45;Loiret;22.0
2022-09;45;Loiret;16.8
2022-10;45;Loiret;16.1
2022-11;45;Loiret;9.6
2022-12;45;Loiret;5.0
2023-01;45;Loiret;5.7
2023-02;45;Loiret;5.9
2023-03;45;Loiret;9.0
2023-04;45;Loiret;9.8
2023-05;45;Loiret;14.6
2023-06;45;Loiret;20.3
2023-07;45;Loiret;20.1
2023-08;45;Loiret;19.7
2023-09;45;Loiret;20.3
2023-10;45;Loiret;14.8
2023-11;45;Loiret;9.1
2023-12;45;Loiret;7.4
2024-01;45;Loiret;4.5
2024-02;45;Loiret;8.6
2024-03;45;Loiret;9.3
2024-04;45;Loiret;11.4
2024-05;45;Loiret;14.4
2024-06;45;Loiret;17.1
2024-07;45;Loiret;20.0
2024-08;45;Loiret;20.5
2024-09;45;Loiret;15.6
2024-10;45;Loiret;13.9
2024-11;45;Loiret;7.9
2024-12;45;Loiret;5.4
2025-01;45;Loiret;3.9
2025-02;45;Loiret;5.3
2025-03;45;Loiret;8.4
2025-04;45;Loiret;12.7
2025-05;45;Loiret;15.1
2025-06;45;Loiret;21.0
2025-07;45;Loiret;20.7
2025-08;45;Loiret;20.1
2025-09;45;Loiret;15.9
