Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;46;Lot;7.8
2018-02;46;Lot;3.3
2018-03;46;Lot;8.6
2018-04;46;Lot;14.2
2018-05;46;Lot;15.7
2018-06;46;Lot;19.9
2018-07;46;Lot;22.6
2018-08;46;Lot;22.3
2018-09;46;Lot;19.5
2018-10;46;Lot;14.7
2018-11;46;Lot;10.0
2018-12;46;Lot;7.4
2019-01;46;Lot;3.2
2019-02;46;Lot;8.9
2019-03;46;Lot;10.0
2019-04;46;Lot;11.9
2019-05;46;Lot;13.5
2019-06;46;Lot;19.9
2019-07;46;Lot;23.4
2019-08;46;Lot;21.6
2019-09;46;Lot;18.8
2019-10;46;Lot;15.5
2019-11;46;Lot;8.5
2019-12;46;Lot;8.2
2020-01;46;Lot;7.5
2020-02;46;Lot;9.4
2020-03;46;Lot;9.7
2020-04;46;Lot;15.2
2020-05;46;Lot;17.5
2020-06;46;Lot;17.9
2020-07;46;Lot;21.8
2020-08;46;Lot;22.8
2020-09;46;Lot;18.7
2020-10;46;Lot;12.4
2020-11;46;Lot;11.2
2020-12;46;Lot;6.5
2021-01;46;Lot;4.1
2021-02;46;Lot;10.2
2021-03;46;Lot;9.5
2021-04;46;Lot;11.3
2021-05;46;Lot;13.7
2021-06;46;Lot;19.6
2021-07;46;Lot;20.1
2021-08;46;Lot;19.5
2021-09;46;Lot;19.2
2021-10;46;Lot;13.2
2021-11;46;Lot;7.2
2021-12;46;Lot;7.2
2022-01;46;Lot;3.9
2022-02;46;Lot;8.1
2022-03;46;Lot;10.8
2022-04;46;Lot;11.7
2022-05;46;Lot;18.1
2022-06;46;Lot;21.1
2022-07;46;Lot;23.1
2022-08;46;Lot;24.0
2022-09;46;Lot;18.5
2022-10;46;Lot;18.8
2022-11;46;Lot;11.0
2022-12;46;Lot;7.6
2023-01;46;Lot;5.3
2023-02;46;Lot;6.4
2023-03;46;Lot;10.6
2023-04;46;Lot;12.5
2023-05;46;Lot;16.2
2023-06;46;Lot;20.9
2023-07;46;Lot;21.6
2023-08;46;Lot;22.4
2023-09;46;Lot;22.2
2023-10;46;Lot;17.1
2023-11;46;Lot;9.8
2023-12;46;Lot;7.0
2024-01;46;Lot;6.8
2024-02;46;Lot;8.4
2024-03;46;Lot;10.9
2024-04;46;Lot;12.5
2024-05;46;Lot;14.8
2024-06;46;Lot;19.1
2024-07;46;Lot;22.0
2024-08;46;Lot;22.3
2024-09;46;Lot;16.3
2024-10;46;Lot;16.1
2024-11;46;Lot;11.3
2024-12;46;Lot;5.8
2025-01;46;Lot;6.3
2025-02;46;Lot;8.3
2025-03;46;Lot;10.0
2025-04;46;Lot;13.5
2025-05;46;Lot;16.2
2025-06;46;Lot;22.1
2025-07;46;Lot;21.4
2025-08;46;Lot;23.1
2025-09;46;Lot;16.7
