Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;47;Lot-et-Garonne;9.3
2018-02;47;Lot-et-Garonne;4.9
2018-03;47;Lot-et-Garonne;9.7
2018-04;47;Lot-et-Garonne;14.5
2018-05;47;Lot-et-Garonne;16.4
2018-06;47;Lot-et-Garonne;20.9
2018-07;47;Lot-et-Garonne;23.4
2018-08;47;Lot-et-Garonne;22.9
2018-09;47;Lot-et-Garonne;20.3
2018-10;47;Lot-et-Garonne;14.8
2018-11;47;Lot-et-Garonne;10.0
2018-12;47;Lot-et-Garonne;8.6
2019-01;47;Lot-et-Garonne;4.8
2019-02;47;Lot-et-Garonne;8.7
2019-03;47;Lot-et-Garonne;10.6
2019-04;47;Lot-et-Garonne;12.3
2019-05;47;Lot-et-Garonne;14.5
2019-06;47;Lot-et-Garonne;20.2
2019-07;47;Lot-et-Garonne;24.2
2019-08;47;Lot-et-Garonne;22.5
2019-09;47;Lot-et-Garonne;19.7
2019-10;47;Lot-et-Garonne;16.3
2019-11;47;Lot-et-Garonne;9.5
2019-12;47;Lot-et-Garonne;9.0
2020-01;47;Lot-et-Garonne;7.5
2020-02;47;Lot-et-Garonne;9.6
2020-03;47;Lot-et-Garonne;10.3
2020-04;47;Lot-et-Garonne;14.9
2020-05;47;Lot-et-Garonne;18.1
2020-06;47;Lot-et-Garonne;19.0
2020-07;47;Lot-et-Garonne;22.6
2020-08;47;Lot-et-Garonne;23.4
2020-09;47;Lot-et-Garonne;19.6
2020-10;47;Lot-et-Garonne;13.7
2020-11;47;Lot-et-Garonne;11.2
2020-12;47;Lot-et-Garonne;7.3
2021-01;47;Lot-et-Garonne;5.2
2021-02;47;Lot-et-Garonne;10.5
2021-03;47;Lot-et-Garonne;10.0
2021-04;47;Lot-et-Garonne;11.7
2021-05;47;Lot-et-Garonne;14.6
2021-06;47;Lot-et-Garonne;20.7
2021-07;47;Lot-et-Garonne;21.2
2021-08;47;Lot-et-Garonne;20.8
2021-09;47;Lot-et-Garonne;20.3
2021-10;47;Lot-et-Garonne;13.8
2021-11;47;Lot-et-Garonne;8.1
2021-12;47;Lot-et-Garonne;7.6
2022-01;47;Lot-et-Garonne;4.0
2022-02;47;Lot-et-Garonne;8.9
2022-03;47;Lot-et-Garonne;10.9
2022-04;47;Lot-et-Garonne;12.6
2022-05;47;Lot-et-Garonne;19.3
2022-06;47;Lot-et-Garonne;22.3
2022-07;47;Lot-et-Garonne;24.1
2022-08;47;Lot-et-Garonne;25.2
2022-09;47;Lot-et-Garonne;20.1
2022-10;47;Lot-et-Garonne;19.3
2022-11;47;Lot-et-Garonne;11.8
2022-12;47;Lot-et-Garonne;8.4
2023-01;47;Lot-et-Garonne;6.2
2023-02;47;Lot-et-Garonne;6.5
2023-03;47;Lot-et-Garonne;11.4
2023-04;47;Lot-et-Garonne;13.3
2023-05;47;Lot-et-Garonne;17.2
2023-06;47;Lot-et-Garonne;22.1
2023-07;47;Lot-et-Garonne;22.8
2023-08;47;Lot-et-Garonne;23.7
2023-09;47;Lot-et-Garonne;22.5
2023-10;47;Lot-et-Garonne;17.8
2023-11;47;Lot-et-Garonne;11.1
2023-12;47;Lot-et-Garonne;8.0
2024-01;47;Lot-et-Garonne;7.3
2024-02;47;Lot-et-Garonne;9.5
2024-03;47;Lot-et-Garonne;11.9
2024-04;47;Lot-et-Garonne;13.4
2024-05;47;Lot-et-Garonne;15.9
2024-06;47;Lot-et-Garonne;20.1
2024-07;47;Lot-et-Garonne;23.0
2024-08;47;Lot-et-Garonne;22.9
2024-09;47;Lot-et-Garonne;17.5
2024-10;47;Lot-et-Garonne;16.4
2024-11;47;Lot-et-Garonne;11.4
2024-12;47;Lot-et-Garonne;7.0
2025-01;47;Lot-et-Garonne;6.6
2025-02;47;Lot-et-Garonne;8.7
2025-03;47;Lot-et-Garonne;10.7
2025-04;47;Lot-et-Garonne;14.1
2025-05;47;Lot-et-Garonne;17.5
2025-06;47;Lot-et-Garonne;23.0
2025-07;47;Lot-et-Garonne;22.9
2025-08;47;Lot-et-Garonne;24.4
2025-09;47;Lot-et-Garonne;18.4
