Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;48;Lozère;4.4
2018-02;48;Lozère;-0.7
2018-03;48;Lozère;4.3
2018-04;48;Lozère;10.1
2018-05;48;Lozère;12.3
2018-06;48;Lozère;16.8
2018-07;48;Lozère;20.2
2018-08;48;Lozère;19.5
2018-09;48;Lozère;17.0
2018-10;48;Lozère;11.6
2018-11;48;Lozère;7.0
2018-12;48;Lozère;4.6
2019-01;48;Lozère;-0.3
2019-02;48;Lozère;5.8
2019-03;48;Lozère;6.5
2019-04;48;Lozère;7.3
2019-05;48;Lozère;10.1
2019-06;48;Lozère;17.7
2019-07;48;Lozère;20.7
2019-08;48;Lozère;20.1
2019-09;48;Lozère;15.8
2019-10;48;Lozère;12.0
2019-11;48;Lozère;4.3
2019-12;48;Lozère;5.2
2020-01;48;Lozère;3.7
2020-02;48;Lozère;5.6
2020-03;48;Lozère;6.4
2020-04;48;Lozère;10.7
2020-05;48;Lozère;14.1
2020-06;48;Lozère;15.3
2020-07;48;Lozère;20.3
2020-08;48;Lozère;19.9
2020-09;48;Lozère;15.6
2020-10;48;Lozère;8.9
2020-11;48;Lozère;8.5
2020-12;48;Lozère;2.3
2021-01;48;Lozère;-0.0
2021-02;48;Lozère;6.0
2021-03;48;Lozère;5.7
2021-04;48;Lozère;7.2
2021-05;48;Lozère;10.2
2021-06;48;Lozère;17.1
2021-07;48;Lozère;17.9
2021-08;48;Lozère;17.9
2021-09;48;Lozère;16.3
2021-10;48;Lozère;10.3
2021-11;48;Lozère;4.9
2021-12;48;Lozère;4.5
2022-01;48;Lozère;3.1
2022-02;48;Lozère;4.8
2022-03;48;Lozère;6.0
2022-04;48;Lozère;8.5
2022-05;48;Lozère;15.4
2022-06;48;Lozère;19.8
2022-07;48;Lozère;21.8
2022-08;48;Lozère;21.2
2022-09;48;Lozère;15.0
2022-10;48;Lozère;14.6
2022-11;48;Lozère;7.3
2022-12;48;Lozère;4.2
2023-01;48;Lozère;1.1
2023-02;48;Lozère;4.1
2023-03;48;Lozère;6.9
2023-04;48;Lozère;8.8
2023-05;48;Lozère;12.5
2023-06;48;Lozère;17.5
2023-07;48;Lozère;20.3
2023-08;48;Lozère;20.4
2023-09;48;Lozère;18.1
2023-10;48;Lozère;13.8
2023-11;48;Lozère;5.7
2023-12;48;Lozère;4.3
2024-01;48;Lozère;3.9
2024-02;48;Lozère;6.1
2024-03;48;Lozère;6.9
2024-04;48;Lozère;8.7
2024-05;48;Lozère;11.7
2024-06;48;Lozère;16.3
2024-07;48;Lozère;19.9
2024-08;48;Lozère;20.7
2024-09;48;Lozère;13.4
2024-10;48;Lozère;13.2
2024-11;48;Lozère;8.2
2024-12;48;Lozère;3.8
2025-01;48;Lozère;3.7
2025-02;48;Lozère;4.9
2025-03;48;Lozère;5.7
2025-04;48;Lozère;10.1
2025-05;48;Lozère;12.8
2025-06;48;Lozère;20.7
2025-07;48;Lozère;19.5
2025-08;48;Lozère;20.9
2025-09;48;Lozère;14.3
