Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;49;Maine-et-Loire;8.9
2018-02;49;Maine-et-Loire;3.8
2018-03;49;Maine-et-Loire;8.4
2018-04;49;Maine-et-Loire;13.2
2018-05;49;Maine-et-Loire;15.8
2018-06;49;Maine-et-Loire;19.3
2018-07;49;Maine-et-Loire;22.3
2018-08;49;Maine-et-Loire;20.9
2018-09;49;Maine-et-Loire;17.6
2018-10;49;Maine-et-Loire;13.6
2018-11;49;Maine-et-Loire;8.9
2018-12;49;Maine-et-Loire;8.3
2019-01;49;Maine-et-Loire;5.4
2019-02;49;Maine-et-Loire;7.9
2019-03;49;Maine-et-Loire;9.9
2019-04;49;Maine-et-Loire;11.3
2019-05;49;Maine-et-Loire;13.7
2019-06;49;Maine-et-Loire;19.3
2019-07;49;Maine-et-Loire;22.2
2019-08;49;Maine-et-Loire;20.5
2019-09;49;Maine-et-Loire;17.5
2019-10;49;Maine-et-Loire;14.6
2019-11;49;Maine-et-Loire;8.6
2019-12;49;Maine-et-Loire;8.0
2020-01;49;Maine-et-Loire;7.8
2020-02;49;Maine-et-Loire;9.8
2020-03;49;Maine-et-Loire;9.3
2020-04;49;Maine-et-Loire;14.4
2020-05;49;Maine-et-Loire;16.2
2020-06;49;Maine-et-Loire;17.6
2020-07;49;Maine-et-Loire;19.9
2020-08;49;Maine-et-Loire;21.3
2020-09;49;Maine-et-Loire;18.4
2020-10;49;Maine-et-Loire;13.0
2020-11;49;Maine-et-Loire;10.5
2020-12;49;Maine-et-Loire;7.6
2021-01;49;Maine-et-Loire;5.2
2021-02;49;Maine-et-Loire;7.9
2021-03;49;Maine-et-Loire;8.6
2021-04;49;Maine-et-Loire;10.0
2021-05;49;Maine-et-Loire;13.3
2021-06;49;Maine-et-Loire;18.8
2021-07;49;Maine-et-Loire;19.6
2021-08;49;Maine-et-Loire;18.6
2021-09;49;Maine-et-Loire;19.0
2021-10;49;Maine-et-Loire;13.4
2021-11;49;Maine-et-Loire;7.2
2021-12;49;Maine-et-Loire;7.5
2022-01;49;Maine-et-Loire;5.4
2022-02;49;Maine-et-Loire;8.4
2022-03;49;Maine-et-Loire;10.7
2022-04;49;Maine-et-Loire;11.9
2022-05;49;Maine-et-Loire;16.8
2022-06;49;Maine-et-Loire;19.7
2022-07;49;Maine-et-Loire;22.3
2022-08;49;Maine-et-Loire;22.8
2022-09;49;Maine-et-Loire;17.5
2022-10;49;Maine-et-Loire;16.9
2022-11;49;Maine-et-Loire;11.4
2022-12;49;Maine-et-Loire;6.1
2023-01;49;Maine-et-Loire;7.0
2023-02;49;Maine-et-Loire;6.8
2023-03;49;Maine-et-Loire;10.1
2023-04;49;Maine-et-Loire;11.3
2023-05;49;Maine-et-Loire;15.8
2023-06;49;Maine-et-Loire;21.2
2023-07;49;Maine-et-Loire;20.2
2023-08;49;Maine-et-Loire;20.7
2023-09;49;Maine-et-Loire;20.9
2023-10;49;Maine-et-Loire;15.7
2023-11;49;Maine-et-Loire;10.6
2023-12;49;Maine-et-Loire;8.7
2024-01;49;Maine-et-Loire;6.2
2024-02;49;Maine-et-Loire;10.0
2024-03;49;Maine-et-Loire;10.0
2024-04;49;Maine-et-Loire;12.1
2024-05;49;Maine-et-Loire;15.0
2024-06;49;Maine-et-Loire;17.4
2024-07;49;Maine-et-Loire;20.0
2024-08;49;Maine-et-Loire;20.4
2024-09;49;Maine-et-Loire;16.1
2024-10;49;Maine-et-Loire;14.4
2024-11;49;Maine-et-Loire;9.5
2024-12;49;Maine-et-Loire;7.1
2025-01;49;Maine-et-Loire;5.2
2025-02;49;Maine-et-Loire;6.4
2025-03;49;Maine-et-Loire;9.6
2025-04;49;Maine-et-Loire;13.3
2025-05;49;Maine-et-Loire;16.2
2025-06;49;Maine-et-Loire;21.6
2025-07;49;Maine-et-Loire;21.4
2025-08;49;Maine-et-Loire;21.4
2025-09;49;Maine-et-Loire;16.9
