Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;50;Manche;8.2
2018-02;50;Manche;5.0
2018-03;50;Manche;7.2
2018-04;50;Manche;10.9
2018-05;50;Manche;12.7
2018-06;50;Manche;15.4
2018-07;50;Manche;18.1
2018-08;50;Manche;17.4
2018-09;50;Manche;16.4
2018-10;50;Manche;14.0
2018-11;50;Manche;10.4
2018-12;50;Manche;9.5
2019-01;50;Manche;7.1
2019-02;50;Manche;8.4
2019-03;50;Manche;9.4
2019-04;50;Manche;10.2
2019-05;50;Manche;12.0
2019-06;50;Manche;15.1
2019-07;50;Manche;17.7
2019-08;50;Manche;17.7
2019-09;50;Manche;16.3
2019-10;50;Manche;13.7
2019-11;50;Manche;9.4
2019-12;50;Manche;8.7
2020-01;50;Manche;8.3
2020-02;50;Manche;8.8
2020-03;50;Manche;8.3
2020-04;50;Manche;11.5
2020-05;50;Manche;13.0
2020-06;50;Manche;15.4
2020-07;50;Manche;16.6
2020-08;50;Manche;18.5
2020-09;50;Manche;16.5
2020-10;50;Manche;13.0
2020-11;50;Manche;11.6
2020-12;50;Manche;8.4
2021-01;50;Manche;6.7
2021-02;50;Manche;7.0
2021-03;50;Manche;8.3
2021-04;50;Manche;8.0
2021-05;50;Manche;11.4
2021-06;50;Manche;14.9
2021-07;50;Manche;17.1
2021-08;50;Manche;16.8
2021-09;50;Manche;17.0
2021-10;50;Manche;14.1
2021-11;50;Manche;10.3
2021-12;50;Manche;8.9
2022-01;50;Manche;7.5
2022-02;50;Manche;8.6
2022-03;50;Manche;9.4
2022-04;50;Manche;10.2
2022-05;50;Manche;13.4
2022-06;50;Manche;15.9
2022-07;50;Manche;18.6
2022-08;50;Manche;19.3
2022-09;50;Manche;16.7
2022-10;50;Manche;15.6
2022-11;50;Manche;12.0
2022-12;50;Manche;7.4
2023-01;50;Manche;8.1
2023-02;50;Manche;7.7
2023-03;50;Manche;9.0
2023-04;50;Manche;9.9
2023-05;50;Manche;12.9
2023-06;50;Manche;16.4
2023-07;50;Manche;17.3
2023-08;50;Manche;17.5
2023-09;50;Manche;18.5
2023-10;50;Manche;15.2
2023-11;50;Manche;11.0
2023-12;50;Manche;9.8
2024-01;50;Manche;6.6
2024-02;50;Manche;9.5
2024-03;50;Manche;9.2
2024-04;50;Manche;10.8
2024-05;50;Manche;13.3
2024-06;50;Manche;14.9
2024-07;50;Manche;17.0
2024-08;50;Manche;18.3
2024-09;50;Manche;15.8
2024-10;50;Manche;14.2
2024-11;50;Manche;11.0
2024-12;50;Manche;8.9
2025-01;50;Manche;6.0
2025-02;50;Manche;6.9
2025-03;50;Manche;8.9
2025-04;50;Manche;11.4
2025-05;50;Manche;13.4
2025-06;50;Manche;16.9
2025-07;50;Manche;18.0
2025-08;50;Manche;18.4
2025-09;50;Manche;16.1
