Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;51;Marne;6.7
2018-02;51;Marne;0.7
2018-03;51;Marne;6.0
2018-04;51;Marne;12.7
2018-05;51;Marne;15.7
2018-06;51;Marne;18.5
2018-07;51;Marne;22.1
2018-08;51;Marne;20.1
2018-09;51;Marne;16.0
2018-10;51;Marne;12.5
2018-11;51;Marne;7.2
2018-12;51;Marne;5.3
2019-01;51;Marne;2.6
2019-02;51;Marne;6.0
2019-03;51;Marne;8.3
2019-04;51;Marne;10.0
2019-05;51;Marne;11.8
2019-06;51;Marne;18.7
2019-07;51;Marne;20.2
2019-08;51;Marne;19.7
2019-09;51;Marne;15.7
2019-10;51;Marne;12.7
2019-11;51;Marne;6.6
2019-12;51;Marne;5.8
2020-01;51;Marne;5.2
2020-02;51;Marne;7.6
2020-03;51;Marne;7.5
2020-04;51;Marne;12.7
2020-05;51;Marne;13.6
2020-06;51;Marne;16.6
2020-07;51;Marne;19.1
2020-08;51;Marne;21.3
2020-09;51;Marne;17.3
2020-10;51;Marne;11.9
2020-11;51;Marne;8.1
2020-12;51;Marne;5.4
2021-01;51;Marne;3.2
2021-02;51;Marne;5.8
2021-03;51;Marne;7.0
2021-04;51;Marne;7.7
2021-05;51;Marne;11.6
2021-06;51;Marne;18.8
2021-07;51;Marne;18.5
2021-08;51;Marne;18.0
2021-09;51;Marne;16.9
2021-10;51;Marne;11.1
2021-11;51;Marne;5.4
2021-12;51;Marne;5.6
2022-01;51;Marne;3.4
2022-02;51;Marne;6.4
2022-03;51;Marne;7.7
2022-04;51;Marne;9.7
2022-05;51;Marne;15.5
2022-06;51;Marne;18.3
2022-07;51;Marne;20.1
2022-08;51;Marne;21.2
2022-09;51;Marne;15.6
2022-10;51;Marne;15.0
2022-11;51;Marne;8.5
2022-12;51;Marne;4.1
2023-01;51;Marne;5.1
2023-02;51;Marne;5.2
2023-03;51;Marne;8.0
2023-04;51;Marne;9.0
2023-05;51;Marne;14.0
2023-06;51;Marne;19.4
2023-07;51;Marne;19.0
2023-08;51;Marne;19.2
2023-09;51;Marne;19.1
2023-10;51;Marne;13.7
2023-11;51;Marne;8.2
2023-12;51;Marne;6.4
2024-01;51;Marne;3.3
2024-02;51;Marne;8.1
2024-03;51;Marne;9.0
2024-04;51;Marne;10.9
2024-05;51;Marne;14.6
2024-06;51;Marne;16.8
2024-07;51;Marne;19.3
2024-08;51;Marne;20.2
2024-09;51;Marne;16.0
2024-10;51;Marne;13.3
2024-11;51;Marne;7.2
2024-12;51;Marne;4.4
2025-01;51;Marne;3.6
2025-02;51;Marne;4.0
2025-03;51;Marne;7.9
2025-04;51;Marne;11.5
2025-05;51;Marne;14.2
2025-06;51;Marne;20.0
2025-07;51;Marne;19.7
2025-08;51;Marne;19.6
2025-09;51;Marne;15.8
