Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;52;Haute-Marne;6.2
2018-02;52;Haute-Marne;0.4
2018-03;52;Haute-Marne;5.5
2018-04;52;Haute-Marne;13.2
2018-05;52;Haute-Marne;16.1
2018-06;52;Haute-Marne;19.0
2018-07;52;Haute-Marne;22.5
2018-08;52;Haute-Marne;21.0
2018-09;52;Haute-Marne;16.9
2018-10;52;Haute-Marne;12.7
2018-11;52;Haute-Marne;7.2
2018-12;52;Haute-Marne;4.8
2019-01;52;Haute-Marne;1.5
2019-02;52;Haute-Marne;6.4
2019-03;52;Haute-Marne;8.2
2019-04;52;Haute-Marne;10.4
2019-05;52;Haute-Marne;12.1
2019-06;52;Haute-Marne;19.9
2019-07;52;Haute-Marne;21.6
2019-08;52;Haute-Marne;20.9
2019-09;52;Haute-Marne;16.3
2019-10;52;Haute-Marne;12.9
2019-11;52;Haute-Marne;6.4
2019-12;52;Haute-Marne;5.6
2020-01;52;Haute-Marne;4.7
2020-02;52;Haute-Marne;7.2
2020-03;52;Haute-Marne;7.6
2020-04;52;Haute-Marne;13.8
2020-05;52;Haute-Marne;14.4
2020-06;52;Haute-Marne;17.1
2020-07;52;Haute-Marne;20.4
2020-08;52;Haute-Marne;22.0
2020-09;52;Haute-Marne;17.9
2020-10;52;Haute-Marne;11.2
2020-11;52;Haute-Marne;8.4
2020-12;52;Haute-Marne;4.7
2021-01;52;Haute-Marne;2.3
2021-02;52;Haute-Marne;5.7
2021-03;52;Haute-Marne;6.8
2021-04;52;Haute-Marne;8.4
2021-05;52;Haute-Marne;11.7
2021-06;52;Haute-Marne;19.4
2021-07;52;Haute-Marne;18.6
2021-08;52;Haute-Marne;18.1
2021-09;52;Haute-Marne;17.4
2021-10;52;Haute-Marne;11.4
2021-11;52;Haute-Marne;4.8
2021-12;52;Haute-Marne;4.6
2022-01;52;Haute-Marne;2.6
2022-02;52;Haute-Marne;5.8
2022-03;52;Haute-Marne;8.7
2022-04;52;Haute-Marne;9.9
2022-05;52;Haute-Marne;16.4
2022-06;52;Haute-Marne;19.6
2022-07;52;Haute-Marne;21.5
2022-08;52;Haute-Marne;22.2
2022-09;52;Haute-Marne;15.7
2022-10;52;Haute-Marne;15.3
2022-11;52;Haute-Marne;8.5
2022-12;52;Haute-Marne;4.0
2023-01;52;Haute-Marne;4.3
2023-02;52;Haute-Marne;5.3
2023-03;52;Haute-Marne;7.9
2023-04;52;Haute-Marne;9.3
2023-05;52;Haute-Marne;14.8
2023-06;52;Haute-Marne;20.9
2023-07;52;Haute-Marne;20.3
2023-08;52;Haute-Marne;20.1
2023-09;52;Haute-Marne;20.2
2023-10;52;Haute-Marne;14.3
2023-11;52;Haute-Marne;7.5
2023-12;52;Haute-Marne;5.6
2024-01;52;Haute-Marne;3.3
2024-02;52;Haute-Marne;7.7
2024-03;52;Haute-Marne;9.2
2024-04;52;Haute-Marne;10.8
2024-05;52;Haute-Marne;14.9
2024-06;52;Haute-Marne;17.5
2024-07;52;Haute-Marne;19.9
2024-08;52;Haute-Marne;21.1
2024-09;52;Haute-Marne;15.8
2024-10;52;Haute-Marne;13.6
2024-11;52;Haute-Marne;6.7
2024-12;52;Haute-Marne;3.3
2025-01;52;Haute-Marne;3.5
2025-02;52;Haute-Marne;4.4
2025-03;52;Haute-Marne;8.2
2025-04;52;Haute-Marne;12.2
2025-05;52;Haute-Marne;15.0
2025-06;52;Haute-Marne;21.0
2025-07;52;Haute-Marne;20.2
2025-08;52;Haute-Marne;20.8
2025-09;52;Haute-Marne;15.6
