Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;53;Mayenne;8.2
2018-02;53;Mayenne;3.4
2018-03;53;Mayenne;7.6
2018-04;53;Mayenne;12.5
2018-05;53;Mayenne;15.5
2018-06;53;Mayenne;18.9
2018-07;53;Mayenne;21.7
2018-08;53;Mayenne;20.1
2018-09;53;Mayenne;17.1
2018-10;53;Mayenne;13.3
2018-11;53;Mayenne;8.3
2018-12;53;Mayenne;7.8
2019-01;53;Mayenne;5.1
2019-02;53;Mayenne;7.2
2019-03;53;Mayenne;9.3
2019-04;53;Mayenne;10.6
2019-05;53;Mayenne;13.0
2019-06;53;Mayenne;18.1
2019-07;53;Mayenne;21.2
2019-08;53;Mayenne;19.6
2019-09;53;Mayenne;16.9
2019-10;53;Mayenne;13.5
2019-11;53;Mayenne;8.1
2019-12;53;Mayenne;7.2
2020-01;53;Mayenne;7.1
2020-02;53;Mayenne;8.9
2020-03;53;Mayenne;8.6
2020-04;53;Mayenne;14.1
2020-05;53;Mayenne;15.7
2020-06;53;Mayenne;17.0
2020-07;53;Mayenne;19.1
2020-08;53;Mayenne;20.7
2020-09;53;Mayenne;18.1
2020-10;53;Mayenne;12.2
2020-11;53;Mayenne;9.9
2020-12;53;Mayenne;7.0
2021-01;53;Mayenne;4.8
2021-02;53;Mayenne;6.8
2021-03;53;Mayenne;8.1
2021-04;53;Mayenne;9.3
2021-05;53;Mayenne;12.7
2021-06;53;Mayenne;17.9
2021-07;53;Mayenne;18.9
2021-08;53;Mayenne;17.7
2021-09;53;Mayenne;18.0
2021-10;53;Mayenne;12.8
2021-11;53;Mayenne;6.9
2021-12;53;Mayenne;7.0
2022-01;53;Mayenne;5.2
2022-02;53;Mayenne;7.4
2022-03;53;Mayenne;9.5
2022-04;53;Mayenne;11.1
2022-05;53;Mayenne;15.6
2022-06;53;Mayenne;18.7
2022-07;53;Mayenne;21.4
2022-08;53;Mayenne;21.8
2022-09;53;Mayenne;16.6
2022-10;53;Mayenne;15.9
2022-11;53;Mayenne;10.3
2022-12;53;Mayenne;5.3
2023-01;53;Mayenne;6.3
2023-02;53;Mayenne;6.4
2023-03;53;Mayenne;9.4
2023-04;53;Mayenne;10.7
2023-05;53;Mayenne;14.9
2023-06;53;Mayenne;20.5
2023-07;53;Mayenne;19.1
2023-08;53;Mayenne;19.6
2023-09;53;Mayenne;20.1
2023-10;53;Mayenne;14.8
2023-11;53;Mayenne;9.9
2023-12;53;Mayenne;8.2
2024-01;53;Mayenne;5.3
2024-02;53;Mayenne;9.3
2024-03;53;Mayenne;9.3
2024-04;53;Mayenne;11.2
2024-05;53;Mayenne;14.4
2024-06;53;Mayenne;16.6
2024-07;53;Mayenne;19.2
2024-08;53;Mayenne;19.5
2024-09;53;Mayenne;15.4
2024-10;53;Mayenne;13.7
2024-11;53;Mayenne;8.9
2024-12;53;Mayenne;6.6
2025-01;53;Mayenne;4.5
2025-02;53;Mayenne;5.7
2025-03;53;Mayenne;8.9
2025-04;53;Mayenne;12.8
2025-05;53;Mayenne;15.5
2025-06;53;Mayenne;20.4
2025-07;53;Mayenne;20.4
2025-08;53;Mayenne;20.4
2025-09;53;Mayenne;16.0
