Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;54;Meurthe-et-Moselle;6.2
2018-02;54;Meurthe-et-Moselle;-0.1
2018-03;54;Meurthe-et-Moselle;4.9
2018-04;54;Meurthe-et-Moselle;13.0
2018-05;54;Meurthe-et-Moselle;15.9
2018-06;54;Meurthe-et-Moselle;19.0
2018-07;54;Meurthe-et-Moselle;22.3
2018-08;54;Meurthe-et-Moselle;20.9
2018-09;54;Meurthe-et-Moselle;16.7
2018-10;54;Meurthe-et-Moselle;12.4
2018-11;54;Meurthe-et-Moselle;7.2
2018-12;54;Meurthe-et-Moselle;4.8
2019-01;54;Meurthe-et-Moselle;1.6
2019-02;54;Meurthe-et-Moselle;6.1
2019-03;54;Meurthe-et-Moselle;8.1
2019-04;54;Meurthe-et-Moselle;9.8
2019-05;54;Meurthe-et-Moselle;12.1
2019-06;54;Meurthe-et-Moselle;20.0
2019-07;54;Meurthe-et-Moselle;21.3
2019-08;54;Meurthe-et-Moselle;20.8
2019-09;54;Meurthe-et-Moselle;16.0
2019-10;54;Meurthe-et-Moselle;12.9
2019-11;54;Meurthe-et-Moselle;6.1
2019-12;54;Meurthe-et-Moselle;5.3
2020-01;54;Meurthe-et-Moselle;4.2
2020-02;54;Meurthe-et-Moselle;7.2
2020-03;54;Meurthe-et-Moselle;7.1
2020-04;54;Meurthe-et-Moselle;13.0
2020-05;54;Meurthe-et-Moselle;13.8
2020-06;54;Meurthe-et-Moselle;17.5
2020-07;54;Meurthe-et-Moselle;20.2
2020-08;54;Meurthe-et-Moselle;22.2
2020-09;54;Meurthe-et-Moselle;17.4
2020-10;54;Meurthe-et-Moselle;11.5
2020-11;54;Meurthe-et-Moselle;7.8
2020-12;54;Meurthe-et-Moselle;4.9
2021-01;54;Meurthe-et-Moselle;2.2
2021-02;54;Meurthe-et-Moselle;5.5
2021-03;54;Meurthe-et-Moselle;6.6
2021-04;54;Meurthe-et-Moselle;8.0
2021-05;54;Meurthe-et-Moselle;11.7
2021-06;54;Meurthe-et-Moselle;19.6
2021-07;54;Meurthe-et-Moselle;18.8
2021-08;54;Meurthe-et-Moselle;18.0
2021-09;54;Meurthe-et-Moselle;16.7
2021-10;54;Meurthe-et-Moselle;11.2
2021-11;54;Meurthe-et-Moselle;4.8
2021-12;54;Meurthe-et-Moselle;4.7
2022-01;54;Meurthe-et-Moselle;2.6
2022-02;54;Meurthe-et-Moselle;6.0
2022-03;54;Meurthe-et-Moselle;7.9
2022-04;54;Meurthe-et-Moselle;9.5
2022-05;54;Meurthe-et-Moselle;16.0
2022-06;54;Meurthe-et-Moselle;19.8
2022-07;54;Meurthe-et-Moselle;21.5
2022-08;54;Meurthe-et-Moselle;22.1
2022-09;54;Meurthe-et-Moselle;15.4
2022-10;54;Meurthe-et-Moselle;14.8
2022-11;54;Meurthe-et-Moselle;8.5
2022-12;54;Meurthe-et-Moselle;3.7
2023-01;54;Meurthe-et-Moselle;4.5
2023-02;54;Meurthe-et-Moselle;4.9
2023-03;54;Meurthe-et-Moselle;7.8
2023-04;54;Meurthe-et-Moselle;9.3
2023-05;54;Meurthe-et-Moselle;14.8
2023-06;54;Meurthe-et-Moselle;20.6
2023-07;54;Meurthe-et-Moselle;20.4
2023-08;54;Meurthe-et-Moselle;19.9
2023-09;54;Meurthe-et-Moselle;19.2
2023-10;54;Meurthe-et-Moselle;14.0
2023-11;54;Meurthe-et-Moselle;7.6
2023-12;54;Meurthe-et-Moselle;5.8
2024-01;54;Meurthe-et-Moselle;2.8
2024-02;54;Meurthe-et-Moselle;8.0
2024-03;54;Meurthe-et-Moselle;9.1
2024-04;54;Meurthe-et-Moselle;10.9
2024-05;54;Meurthe-et-Moselle;14.9
2024-06;54;Meurthe-et-Moselle;17.6
2024-07;54;Meurthe-et-Moselle;19.9
2024-08;54;Meurthe-et-Moselle;21.4
2024-09;54;Meurthe-et-Moselle;16.1
2024-10;54;Meurthe-et-Moselle;13.0
2024-11;54;Meurthe-et-Moselle;6.4
2024-12;54;Meurthe-et-Moselle;3.4
2025-01;54;Meurthe-et-Moselle;3.4
2025-02;54;Meurthe-et-Moselle;3.9
2025-03;54;Meurthe-et-Moselle;7.8
2025-04;54;Meurthe-et-Moselle;11.6
2025-05;54;Meurthe-et-Moselle;14.7
2025-06;54;Meurthe-et-Moselle;20.6
2025-07;54;Meurthe-et-Moselle;20.0
2025-08;54;Meurthe-et-Moselle;20.3
2025-09;54;Meurthe-et-Moselle;15.5
