Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;55;Meuse;6.3
2018-02;55;Meuse;0.6
2018-03;55;Meuse;5.4
2018-04;55;Meuse;13.0
2018-05;55;Meuse;16.2
2018-06;55;Meuse;18.9
2018-07;55;Meuse;22.1
2018-08;55;Meuse;20.4
2018-09;55;Meuse;16.1
2018-10;55;Meuse;12.2
2018-11;55;Meuse;7.2
2018-12;55;Meuse;5.0
2019-01;55;Meuse;2.2
2019-02;55;Meuse;5.9
2019-03;55;Meuse;8.1
2019-04;55;Meuse;10.3
2019-05;55;Meuse;12.1
2019-06;55;Meuse;19.6
2019-07;55;Meuse;20.5
2019-08;55;Meuse;20.0
2019-09;55;Meuse;15.7
2019-10;55;Meuse;12.6
2019-11;55;Meuse;6.3
2019-12;55;Meuse;5.6
2020-01;55;Meuse;4.8
2020-02;55;Meuse;7.2
2020-03;55;Meuse;7.4
2020-04;55;Meuse;12.7
2020-05;55;Meuse;13.7
2020-06;55;Meuse;17.0
2020-07;55;Meuse;19.3
2020-08;55;Meuse;21.7
2020-09;55;Meuse;17.2
2020-10;55;Meuse;11.6
2020-11;55;Meuse;8.0
2020-12;55;Meuse;5.2
2021-01;55;Meuse;2.4
2021-02;55;Meuse;5.6
2021-03;55;Meuse;6.7
2021-04;55;Meuse;7.7
2021-05;55;Meuse;11.5
2021-06;55;Meuse;19.1
2021-07;55;Meuse;18.6
2021-08;55;Meuse;17.9
2021-09;55;Meuse;16.8
2021-10;55;Meuse;11.0
2021-11;55;Meuse;5.2
2021-12;55;Meuse;5.1
2022-01;55;Meuse;3.1
2022-02;55;Meuse;5.9
2022-03;55;Meuse;7.9
2022-04;55;Meuse;9.6
2022-05;55;Meuse;15.8
2022-06;55;Meuse;19.0
2022-07;55;Meuse;20.5
2022-08;55;Meuse;21.7
2022-09;55;Meuse;15.3
2022-10;55;Meuse;14.8
2022-11;55;Meuse;8.7
2022-12;55;Meuse;4.0
2023-01;55;Meuse;4.8
2023-02;55;Meuse;5.1
2023-03;55;Meuse;7.6
2023-04;55;Meuse;9.2
2023-05;55;Meuse;14.7
2023-06;55;Meuse;20.2
2023-07;55;Meuse;19.4
2023-08;55;Meuse;19.4
2023-09;55;Meuse;19.0
2023-10;55;Meuse;13.6
2023-11;55;Meuse;7.9
2023-12;55;Meuse;6.2
2024-01;55;Meuse;3.2
2024-02;55;Meuse;8.2
2024-03;55;Meuse;9.3
2024-04;55;Meuse;10.9
2024-05;55;Meuse;14.9
2024-06;55;Meuse;17.1
2024-07;55;Meuse;19.6
2024-08;55;Meuse;20.7
2024-09;55;Meuse;16.1
2024-10;55;Meuse;13.3
2024-11;55;Meuse;7.0
2024-12;55;Meuse;4.0
2025-01;55;Meuse;3.6
2025-02;55;Meuse;4.3
2025-03;55;Meuse;7.9
2025-04;55;Meuse;11.9
2025-05;55;Meuse;14.5
2025-06;55;Meuse;20.0
2025-07;55;Meuse;19.7
2025-08;55;Meuse;19.8
2025-09;55;Meuse;15.7
