Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;56;Morbihan;9.4
2018-02;56;Morbihan;5.6
2018-03;56;Morbihan;8.3
2018-04;56;Morbihan;12.2
2018-05;56;Morbihan;14.9
2018-06;56;Morbihan;18.9
2018-07;56;Morbihan;20.2
2018-08;56;Morbihan;18.9
2018-09;56;Morbihan;17.1
2018-10;56;Morbihan;13.7
2018-11;56;Morbihan;10.6
2018-12;56;Morbihan;10.1
2019-01;56;Morbihan;7.6
2019-02;56;Morbihan;9.3
2019-03;56;Morbihan;10.4
2019-04;56;Morbihan;11.5
2019-05;56;Morbihan;13.3
2019-06;56;Morbihan;16.6
2019-07;56;Morbihan;20.0
2019-08;56;Morbihan;18.6
2019-09;56;Morbihan;17.0
2019-10;56;Morbihan;14.4
2019-11;56;Morbihan;10.3
2019-12;56;Morbihan;9.3
2020-01;56;Morbihan;9.0
2020-02;56;Morbihan;10.0
2020-03;56;Morbihan;9.8
2020-04;56;Morbihan;13.2
2020-05;56;Morbihan;15.6
2020-06;56;Morbihan;16.7
2020-07;56;Morbihan;17.7
2020-08;56;Morbihan;19.3
2020-09;56;Morbihan;17.6
2020-10;56;Morbihan;13.2
2020-11;56;Morbihan;12.4
2020-12;56;Morbihan;9.4
2021-01;56;Morbihan;7.2
2021-02;56;Morbihan;8.1
2021-03;56;Morbihan;9.6
2021-04;56;Morbihan;10.8
2021-05;56;Morbihan;12.8
2021-06;56;Morbihan;17.0
2021-07;56;Morbihan;18.7
2021-08;56;Morbihan;17.7
2021-09;56;Morbihan;18.2
2021-10;56;Morbihan;14.6
2021-11;56;Morbihan;9.9
2021-12;56;Morbihan;9.0
2022-01;56;Morbihan;7.5
2022-02;56;Morbihan;9.2
2022-03;56;Morbihan;10.5
2022-04;56;Morbihan;11.9
2022-05;56;Morbihan;15.2
2022-06;56;Morbihan;17.9
2022-07;56;Morbihan;20.4
2022-08;56;Morbihan;21.1
2022-09;56;Morbihan;17.4
2022-10;56;Morbihan;16.0
2022-11;56;Morbihan;12.8
2022-12;56;Morbihan;7.4
2023-01;56;Morbihan;8.3
2023-02;56;Morbihan;8.1
2023-03;56;Morbihan;10.1
2023-04;56;Morbihan;11.6
2023-05;56;Morbihan;15.4
2023-06;56;Morbihan;19.3
2023-07;56;Morbihan;17.9
2023-08;56;Morbihan;18.2
2023-09;56;Morbihan;19.8
2023-10;56;Morbihan;16.0
2023-11;56;Morbihan;11.9
2023-12;56;Morbihan;10.9
2024-01;56;Morbihan;7.6
2024-02;56;Morbihan;10.6
2024-03;56;Morbihan;10.5
2024-04;56;Morbihan;11.8
2024-05;56;Morbihan;14.8
2024-06;56;Morbihan;16.3
2024-07;56;Morbihan;17.8
2024-08;56;Morbihan;18.8
2024-09;56;Morbihan;16.1
2024-10;56;Morbihan;14.5
2024-11;56;Morbihan;11.5
2024-12;56;Morbihan;9.2
2025-01;56;Morbihan;7.0
2025-02;56;Morbihan;8.1
2025-03;56;Morbihan;10.0
2025-04;56;Morbihan;13.6
2025-05;56;Morbihan;15.3
2025-06;56;Morbihan;18.7
2025-07;56;Morbihan;19.2
2025-08;56;Morbihan;19.8
2025-09;56;Morbihan;16.5
