Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;57;Moselle;6.0
2018-02;57;Moselle;0.0
2018-03;57;Moselle;4.9
2018-04;57;Moselle;13.3
2018-05;57;Moselle;16.3
2018-06;57;Moselle;19.2
2018-07;57;Moselle;22.6
2018-08;57;Moselle;21.0
2018-09;57;Moselle;16.8
2018-10;57;Moselle;12.7
2018-11;57;Moselle;7.2
2018-12;57;Moselle;4.6
2019-01;57;Moselle;1.5
2019-02;57;Moselle;6.1
2019-03;57;Moselle;8.1
2019-04;57;Moselle;10.1
2019-05;57;Moselle;12.3
2019-06;57;Moselle;20.2
2019-07;57;Moselle;21.2
2019-08;57;Moselle;20.9
2019-09;57;Moselle;15.9
2019-10;57;Moselle;12.6
2019-11;57;Moselle;5.9
2019-12;57;Moselle;5.2
2020-01;57;Moselle;3.9
2020-02;57;Moselle;6.7
2020-03;57;Moselle;7.1
2020-04;57;Moselle;13.1
2020-05;57;Moselle;13.9
2020-06;57;Moselle;17.5
2020-07;57;Moselle;20.0
2020-08;57;Moselle;22.3
2020-09;57;Moselle;17.5
2020-10;57;Moselle;11.4
2020-11;57;Moselle;7.5
2020-12;57;Moselle;4.8
2021-01;57;Moselle;1.9
2021-02;57;Moselle;5.5
2021-03;57;Moselle;6.7
2021-04;57;Moselle;8.0
2021-05;57;Moselle;11.5
2021-06;57;Moselle;19.7
2021-07;57;Moselle;18.8
2021-08;57;Moselle;18.0
2021-09;57;Moselle;17.0
2021-10;57;Moselle;11.1
2021-11;57;Moselle;4.7
2021-12;57;Moselle;4.7
2022-01;57;Moselle;2.6
2022-02;57;Moselle;5.8
2022-03;57;Moselle;7.7
2022-04;57;Moselle;9.7
2022-05;57;Moselle;16.4
2022-06;57;Moselle;20.0
2022-07;57;Moselle;21.7
2022-08;57;Moselle;22.6
2022-09;57;Moselle;15.5
2022-10;57;Moselle;15.0
2022-11;57;Moselle;8.5
2022-12;57;Moselle;3.6
2023-01;57;Moselle;4.3
2023-02;57;Moselle;4.9
2023-03;57;Moselle;7.4
2023-04;57;Moselle;9.3
2023-05;57;Moselle;15.0
2023-06;57;Moselle;20.9
2023-07;57;Moselle;20.3
2023-08;57;Moselle;19.8
2023-09;57;Moselle;19.3
2023-10;57;Moselle;13.8
2023-11;57;Moselle;7.3
2023-12;57;Moselle;5.7
2024-01;57;Moselle;2.7
2024-02;57;Moselle;8.0
2024-03;57;Moselle;9.1
2024-04;57;Moselle;10.9
2024-05;57;Moselle;15.2
2024-06;57;Moselle;17.7
2024-07;57;Moselle;19.9
2024-08;57;Moselle;21.4
2024-09;57;Moselle;16.4
2024-10;57;Moselle;12.9
2024-11;57;Moselle;6.3
2024-12;57;Moselle;3.4
2025-01;57;Moselle;3.1
2025-02;57;Moselle;3.8
2025-03;57;Moselle;8.1
2025-04;57;Moselle;11.8
2025-05;57;Moselle;14.8
2025-06;57;Moselle;20.5
2025-07;57;Moselle;20.3
2025-08;57;Moselle;20.5
2025-09;57;Moselle;15.7
