Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;58;Nièvre;7.6
2018-02;58;Nièvre;1.7
2018-03;58;Nièvre;7.7
2018-04;58;Nièvre;13.1
2018-05;58;Nièvre;14.8
2018-06;58;Nièvre;18.9
2018-07;58;Nièvre;21.5
2018-08;58;Nièvre;21.0
2018-09;58;Nièvre;17.1
2018-10;58;Nièvre;13.0
2018-11;58;Nièvre;8.4
2018-12;58;Nièvre;6.1
2019-01;58;Nièvre;2.5
2019-02;58;Nièvre;6.3
2019-03;58;Nièvre;8.4
2019-04;58;Nièvre;10.5
2019-05;58;Nièvre;12.5
2019-06;58;Nièvre;19.3
2019-07;58;Nièvre;21.8
2019-08;58;Nièvre;20.3
2019-09;58;Nièvre;16.5
2019-10;58;Nièvre;14.1
2019-11;58;Nièvre;7.9
2019-12;58;Nièvre;7.0
2020-01;58;Nièvre;5.8
2020-02;58;Nièvre;8.5
2020-03;58;Nièvre;8.5
2020-04;58;Nièvre;13.4
2020-05;58;Nièvre;14.8
2020-06;58;Nièvre;17.4
2020-07;58;Nièvre;20.0
2020-08;58;Nièvre;21.4
2020-09;58;Nièvre;17.1
2020-10;58;Nièvre;12.0
2020-11;58;Nièvre;9.1
2020-12;58;Nièvre;6.2
2021-01;58;Nièvre;3.6
2021-02;58;Nièvre;7.3
2021-03;58;Nièvre;7.1
2021-04;58;Nièvre;8.8
2021-05;58;Nièvre;12.4
2021-06;58;Nièvre;18.8
2021-07;58;Nièvre;18.9
2021-08;58;Nièvre;18.3
2021-09;58;Nièvre;18.0
2021-10;58;Nièvre;11.4
2021-11;58;Nièvre;5.4
2021-12;58;Nièvre;5.1
2022-01;58;Nièvre;2.9
2022-02;58;Nièvre;6.4
2022-03;58;Nièvre;8.8
2022-04;58;Nièvre;10.5
2022-05;58;Nièvre;16.3
2022-06;58;Nièvre;19.9
2022-07;58;Nièvre;20.3
2022-08;58;Nièvre;21.6
2022-09;58;Nièvre;15.6
2022-10;58;Nièvre;15.7
2022-11;58;Nièvre;9.2
2022-12;58;Nièvre;5.1
2023-01;58;Nièvre;5.3
2023-02;58;Nièvre;5.4
2023-03;58;Nièvre;8.7
2023-04;58;Nièvre;10.2
2023-05;58;Nièvre;14.8
2023-06;58;Nièvre;20.2
2023-07;58;Nièvre;20.6
2023-08;58;Nièvre;21.1
2023-09;58;Nièvre;20.5
2023-10;58;Nièvre;14.6
2023-11;58;Nièvre;8.8
2023-12;58;Nièvre;6.7
2024-01;58;Nièvre;4.8
2024-02;58;Nièvre;8.2
2024-03;58;Nièvre;10.0
2024-04;58;Nièvre;11.3
2024-05;58;Nièvre;14.3
2024-06;58;Nièvre;17.9
2024-07;58;Nièvre;20.5
2024-08;58;Nièvre;20.9
2024-09;58;Nièvre;15.5
2024-10;58;Nièvre;14.4
2024-11;58;Nièvre;8.5
2024-12;58;Nièvre;4.6
2025-01;58;Nièvre;4.4
2025-02;58;Nièvre;5.5
2025-03;58;Nièvre;8.5
2025-04;58;Nièvre;12.2
2025-05;58;Nièvre;14.8
2025-06;58;Nièvre;21.1
2025-07;58;Nièvre;20.5
2025-08;58;Nièvre;20.4
2025-09;58;Nièvre;16.0
