Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;59;Nord;6.8
2018-02;59;Nord;2.6
2018-03;59;Nord;5.9
2018-04;59;Nord;12.5
2018-05;59;Nord;14.9
2018-06;59;Nord;17.0
2018-07;59;Nord;21.3
2018-08;59;Nord;19.4
2018-09;59;Nord;16.1
2018-10;59;Nord;13.6
2018-11;59;Nord;8.1
2018-12;59;Nord;7.2
2019-01;59;Nord;4.5
2019-02;59;Nord;7.6
2019-03;59;Nord;9.2
2019-04;59;Nord;10.9
2019-05;59;Nord;12.6
2019-06;59;Nord;17.9
2019-07;59;Nord;19.9
2019-08;59;Nord;19.4
2019-09;59;Nord;16.4
2019-10;59;Nord;13.1
2019-11;59;Nord;7.8
2019-12;59;Nord;6.9
2020-01;59;Nord;6.6
2020-02;59;Nord;8.1
2020-03;59;Nord;7.7
2020-04;59;Nord;12.1
2020-05;59;Nord;14.2
2020-06;59;Nord;17.2
2020-07;59;Nord;18.4
2020-08;59;Nord;21.0
2020-09;59;Nord;17.1
2020-10;59;Nord;12.4
2020-11;59;Nord;10.0
2020-12;59;Nord;6.6
2021-01;59;Nord;4.3
2021-02;59;Nord;5.6
2021-03;59;Nord;8.0
2021-04;59;Nord;7.6
2021-05;59;Nord;12.1
2021-06;59;Nord;17.8
2021-07;59;Nord;18.5
2021-08;59;Nord;18.0
2021-09;59;Nord;17.8
2021-10;59;Nord;12.6
2021-11;59;Nord;8.4
2021-12;59;Nord;7.0
2022-01;59;Nord;5.6
2022-02;59;Nord;7.6
2022-03;59;Nord;9.0
2022-04;59;Nord;10.8
2022-05;59;Nord;15.0
2022-06;59;Nord;17.7
2022-07;59;Nord;20.0
2022-08;59;Nord;21.5
2022-09;59;Nord;16.6
2022-10;59;Nord;15.1
2022-11;59;Nord;9.8
2022-12;59;Nord;5.2
2023-01;59;Nord;6.6
2023-02;59;Nord;7.0
2023-03;59;Nord;8.3
2023-04;59;Nord;9.5
2023-05;59;Nord;13.7
2023-06;59;Nord;19.4
2023-07;59;Nord;19.0
2023-08;59;Nord;18.9
2023-09;59;Nord;19.5
2023-10;59;Nord;14.8
2023-11;59;Nord;9.1
2023-12;59;Nord;8.0
2024-01;59;Nord;4.8
2024-02;59;Nord;9.2
2024-03;59;Nord;9.7
2024-04;59;Nord;11.5
2024-05;59;Nord;15.0
2024-06;59;Nord;16.1
2024-07;59;Nord;19.0
2024-08;59;Nord;20.3
2024-09;59;Nord;16.6
2024-10;59;Nord;13.5
2024-11;59;Nord;8.7
2024-12;59;Nord;6.8
2025-01;59;Nord;4.2
2025-02;59;Nord;5.0
2025-03;59;Nord;8.8
2025-04;59;Nord;12.2
2025-05;59;Nord;14.7
2025-06;59;Nord;18.8
2025-07;59;Nord;20.0
2025-08;59;Nord;19.8
2025-09;59;Nord;16.5
