Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;60;Oise;6.9
2018-02;60;Oise;1.3
2018-03;60;Oise;6.4
2018-04;60;Oise;12.5
2018-05;60;Oise;15.0
2018-06;60;Oise;17.7
2018-07;60;Oise;21.7
2018-08;60;Oise;19.6
2018-09;60;Oise;15.4
2018-10;60;Oise;12.6
2018-11;60;Oise;7.3
2018-12;60;Oise;6.3
2019-01;60;Oise;3.5
2019-02;60;Oise;6.3
2019-03;60;Oise;8.8
2019-04;60;Oise;10.0
2019-05;60;Oise;11.9
2019-06;60;Oise;18.1
2019-07;60;Oise;19.9
2019-08;60;Oise;19.2
2019-09;60;Oise;15.9
2019-10;60;Oise;12.8
2019-11;60;Oise;7.4
2019-12;60;Oise;6.0
2020-01;60;Oise;5.8
2020-02;60;Oise;8.0
2020-03;60;Oise;7.5
2020-04;60;Oise;12.4
2020-05;60;Oise;13.7
2020-06;60;Oise;17.3
2020-07;60;Oise;18.8
2020-08;60;Oise;21.1
2020-09;60;Oise;17.2
2020-10;60;Oise;12.1
2020-11;60;Oise;8.9
2020-12;60;Oise;6.1
2021-01;60;Oise;3.7
2021-02;60;Oise;5.7
2021-03;60;Oise;7.2
2021-04;60;Oise;7.3
2021-05;60;Oise;11.8
2021-06;60;Oise;17.9
2021-07;60;Oise;18.6
2021-08;60;Oise;17.6
2021-09;60;Oise;17.2
2021-10;60;Oise;11.5
2021-11;60;Oise;6.4
2021-12;60;Oise;6.2
2022-01;60;Oise;4.1
2022-02;60;Oise;6.8
2022-03;60;Oise;8.4
2022-04;60;Oise;9.9
2022-05;60;Oise;15.0
2022-06;60;Oise;18.1
2022-07;60;Oise;20.3
2022-08;60;Oise;21.3
2022-09;60;Oise;15.5
2022-10;60;Oise;14.9
2022-11;60;Oise;9.2
2022-12;60;Oise;4.3
2023-01;60;Oise;5.4
2023-02;60;Oise;5.6
2023-03;60;Oise;8.4
2023-04;60;Oise;9.1
2023-05;60;Oise;13.7
2023-06;60;Oise;19.7
2023-07;60;Oise;19.1
2023-08;60;Oise;19.0
2023-09;60;Oise;19.2
2023-10;60;Oise;14.1
2023-11;60;Oise;8.5
2023-12;60;Oise;7.2
2024-01;60;Oise;3.6
2024-02;60;Oise;8.7
2024-03;60;Oise;9.0
2024-04;60;Oise;10.9
2024-05;60;Oise;14.3
2024-06;60;Oise;15.9
2024-07;60;Oise;19.2
2024-08;60;Oise;20.2
2024-09;60;Oise;15.6
2024-10;60;Oise;13.0
2024-11;60;Oise;7.8
2024-12;60;Oise;5.7
2025-01;60;Oise;3.6
2025-02;60;Oise;4.5
2025-03;60;Oise;8.0
2025-04;60;Oise;12.1
2025-05;60;Oise;14.6
2025-06;60;Oise;19.5
2025-07;60;Oise;19.6
2025-08;60;Oise;19.6
2025-09;60;Oise;15.5
