Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;61;Orne;7.3
2018-02;61;Orne;2.2
2018-03;61;Orne;6.8
2018-04;61;Orne;12.1
2018-05;61;Orne;14.8
2018-06;61;Orne;18.2
2018-07;61;Orne;21.5
2018-08;61;Orne;19.5
2018-09;61;Orne;15.9
2018-10;61;Orne;12.4
2018-11;61;Orne;7.7
2018-12;61;Orne;6.8
2019-01;61;Orne;4.3
2019-02;61;Orne;6.5
2019-03;61;Orne;8.8
2019-04;61;Orne;10.2
2019-05;61;Orne;12.4
2019-06;61;Orne;17.8
2019-07;61;Orne;20.4
2019-08;61;Orne;19.2
2019-09;61;Orne;16.2
2019-10;61;Orne;12.9
2019-11;61;Orne;7.6
2019-12;61;Orne;6.5
2020-01;61;Orne;6.2
2020-02;61;Orne;8.2
2020-03;61;Orne;8.0
2020-04;61;Orne;13.4
2020-05;61;Orne;14.7
2020-06;61;Orne;16.7
2020-07;61;Orne;18.7
2020-08;61;Orne;20.5
2020-09;61;Orne;17.8
2020-10;61;Orne;11.6
2020-11;61;Orne;9.5
2020-12;61;Orne;6.6
2021-01;61;Orne;4.1
2021-02;61;Orne;5.9
2021-03;61;Orne;7.3
2021-04;61;Orne;8.4
2021-05;61;Orne;12.0
2021-06;61;Orne;17.7
2021-07;61;Orne;18.8
2021-08;61;Orne;17.4
2021-09;61;Orne;17.4
2021-10;61;Orne;12.0
2021-11;61;Orne;6.5
2021-12;61;Orne;6.6
2022-01;61;Orne;4.9
2022-02;61;Orne;7.0
2022-03;61;Orne;9.3
2022-04;61;Orne;10.4
2022-05;61;Orne;15.1
2022-06;61;Orne;18.0
2022-07;61;Orne;20.6
2022-08;61;Orne;21.3
2022-09;61;Orne;16.0
2022-10;61;Orne;15.1
2022-11;61;Orne;9.4
2022-12;61;Orne;4.8
2023-01;61;Orne;5.8
2023-02;61;Orne;6.0
2023-03;61;Orne;8.9
2023-04;61;Orne;10.0
2023-05;61;Orne;14.5
2023-06;61;Orne;19.9
2023-07;61;Orne;18.8
2023-08;61;Orne;19.2
2023-09;61;Orne;19.5
2023-10;61;Orne;13.9
2023-11;61;Orne;9.2
2023-12;61;Orne;7.5
2024-01;61;Orne;4.5
2024-02;61;Orne;8.8
2024-03;61;Orne;9.0
2024-04;61;Orne;10.8
2024-05;61;Orne;14.2
2024-06;61;Orne;16.1
2024-07;61;Orne;18.7
2024-08;61;Orne;19.1
2024-09;61;Orne;15.3
2024-10;61;Orne;13.2
2024-11;61;Orne;8.1
2024-12;61;Orne;5.8
2025-01;61;Orne;3.7
2025-02;61;Orne;4.9
2025-03;61;Orne;8.0
2025-04;61;Orne;12.4
2025-05;61;Orne;14.8
2025-06;61;Orne;19.9
2025-07;61;Orne;20.1
2025-08;61;Orne;19.6
2025-09;61;Orne;15.5
