Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;62;Pas-de-Calais;6.8
2018-02;62;Pas-de-Calais;2.8
2018-03;62;Pas-de-Calais;6.1
2018-04;62;Pas-de-Calais;11.9
2018-05;62;Pas-de-Calais;14.3
2018-06;62;Pas-de-Calais;16.0
2018-07;62;Pas-de-Calais;19.8
2018-08;62;Pas-de-Calais;18.3
2018-09;62;Pas-de-Calais;15.2
2018-10;62;Pas-de-Calais;13.3
2018-11;62;Pas-de-Calais;8.3
2018-12;62;Pas-de-Calais;7.5
2019-01;62;Pas-de-Calais;4.8
2019-02;62;Pas-de-Calais;7.4
2019-03;62;Pas-de-Calais;8.8
2019-04;62;Pas-de-Calais;10.6
2019-05;62;Pas-de-Calais;12.0
2019-06;62;Pas-de-Calais;16.7
2019-07;62;Pas-de-Calais;18.2
2019-08;62;Pas-de-Calais;18.6
2019-09;62;Pas-de-Calais;15.9
2019-10;62;Pas-de-Calais;12.9
2019-11;62;Pas-de-Calais;7.9
2019-12;62;Pas-de-Calais;7.4
2020-01;62;Pas-de-Calais;6.9
2020-02;62;Pas-de-Calais;7.9
2020-03;62;Pas-de-Calais;7.6
2020-04;62;Pas-de-Calais;12.3
2020-05;62;Pas-de-Calais;13.6
2020-06;62;Pas-de-Calais;16.5
2020-07;62;Pas-de-Calais;17.0
2020-08;62;Pas-de-Calais;20.3
2020-09;62;Pas-de-Calais;16.4
2020-10;62;Pas-de-Calais;12.3
2020-11;62;Pas-de-Calais;10.2
2020-12;62;Pas-de-Calais;6.7
2021-01;62;Pas-de-Calais;4.6
2021-02;62;Pas-de-Calais;5.9
2021-03;62;Pas-de-Calais;7.5
2021-04;62;Pas-de-Calais;7.3
2021-05;62;Pas-de-Calais;11.4
2021-06;62;Pas-de-Calais;16.3
2021-07;62;Pas-de-Calais;17.9
2021-08;62;Pas-de-Calais;17.0
2021-09;62;Pas-de-Calais;17.6
2021-10;62;Pas-de-Calais;12.9
2021-11;62;Pas-de-Calais;8.7
2021-12;62;Pas-de-Calais;7.4
2022-01;62;Pas-de-Calais;5.8
2022-02;62;Pas-de-Calais;7.7
2022-03;62;Pas-de-Calais;9.2
2022-04;62;Pas-de-Calais;10.2
2022-05;62;Pas-de-Calais;13.7
2022-06;62;Pas-de-Calais;16.6
2022-07;62;Pas-de-Calais;19.3
2022-08;62;Pas-de-Calais;20.5
2022-09;62;Pas-de-Calais;16.1
2022-10;62;Pas-de-Calais;15.1
2022-11;62;Pas-de-Calais;10.5
2022-12;62;Pas-de-Calais;5.3
2023-01;62;Pas-de-Calais;6.6
2023-02;62;Pas-de-Calais;6.7
2023-03;62;Pas-de-Calais;7.9
2023-04;62;Pas-de-Calais;9.1
2023-05;62;Pas-de-Calais;12.9
2023-06;62;Pas-de-Calais;17.9
2023-07;62;Pas-de-Calais;17.6
2023-08;62;Pas-de-Calais;17.7
2023-09;62;Pas-de-Calais;19.1
2023-10;62;Pas-de-Calais;14.6
2023-11;62;Pas-de-Calais;9.6
2023-12;62;Pas-de-Calais;8.4
2024-01;62;Pas-de-Calais;5.0
2024-02;62;Pas-de-Calais;8.7
2024-03;62;Pas-de-Calais;9.3
2024-04;62;Pas-de-Calais;10.5
2024-05;62;Pas-de-Calais;14.2
2024-06;62;Pas-de-Calais;15.1
2024-07;62;Pas-de-Calais;17.9
2024-08;62;Pas-de-Calais;18.9
2024-09;62;Pas-de-Calais;16.0
2024-10;62;Pas-de-Calais;13.2
2024-11;62;Pas-de-Calais;9.0
2024-12;62;Pas-de-Calais;7.3
2025-01;62;Pas-de-Calais;4.4
2025-02;62;Pas-de-Calais;5.2
2025-03;62;Pas-de-Calais;8.5
2025-04;62;Pas-de-Calais;12.3
2025-05;62;Pas-de-Calais;13.6
2025-06;62;Pas-de-Calais;17.4
2025-07;62;Pas-de-Calais;18.6
2025-08;62;Pas-de-Calais;18.8
2025-09;62;Pas-de-Calais;15.8
