Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;63;Puy-de-Dôme;8.3
2018-02;63;Puy-de-Dôme;1.9
2018-03;63;Puy-de-Dôme;8.4
2018-04;63;Puy-de-Dôme;13.7
2018-05;63;Puy-de-Dôme;15.4
2018-06;63;Puy-de-Dôme;19.2
2018-07;63;Puy-de-Dôme;22.1
2018-08;63;Puy-de-Dôme;22.0
2018-09;63;Puy-de-Dôme;18.9
2018-10;63;Puy-de-Dôme;13.4
2018-11;63;Puy-de-Dôme;9.1
2018-12;63;Puy-de-Dôme;7.0
2019-01;63;Puy-de-Dôme;3.2
2019-02;63;Puy-de-Dôme;7.6
2019-03;63;Puy-de-Dôme;9.7
2019-04;63;Puy-de-Dôme;10.8
2019-05;63;Puy-de-Dôme;13.1
2019-06;63;Puy-de-Dôme;20.5
2019-07;63;Puy-de-Dôme;23.4
2019-08;63;Puy-de-Dôme;21.8
2019-09;63;Puy-de-Dôme;18.0
2019-10;63;Puy-de-Dôme;15.0
2019-11;63;Puy-de-Dôme;8.2
2019-12;63;Puy-de-Dôme;7.7
2020-01;63;Puy-de-Dôme;6.2
2020-02;63;Puy-de-Dôme;9.3
2020-03;63;Puy-de-Dôme;8.6
2020-04;63;Puy-de-Dôme;14.3
2020-05;63;Puy-de-Dôme;15.6
2020-06;63;Puy-de-Dôme;18.0
2020-07;63;Puy-de-Dôme;21.5
2020-08;63;Puy-de-Dôme;22.2
2020-09;63;Puy-de-Dôme;18.0
2020-10;63;Puy-de-Dôme;12.6
2020-11;63;Puy-de-Dôme;10.0
2020-12;63;Puy-de-Dôme;6.4
2021-01;63;Puy-de-Dôme;3.9
2021-02;63;Puy-de-Dôme;8.6
2021-03;63;Puy-de-Dôme;8.4
2021-04;63;Puy-de-Dôme;9.6
2021-05;63;Puy-de-Dôme;13.4
2021-06;63;Puy-de-Dôme;19.8
2021-07;63;Puy-de-Dôme;19.5
2021-08;63;Puy-de-Dôme;19.4
2021-09;63;Puy-de-Dôme;18.9
2021-10;63;Puy-de-Dôme;12.5
2021-11;63;Puy-de-Dôme;6.2
2021-12;63;Puy-de-Dôme;5.0
2022-01;63;Puy-de-Dôme;3.4
2022-02;63;Puy-de-Dôme;7.3
2022-03;63;Puy-de-Dôme;9.3
2022-04;63;Puy-de-Dôme;11.0
2022-05;63;Puy-de-Dôme;17.8
2022-06;63;Puy-de-Dôme;21.0
2022-07;63;Puy-de-Dôme;21.7
2022-08;63;Puy-de-Dôme;22.3
2022-09;63;Puy-de-Dôme;17.0
2022-10;63;Puy-de-Dôme;18.2
2022-11;63;Puy-de-Dôme;10.5
2022-12;63;Puy-de-Dôme;6.0
2023-01;63;Puy-de-Dôme;5.2
2023-02;63;Puy-de-Dôme;6.3
2023-03;63;Puy-de-Dôme;9.9
2023-04;63;Puy-de-Dôme;11.2
2023-05;63;Puy-de-Dôme;15.0
2023-06;63;Puy-de-Dôme;20.7
2023-07;63;Puy-de-Dôme;22.3
2023-08;63;Puy-de-Dôme;22.6
2023-09;63;Puy-de-Dôme;21.8
2023-10;63;Puy-de-Dôme;16.6
2023-11;63;Puy-de-Dôme;9.4
2023-12;63;Puy-de-Dôme;6.8
2024-01;63;Puy-de-Dôme;5.3
2024-02;63;Puy-de-Dôme;8.6
2024-03;63;Puy-de-Dôme;10.2
2024-04;63;Puy-de-Dôme;11.7
2024-05;63;Puy-de-Dôme;14.5
2024-06;63;Puy-de-Dôme;18.7
2024-07;63;Puy-de-Dôme;21.7
2024-08;63;Puy-de-Dôme;22.3
2024-09;63;Puy-de-Dôme;15.9
2024-10;63;Puy-de-Dôme;15.5
2024-11;63;Puy-de-Dôme;9.8
2024-12;63;Puy-de-Dôme;4.9
2025-01;63;Puy-de-Dôme;5.3
2025-02;63;Puy-de-Dôme;6.6
2025-03;63;Puy-de-Dôme;8.6
2025-04;63;Puy-de-Dôme;12.5
2025-05;63;Puy-de-Dôme;15.6
2025-06;63;Puy-de-Dôme;22.2
2025-07;63;Puy-de-Dôme;21.6
2025-08;63;Puy-de-Dôme;22.1
2025-09;63;Puy-de-Dôme;16.6
